rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
15,1,11,5,9,2,16,13,3,7,4,6,12,14,10,8,16.0,1.0
14,2,5,13,7,1,15,16,11,3,10,4,9,12,8,6,,
15,3,12,7,9,4,16,10,6,13,1,5,8,11,14,2,,
12,12,12,12,16,12,12,12,3,12,2,12,12,12,12,1,,
16,12,10,3,2,7,15,9,13,6,1,8,4,5,14,11,,
15,14,10,8,5,13,16,12,1,11,7,2,3,6,4,9,,
14,13,8,3,16,12,4,15,10,7,11,2,5,1,6,9,,
14,12,15,7,3,4,16,10,9,8,5,1,11,2,13,6,,
14,15,2,5,9,1,11,16,12,10,8,4,6,7,3,13,,
15,12,5,11,9,14,16,10,2,1,3,8,7,13,4,6,,
16,14,10,11,13,4,15,12,1,8,5,3,7,6,9,2,,
15,6,4,15,10,3,15,5,14,2,1,6,12,14,8,12,,
12,5,11,16,15,9,10,14,1,8,3,7,4,13,2,6,,
16,9,1,2,11,8,15,3,7,5,15,6,15,15,10,4,,
16,11,7,16,6,3,16,16,2,12,4,8,9,10,5,1,,
16,2,14,7,10,12,15,11,5,13,6,4,9,3,8,1,,
16,16,16,16,13,16,16,5,16,16,14,16,5,5,16,16,,
14,16,3,13,12,4,15,11,1,10,7,2,9,8,6,5,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
14,12,15,7,3,4,16,13,1,10,9,5,6,2,11,8,,
15,4,11,3,16,12,10,9,5,8,1,6,14,7,13,2,,
7,8,16,10,14,6,12,4,1,13,5,3,11,2,15,9,,
15,16,7,12,5,13,11,14,1,6,2,9,10,8,3,4,,
13,5,10,8,6,11,4,14,2,3,1,12,16,16,9,7,,
12,16,13,8,4,16,14,9,7,11,3,1,10,2,6,5,,
16,9,8,15,11,1,14,10,2,3,5,6,12,16,7,4,,
11,16,8,5,1,14,12,15,13,10,2,3,7,9,6,4,,
16,6,9,7,4,10,15,14,1,11,5,12,13,8,3,2,,
10,1,10,10,6,2,10,10,3,10,5,4,10,10,10,7,,
12,10,14,5,6,15,13,2,4,11,3,8,16,1,9,7,,
13,12,9,10,6,1,14,15,2,11,5,3,16,8,4,7,,
15,14,12,7,3,10,16,4,1,8,2,6,11,13,9,5,,
14,16,11,6,4,3,15,10,9,7,2,1,8,12,13,5,,
10,16,5,13,2,12,14,16,3,7,1,11,8,10,6,4,,
15,12,9,16,5,4,16,16,2,13,3,8,14,6,7,1,,
7,4,4,5,2,8,9,16,1,4,4,5,6,6,5,3,,
16,9,2,16,16,1,16,10,2,5,16,6,7,8,4,3,,
12,15,16,2,6,9,11,8,7,14,4,1,10,5,13,3,,
16,16,16,16,2,16,16,16,3,16,1,16,16,16,16,16,,
8,14,11,5,2,15,9,16,10,13,3,7,6,1,4,12,,
12,13,15,10,7,1,11,16,2,9,5,6,8,4,14,3,,
16,16,16,16,16,16,16,16,1,16,2,16,16,16,16,16,,
16,13,12,11,7,3,16,16,2,1,5,4,6,10,9,8,,
14,16,15,11,6,3,10,16,5,7,2,4,13,1,12,8,,
