rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,Num Cands,Num Seats
Skipped,Skipped,Skipped,2,3,Skipped,1,4,8.0,1.0
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,Skipped,1,2,Skipped,Skipped,3,,
Skipped,4,3,1,Skipped,Skipped,2,5,,
Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,,
8,2,5,7,4,6,1,3,,
Skipped,Skipped,Skipped,3,2,Skipped,Skipped,1,,
Skipped,2,Skipped,1,3,Skipped,Skipped,4,,
Skipped,3,Skipped,1,2,Skipped,Skipped,4,,
6,3,Skipped,2,5,4,1,7,,
6,1,Skipped,3,4,Skipped,2,5,,
Skipped,4,Skipped,3,2,Skipped,1,5,,
Skipped,Skipped,Skipped,1,2,Skipped,3,Skipped,,
Skipped,Skipped,Skipped,1,3,4,2,Skipped,,
6,1,Skipped,2,4,Skipped,2,5,,
Skipped,3,5,1,4,Skipped,2,6,,
5,3,8,Skipped,1,2,6,7,,
6,8,3,2,5,1,4,7,,
1,Skipped,Skipped,2,5,Skipped,3,4,,
Skipped,3,4,1,5,Skipped,2,Skipped,,
4,6,7,1,8,3,2,5,,
4,Skipped,Skipped,1,2,Skipped,3,5,,
8,2,4,7,6,5,1,3,,
Skipped,2,Skipped,1,3,Skipped,Skipped,4,,
Skipped,2,5,1,3,Skipped,6,4,,
4,6,8,1,5,7,2,3,,
Skipped,5,Skipped,1,3,Skipped,2,4,,
3,4,8,6,5,1,2,7,,
Skipped,5,Skipped,4,2,Skipped,1,3,,
5,4,7,2,6,8,1,3,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,,
Skipped,3,Skipped,1,4,Skipped,2,5,,
Skipped,1,Skipped,4,Skipped,5,1,3,,
5,1,Skipped,2,3,Skipped,Skipped,4,,
Skipped,3,Skipped,1,2,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,3,2,Skipped,1,4,,
6,Skipped,5,5,7,5,1,5,,
6,2,4,3,8,5,1,7,,
8,3,7,5,4,6,2,1,,
7,6,2,3,Skipped,4,1,5,,
Skipped,1,Skipped,2,3,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,3,Skipped,Skipped,2,,
Skipped,1,4,2,Skipped,Skipped,5,3,,
8,2,4,6,5,7,3,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,2,8,4,7,3,1,5,,
3,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,3,Skipped,Skipped,2,,
Skipped,5,6,1,2,7,3,4,,
3,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,,
Skipped,1,Skipped,2,Skipped,Skipped,3,4,,
7,4,8,1,5,6,3,2,,
8,4,6,5,7,2,1,3,,
Skipped,1,Skipped,2,4,Skipped,3,Skipped,,
Skipped,3,Skipped,2,Skipped,Skipped,1,4,,
?,4,3,6,1,2,5,?,,
