rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
17,11,10,17,13,15,14,1,2,12,Skipped,4,17,17,17,6,16,17.0,1.0
15,15,16,10,7,9,1,9,4,7,3,17,12,15,15,8,2,,
4,11,2,6,9,8,10,3,16,14,7,17,13,15,1,5,12,,
8,13,Skipped,4,6,11,17,7,1,Skipped,2,3,10,Skipped,12,9,5,,
17,17,13,3,10,15,17,14,2,5,11,1,17,17,17,6,16,,
17,17,17,17,17,17,17,17,2,17,17,3,17,17,17,1,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,6,2,3,7,17,8,4,17,16,1,17,17,6,17,12,5,,
Skipped,Skipped,4,Skipped,5,Skipped,6,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,3,17,17,17,17,5,17,1,17,17,17,17,1,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
7,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,5,Skipped,Skipped,8,4,Skipped,6,Skipped,1,,
17,17,3,17,5,17,2,6,17,4,17,17,17,17,17,17,1,,
7,11,14,1,8,15,5,12,16,13,17,2,3,6,10,9,4,,
10,2,16,4,13,11,17,8,5,15,12,3,6,Skipped,9,1,7,,
9,12,6,17,3,11,13,5,17,2,8,17,10,17,7,1,4,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,6,14,5,8,11,1,9,10,13,4,7,12,16,3,15,2,,
9,6,14,4,5,13,17,12,1,7,16,3,8,2,11,15,10,,
17,17,17,17,17,17,17,17,2,17,3,1,17,17,17,17,17,,
Skipped,6,16,2,15,Skipped,4,Skipped,Skipped,14,5,Skipped,7,13,1,17,3,,
12,10,11,8,9,13,17,6,1,7,Skipped,2,3,14,5,3,4,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
3,10,14,6,7,13,15,12,1,11,4,2,8,9,17,5,17,,
1,4,3,6,10,10,17,12,10,6,11,2,14,5,16,15,13,,
17,17,17,4,17,17,17,17,3,17,17,2,17,17,17,1,17,,
13,14,10,8,7,9,5,2,4,17,12,6,3,16,11,15,1,,
17,14,11,12,17,16,10,8,17,15,7,17,13,6,1,5,9,,
16,4,11,14,10,9,3,6,13,12,17,2,15,1,5,8,7,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
4,7,11,17,8,10,13,9,1,16,3,12,5,2,15,6,14,,
6,14,9,11,8,17,7,15,1,12,2,5,13,4,10,3,16,,
5,6,2,4,7,8,Skipped,3,Skipped,11,Skipped,Skipped,12,10,1,Skipped,9,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,,
17,17,17,17,5,17,4,2,6,17,3,17,17,17,17,17,1,,
12,13,16,4,6,11,7,15,9,17,10,14,5,3,8,1,2,,
10,7,17,2,5,9,17,8,1,17,17,3,9,4,17,6,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,17,1,17,17,2,17,17,17,3,17,,
17,17,17,17,17,3,7,4,1,17,17,6,5,Skipped,17,1,2,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,,
17,17,17,17,17,17,17,17,1,17,17,2,17,17,17,17,17,,
17,8,5,17,17,4,3,17,2,4,17,7,6,17,2,1,4,,
17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,3,1,17,17,17,17,17,17,17,17,2,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,16,16,3,8,16,16,12,2,16,17,1,16,12,16,16,1,,
3,15,9,2,4,1,17,5,8,14,6,13,16,12,10,11,7,,
