rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,Num Cands,Num Seats
18,18,3,18,18,18,2,18,18,18,18,18,18,1,18,18,18,18,18.0,1.0
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,4,Skipped,,
17,17,17,17,17,17,18,17,1,17,17,17,17,17,17,17,17,17,,
Skipped,Skipped,10,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,5,1,Skipped,5,Skipped,Skipped,,
18,18,18,18,2,18,18,18,18,8,18,18,18,1,18,18,3,18,,
5,1,14,18,3,12,2,6,13,15,4,17,9,16,11,8,10,7,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,18,18,2,18,18,18,18,18,3,18,18,18,18,18,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
Skipped,Skipped,18,3,5,Skipped,4,Skipped,18,Skipped,Skipped,Skipped,1,2,Skipped,6,Skipped,Skipped,,
18,18,18,1,18,18,3,18,18,18,18,18,3,18,18,2,18,18,,
18,18,1,18,18,18,18,18,18,18,18,18,2,18,18,18,5,18,,
18,18,18,18,18,18,2,18,18,18,18,18,1,18,18,3,18,18,,
18,18,18,1,18,18,18,18,7,18,18,7,16,18,18,10,18,18,,
8,6,18,7,18,18,1,18,5,18,9,18,2,3,18,4,18,18,,
18,4,2,18,18,18,1,18,18,18,18,18,3,3,18,3,18,18,,
17,2,5,17,17,17,18,17,14,17,15,12,3,18,17,9,17,17,,
18,18,1,18,18,18,18,18,4,18,18,18,3,18,18,2,18,18,,
Skipped,Skipped,18,10,Skipped,Skipped,10,Skipped,7,Skipped,16,7,5,9,14,9,Skipped,Skipped,,
18,5,18,18,18,18,2,18,4,18,18,18,3,6,18,1,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,,
