rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,Num Cands,Num Seats
7,1,5,6,8,4,2,3,8.0,1.0
4,Skipped,2,Skipped,Skipped,3,Skipped,1,,
1,4,7,2,3,6,5,8,,
2,7,8,5,1,6,3,4,,
5,7,2,4,6,3,8,1,,
3,4,1,3,7,2,5,6,,
1,3,6,5,Skipped,4,2,6,,
2,4,5,3,7,7,1,7,,
2,5,1,2,2,3,4,6,,
1,5,7,2,4,6,2,3,,
1,6,Skipped,5,3,Skipped,4,2,,
4,7,1,5,8,3,6,2,,
1,4,8,3,5,7,2,6,,
8,3,7,1,5,4,6,2,,
1,3,8,2,5,4,6,7,,
1,6,3,3,2,8,2,4,,
Skipped,2,Skipped,1,Skipped,Skipped,3,Skipped,,
1,4,6,5,7,8,3,2,,
2,4,6,5,1,5,3,2,,
2,3,8,7,1,5,6,4,,
1,6,8,2,5,7,3,4,,
2,1,8,4,5,3,2,4,,
1,4,8,2,8,8,3,8,,
8,8,2,8,8,3,8,1,,
1,8,8,2,4,3,7,3,,
1,8,2,8,8,3,8,2,,
1,8,8,4,3,8,8,2,,
5,2,3,4,Skipped,6,1,4,,
1,4,5,5,3,Skipped,3,2,,
4,4,1,4,8,3,4,2,,
1,2,6,1,3,5,1,4,,
1,4,7,5,4,3,2,6,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
4,4,1,4,8,3,4,2,,
6,5,2,4,7,2,3,1,,
4,4,1,4,8,3,4,2,,
4,4,2,4,8,1,4,3,,
8,4,2,5,6,1,8,3,,
1,8,2,8,4,3,8,2,,
3,Skipped,2,6,5,4,7,1,,
4,1,Skipped,1,Skipped,Skipped,1,4,,
1,4,Skipped,2,3,6,5,Skipped,,
7,5,1,4,8,2,4,3,,
4,4,1,2,8,4,3,4,,
8,5,3,1,6,2,4,1,,
1,6,8,2,4,5,7,3,,
