rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,Num Cands,Num Seats
2,14,21,7,11,21,6,8,21,10,21,21,3,13,12,1,5,21,9,4,21,21,22.0,1.0
7,2,13,5,21,20,8,14,16,4,12,9,22,19,18,10,1,11,2,6,3,17,,
Skipped,13,Skipped,Skipped,12,Skipped,8,7,4,2,1,Skipped,6,11,22,Skipped,9,3,10,5,Skipped,Skipped,,
22,9,22,11,8,22,22,1,22,7,5,10,6,12,22,22,3,4,2,22,22,22,,
22,1,22,11,12,22,20,6,5,10,3,13,2,22,22,22,9,4,8,7,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,13,15,22,4,16,18,1,14,2,5,10,3,9,17,22,6,8,7,12,22,11,,
Skipped,7,Skipped,Skipped,13,Skipped,5,11,Skipped,6,Skipped,Skipped,1,4,Skipped,10,2,9,12,14,Skipped,Skipped,,
22,22,22,1,1,22,1,1,22,1,22,22,1,1,1,1,1,1,1,1,22,22,,
Skipped,3,11,Skipped,7,Skipped,8,15,2,14,1,9,6,16,13,Skipped,5,5,12,4,Skipped,10,,
Skipped,3,Skipped,Skipped,12,Skipped,9,8,16,7,5,11,6,15,17,Skipped,1,2,10,4,14,13,,
22,22,22,22,9,22,6,2,22,7,5,22,3,22,22,22,4,22,1,8,22,22,,
22,14,16,17,7,19,6,5,10,13,2,20,1,8,11,21,3,18,9,4,12,15,,
22,7,22,22,22,22,4,3,8,22,6,22,2,22,22,22,1,22,5,10,22,9,,
19,15,20,17,13,22,8,10,11,5,1,6,3,9,16,21,2,4,14,7,18,12,,
Skipped,10,Skipped,Skipped,5,Skipped,5,3,7,3,3,Skipped,5,10,10,Skipped,1,3,7,5,4,10,,
22,19,22,22,9,22,12,9,17,19,14,22,10,14,18,22,1,14,9,15,22,22,,
20,10,18,11,9,17,4,3,13,12,5,16,2,14,7,22,1,15,6,8,19,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,2,22,22,22,22,,
22,22,22,22,22,22,22,1,3,22,2,22,5,7,22,22,22,4,6,22,22,22,,
22,22,22,22,22,22,22,3,7,5,1,22,4,22,22,22,6,2,22,22,22,22,,
21,12,8,18,14,19,10,2,13,9,7,15,1,16,11,22,4,6,3,5,17,20,,
22,9,17,13,10,20,15,6,8,16,4,14,2,7,18,22,1,3,19,5,21,11,,
22,22,22,22,22,22,22,22,22,22,1,22,22,2,22,22,22,22,22,22,22,22,,
Skipped,11,10,Skipped,5,15,12,3,13,8,4,9,6,14,16,Skipped,2,1,5,7,Skipped,Skipped,,
20,7,18,14,15,17,11,4,19,12,3,21,2,10,8,22,1,9,5,6,13,16,,
17,13,18,18,12,22,6,2,8,9,4,16,11,14,22,15,1,7,3,5,18,10,,
12,8,22,6,9,19,14,1,13,10,3,17,11,18,15,20,4,2,7,5,21,16,,
18,18,18,18,18,18,1,21,18,18,19,20,2,22,18,18,3,18,11,9,18,18,,
18,8,21,12,14,22,4,6,15,10,3,11,1,9,13,20,2,5,7,16,19,17,,
21,6,22,22,8,22,5,3,16,14,2,13,4,12,11,22,1,9,7,15,10,22,,
19,7,17,15,8,21,22,2,11,10,4,9,3,14,20,18,5,12,1,6,16,13,,
16,8,15,16,13,16,6,1,10,11,4,16,2,12,14,16,3,7,9,5,16,16,,
22,22,22,22,8,22,3,2,22,22,2,22,2,3,7,22,6,22,6,22,22,22,,
22,11,22,22,8,22,6,10,22,5,2,22,1,22,22,22,3,7,12,9,22,22,,
17,5,12,18,15,14,9,2,4,16,3,8,11,7,13,22,1,2,6,10,22,19,,
19,4,12,21,7,18,5,9,13,14,3,6,1,11,16,20,22,2,10,8,17,15,,
22,4,6,22,8,22,10,5,22,7,22,22,3,22,12,11,1,22,2,9,22,22,,
20,7,16,19,13,22,11,2,8,6,5,15,1,9,18,21,4,10,3,12,17,14,,
7,2,18,13,9,18,20,8,11,6,3,10,4,12,22,18,21,5,1,19,18,18,,
21,15,11,13,14,12,7,1,8,16,10,21,2,19,4,22,3,5,20,9,17,18,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
20,6,21,19,7,17,14,2,12,9,3,10,4,13,18,22,5,1,8,11,16,15,,
19,5,22,12,8,9,15,3,14,7,18,6,1,17,20,21,2,11,4,16,13,10,,
17,13,21,11,9,19,7,1,10,18,2,12,3,14,15,22,5,8,4,6,16,20,,
12,17,18,16,21,20,8,3,19,5,14,10,22,1,11,13,4,9,6,7,2,15,,
22,4,Skipped,22,7,22,22,6,22,Skipped,3,13,2,10,9,22,1,8,22,5,22,22,,
10,12,17,20,8,15,5,3,19,11,7,18,2,6,16,21,1,13,4,9,22,14,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
12,9,18,8,15,22,5,1,16,7,19,6,2,17,10,13,3,21,11,20,4,14,,
6,15,2,3,10,13,4,18,21,9,16,14,5,11,1,7,19,17,12,20,8,22,,
14,13,9,22,6,22,11,8,22,12,3,22,2,10,22,22,1,5,4,7,22,22,,
22,3,22,22,10,22,9,5,4,6,2,7,1,6,12,22,1,5,4,8,11,22,,
22,7,22,22,22,8,5,6,22,22,4,22,2,22,22,22,1,22,17,3,22,22,,
22,2,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,3,,
15,3,19,8,9,21,7,2,10,22,1,12,6,17,14,13,4,5,20,11,15,18,,
22,11,22,22,12,22,4,9,13,22,5,10,2,8,22,22,3,6,7,1,22,22,,
10,18,19,17,21,9,15,22,17,16,21,10,20,12,20,11,17,19,3,12,8,8,,
15,14,19,3,4,18,11,9,22,13,7,17,1,6,20,16,12,10,5,2,8,21,,
22,22,22,22,22,22,3,22,22,22,22,22,1,22,22,22,2,22,4,22,22,22,,
22,7,18,17,9,16,5,4,12,6,3,20,10,11,14,21,2,8,1,15,19,13,,
22,5,15,18,11,20,9,3,7,13,6,14,8,4,17,21,1,16,2,10,12,19,,
22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,3,22,2,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,3,5,22,4,6,6,5,5,6,2,5,6,7,6,22,1,5,5,2,22,22,,
13,16,Skipped,1,12,Skipped,6,2,9,14,8,15,5,10,Skipped,Skipped,3,7,4,11,Skipped,17,,
14,12,21,9,18,22,20,3,7,6,1,16,5,8,20,17,2,4,10,11,15,13,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,4,22,4,4,2,2,2,4,3,22,22,22,1,22,22,4,22,4,,
13,4,17,15,8,17,11,2,17,6,3,12,7,16,17,10,5,9,1,11,14,17,,
Skipped,10,Skipped,Skipped,Skipped,Skipped,8,5,7,9,1,Skipped,2,11,Skipped,Skipped,4,Skipped,6,3,Skipped,Skipped,,
22,22,22,22,22,22,22,4,22,5,22,22,1,2,22,22,3,22,5,22,22,22,,
11,12,Skipped,Skipped,Skipped,Skipped,8,3,9,7,3,Skipped,1,6,Skipped,Skipped,2,5,4,Skipped,Skipped,10,,
12,6,9,22,7,22,5,4,22,22,11,22,1,22,8,3,2,22,22,10,22,22,,
22,11,12,17,15,22,9,3,8,10,1,14,2,13,13,22,4,7,5,6,18,16,,
22,3,22,12,7,22,9,1,22,11,6,22,5,8,10,22,4,14,2,13,22,22,,
17,3,12,19,21,18,9,2,8,1,4,6,11,14,15,22,7,5,13,10,20,16,,
15,3,16,18,11,17,12,2,13,15,4,9,5,19,20,22,1,6,8,7,21,10,,
22,22,22,22,11,22,5,9,22,8,10,22,1,7,22,22,2,3,4,6,22,22,,
9,18,11,8,20,16,15,4,21,5,6,14,3,13,12,10,1,19,2,7,17,22,,
22,8,22,22,22,22,22,1,6,7,4,22,3,22,22,22,2,5,7,7,22,22,,
13,9,16,17,20,21,10,3,11,8,5,7,2,12,22,14,6,4,1,18,15,19,,
22,8,15,22,16,22,11,4,12,7,1,9,5,13,17,22,3,6,2,10,22,14,,
22,10,11,22,16,18,8,5,13,6,1,9,3,17,14,22,2,15,12,4,22,7,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,,
22,22,22,22,5,22,22,4,22,22,22,22,2,22,22,22,1,22,3,22,22,22,,
16,15,7,10,7,22,13,2,11,22,4,14,1,22,12,22,2,6,5,9,22,22,,
16,8,Skipped,17,9,11,14,2,7,3,1,10,13,12,15,Skipped,4,6,5,18,Skipped,Skipped,,
14,4,18,19,12,22,6,5,21,9,10,16,2,7,13,15,1,8,3,11,17,20,,
6,12,4,10,14,21,5,14,17,19,8,22,1,20,11,6,2,16,3,9,18,13,,
10,22,22,7,22,22,10,2,22,3,5,10,4,22,22,10,22,6,1,22,10,22,,
22,2,22,22,3,22,9,1,8,22,6,22,5,22,22,22,7,4,11,10,22,12,,
12,3,17,9,8,22,13,1,15,19,6,20,4,16,5,11,2,14,10,7,21,18,,
21,4,12,14,11,19,5,22,13,5,10,15,7,17,8,16,1,18,3,2,9,17,,
17,12,19,20,13,22,14,2,16,5,10,9,3,7,8,18,6,4,1,11,15,21,,
Skipped,5,11,Skipped,16,21,7,4,13,8,1,18,2,15,19,Skipped,6,3,9,14,10,20,,
22,2,22,22,12,22,11,3,5,10,1,22,8,22,22,22,4,9,7,5,22,22,,
22,4,22,22,22,22,22,1,4,5,7,6,22,22,22,22,22,4,22,22,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,22,22,,
22,12,14,22,15,22,5,3,22,2,6,11,4,22,16,22,22,9,1,13,8,22,,
Skipped,Skipped,8,Skipped,Skipped,Skipped,4,5,Skipped,7,9,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,6,3,Skipped,Skipped,,
21,21,21,21,8,21,2,1,21,6,5,21,7,21,21,21,22,4,3,21,21,21,,
19,7,10,20,8,16,14,2,9,13,1,11,3,21,18,22,4,6,12,8,17,15,,
17,11,22,20,18,12,14,2,10,16,9,15,4,1,8,21,6,5,7,13,3,19,,
10,13,14,12,6,Skipped,7,1,Skipped,Skipped,4,8,5,Skipped,Skipped,11,6,Skipped,1,9,3,15,,
Skipped,9,10,Skipped,8,Skipped,11,5,Skipped,Skipped,7,Skipped,1,Skipped,Skipped,Skipped,2,4,3,6,Skipped,12,,
22,8,22,22,22,22,6,1,22,7,3,22,9,10,22,22,2,4,5,22,22,22,,
17,12,20,18,9,21,10,7,11,8,3,15,2,6,22,16,5,14,1,4,19,13,,
22,16,14,13,12,19,9,3,2,8,4,20,6,1,17,21,10,11,7,5,15,18,,
22,1,19,22,9,12,22,3,16,22,6,8,11,11,22,22,2,9,18,7,22,22,,
17,12,15,14,16,19,7,4,21,13,1,20,2,10,6,18,3,8,5,9,11,22,,
Skipped,Skipped,11,Skipped,5,Skipped,11,3,Skipped,5,5,10,3,6,20,Skipped,1,10,2,10,19,15,,
12,10,22,14,7,22,3,3,22,9,4,5,1,6,11,13,22,15,2,8,22,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
21,9,13,7,8,19,10,1,5,20,6,18,2,17,16,21,4,3,12,15,11,13,,
Skipped,Skipped,Skipped,Skipped,10,Skipped,3,7,6,10,10,10,2,8,Skipped,Skipped,1,5,9,4,Skipped,Skipped,,
22,11,22,22,22,22,5,4,9,6,8,12,1,7,22,22,2,10,3,22,22,22,,
22,4,22,22,4,22,3,4,6,5,4,4,2,6,22,22,1,4,4,3,6,22,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
22,4,22,22,6,22,10,1,13,11,3,22,2,9,22,22,5,8,6,12,22,14,,
21,10,11,18,9,16,15,2,8,14,6,17,5,13,12,22,4,3,1,7,20,19,,
18,6,12,21,11,22,8,1,16,9,5,15,2,13,19,20,3,10,4,7,17,14,,
19,6,4,18,9,22,7,2,12,8,5,15,10,11,16,20,3,14,1,13,21,17,,
22,3,22,22,22,22,8,7,22,6,5,22,4,11,22,22,2,10,1,9,22,22,,
Skipped,6,14,17,9,15,7,2,11,10,8,Skipped,3,Skipped,16,Skipped,1,13,4,5,Skipped,12,,
5,9,17,16,9,21,8,3,15,12,2,20,1,13,18,10,7,9,11,7,19,22,,
11,18,20,13,15,19,8,5,16,21,6,7,1,4,19,12,4,9,10,4,22,17,,
16,13,18,21,14,20,8,3,19,12,6,11,1,5,10,22,2,9,4,7,17,15,,
19,12,22,18,10,9,11,2,6,13,4,16,8,15,14,21,1,3,7,5,20,17,,
22,22,22,6,22,22,22,3,7,22,2,22,1,22,22,22,4,5,8,22,22,22,,
15,12,22,3,2,13,10,8,22,6,14,17,1,4,11,16,22,5,9,7,22,22,,
22,10,22,22,13,22,7,4,11,6,5,22,2,12,14,22,3,15,1,9,22,8,,
