rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
9,10,3,11,8,14,13,1,7,15,4,5,6,11,2,16,16.0,1.0
7,8,11,8,7,3,8,1,12,5,4,11,12,2,6,16,,
7,4,5,6,7,6,5,2,7,6,7,6,5,3,1,16,,
9,7,6,4,15,3,8,2,12,1,10,13,14,5,11,16,,
1,11,2,4,10,15,12,3,7,14,9,5,6,13,8,16,,
14,13,14,14,3,14,8,16,8,2,14,5,14,16,1,16,,
5,6,5,1,9,10,2,3,6,4,4,7,8,4,5,11,,
2,2,7,1,14,13,3,12,8,10,4,9,5,2,6,11,,
1,15,5,12,13,11,10,7,13,6,14,8,2,3,4,16,,
13,2,4,6,10,9,7,5,11,14,1,12,15,8,3,16,,
10,15,4,13,11,7,9,6,12,5,1,14,2,3,8,16,,
11,2,12,8,12,8,7,3,9,7,4,10,6,1,5,16,,
8,10,5,7,13,2,9,3,11,14,12,6,1,4,15,16,,
7,11,10,1,6,7,1,2,12,9,1,3,8,4,5,16,,
5,16,16,6,16,1,16,3,16,4,16,16,2,8,7,16,,
7,14,11,9,15,4,12,1,6,10,8,2,5,13,3,16,,
10,6,3,11,13,14,9,1,12,8,4,15,7,5,2,16,,
8,2,6,10,11,5,12,7,6,8,4,13,9,1,3,16,,
5,3,9,6,7,8,4,11,16,10,1,16,15,16,2,16,,
16,9,10,6,16,2,7,1,16,16,4,8,11,3,5,16,,
8,3,1,7,10,7,4,9,6,15,1,14,16,12,5,13,,
8,3,4,7,16,6,5,10,16,16,1,16,16,16,2,11,,
9,12,2,10,15,6,13,3,7,14,1,8,11,4,5,16,,
2,16,10,7,3,4,8,16,15,6,16,16,5,1,9,16,,
8,6,4,6,9,10,5,1,16,16,3,16,6,16,2,16,,
3,1,5,3,11,10,4,6,12,7,2,8,9,2,6,16,,
4,1,5,4,7,3,7,5,7,7,2,7,6,3,4,16,,
8,6,10,2,10,5,9,15,10,10,1,10,7,3,4,16,,
9,8,10,11,11,10,11,6,3,5,7,2,4,1,11,16,,
9,15,1,5,14,12,8,1,3,13,2,11,4,10,6,16,,
6,7,8,5,6,3,7,2,6,7,4,7,2,1,8,16,,
11,15,14,4,13,9,1,3,10,5,2,8,12,6,7,16,,
8,13,4,7,1,4,4,2,5,6,3,11,10,12,9,16,,
2,8,10,7,6,15,14,1,11,5,12,9,13,3,4,16,,
12,13,2,11,11,3,11,1,5,7,4,6,11,8,8,16,,
3,13,6,15,4,11,16,2,1,7,12,1,10,9,14,16,,
13,5,12,4,14,9,7,1,11,1,6,10,8,3,15,16,,
11,14,2,4,12,1,13,16,10,7,3,9,6,8,5,15,,
14,3,16,12,2,7,9,1,6,8,11,4,13,10,5,16,,
9,14,5,8,13,11,7,1,4,12,2,10,6,3,15,16,,
10,16,3,11,12,1,15,5,7,8,4,7,1,9,2,13,,
1,16,2,1,6,2,1,16,5,12,2,2,2,1,12,16,,
16,1,1,1,1,1,16,1,1,1,1,1,1,16,1,16,,
14,16,16,1,11,6,1,16,2,4,2,10,3,16,13,15,,
13,16,3,7,14,4,11,1,9,15,10,8,5,12,6,2,,
4,8,3,6,11,2,9,12,5,15,13,10,7,1,14,16,,
4,4,5,4,6,3,3,2,6,6,1,4,4,5,4,7,,
14,16,6,4,8,7,13,1,10,11,9,2,5,12,3,15,,
5,16,4,7,11,1,16,9,16,6,2,10,1,8,3,16,,
5,6,3,1,16,12,11,2,4,9,10,16,7,16,8,16,,
16,16,7,4,16,6,10,1,9,16,3,8,5,2,2,11,,
14,13,7,8,11,4,10,2,9,1,3,12,5,15,6,16,,
12,6,1,11,16,2,16,6,8,12,3,10,5,4,7,16,,
12,15,1,13,8,5,14,2,10,7,4,6,11,3,9,16,,
13,9,7,8,15,12,11,1,2,14,5,6,4,10,3,16,,
1,15,13,7,11,5,9,2,10,6,3,6,8,4,12,16,,
3,5,7,6,5,5,6,1,8,1,6,7,8,3,7,16,,
10,14,3,6,12,11,4,1,7,5,2,13,9,8,7,16,,
10,11,4,9,13,15,12,6,3,2,8,14,5,7,1,16,,
12,14,3,13,11,2,8,1,5,6,7,15,9,4,10,16,,
9,5,8,13,14,4,3,1,10,15,6,11,7,12,2,16,,
7,4,3,6,11,12,5,9,16,15,1,14,8,10,2,13,,
4,16,7,1,10,12,2,15,13,9,6,8,11,3,5,14,,
6,16,2,16,16,2,4,8,16,6,1,5,1,3,5,16,,
2,13,8,7,4,9,5,14,10,6,3,12,16,1,15,11,,
1,8,12,2,5,11,9,15,7,4,6,14,10,13,3,16,,
1,11,10,3,9,5,7,4,12,13,6,8,15,2,16,14,,
6,3,10,7,14,5,8,11,2,12,1,16,4,15,9,13,,
6,14,1,13,5,7,16,2,8,3,12,11,10,9,4,15,,
14,8,11,6,1,13,7,3,9,15,1,12,5,10,3,16,,
9,8,3,9,13,6,12,1,10,7,2,11,10,4,5,16,,
14,15,11,13,5,2,3,10,7,9,8,12,1,6,4,16,,
7,16,3,1,15,16,2,5,16,8,8,16,16,16,4,6,,
6,11,1,2,7,10,13,3,5,8,4,14,15,9,12,16,,
1,6,3,7,14,12,8,2,11,10,5,15,13,4,9,16,,
12,6,9,3,1,8,7,10,14,2,4,13,15,5,11,16,,
5,16,16,4,16,16,3,16,16,16,2,16,16,1,6,16,,
