rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
Skipped,Skipped,4,Skipped,1,Skipped,Skipped,Skipped,3,5,2,Skipped,Skipped,6,14.0,1.0
8,2,1,Skipped,3,6,5,Skipped,Skipped,11,Skipped,9,7,4,,
Skipped,3,4,Skipped,2,7,Skipped,Skipped,6,8,Skipped,Skipped,5,1,,
4,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,3,5,Skipped,Skipped,6,,
Skipped,Skipped,3,5,1,Skipped,Skipped,Skipped,6,4,Skipped,Skipped,Skipped,2,,
2,Skipped,3,7,1,8,Skipped,Skipped,Skipped,Skipped,5,9,4,6,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
3,4,1,14,2,7,14,14,14,14,8,14,6,5,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,,
9,1,2,11,3,Skipped,Skipped,6,8,10,Skipped,Skipped,4,7,,
Skipped,Skipped,3,5,1,Skipped,Skipped,Skipped,Skipped,6,7,Skipped,4,2,,
12,10,6,11,1,Skipped,8,4,7,5,2,13,9,3,,
6,Skipped,4,7,1,10,11,12,8,9,2,Skipped,3,5,,
Skipped,Skipped,5,Skipped,1,Skipped,2,6,3,Skipped,4,Skipped,Skipped,Skipped,,
13,5,2,11,1,Skipped,12,8,9,7,6,10,3,4,,
3,5,4,6,1,Skipped,8,7,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,3,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,4,Skipped,3,Skipped,,
5,Skipped,1,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
Skipped,3,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,,
7,Skipped,6,5,4,9,8,10,3,11,Skipped,Skipped,2,1,,
Skipped,Skipped,3,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,8,5,6,7,4,Skipped,Skipped,Skipped,9,1,3,2,,
Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,6,Skipped,Skipped,7,2,Skipped,Skipped,Skipped,4,1,5,Skipped,,
2,6,3,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,,
7,8,6,Skipped,4,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,3,5,,
Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
5,4,8,9,6,Skipped,Skipped,Skipped,Skipped,7,2,Skipped,3,1,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,3,Skipped,1,,
3,Skipped,1,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,8,11,Skipped,6,Skipped,Skipped,4,9,5,2,1,3,7,,
Skipped,Skipped,5,6,9,7,8,Skipped,1,Skipped,Skipped,2,4,3,,
Skipped,6,1,4,6,Skipped,Skipped,Skipped,2,5,Skipped,Skipped,Skipped,3,,
8,7,3,11,1,13,6,Skipped,12,4,5,10,9,2,,
1,8,2,Skipped,6,3,Skipped,Skipped,4,Skipped,5,Skipped,7,9,,
3,12,11,10,4,Skipped,1,7,2,9,6,Skipped,8,5,,
10,8,7,3,6,Skipped,Skipped,Skipped,2,4,9,Skipped,5,1,,
?,?,2,11,6,7,4,5,8,3,?,9,10,1,,
