rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
3,15,15,15,2,15,15,15,15,15,15,1,15,15,15,15.0,1.0
2,8,9,14,10,7,4,13,2,1,1,1,6,5,3,,
10,12,14,11,9,1,4,6,2,Skipped,3,5,15,7,8,,
15,15,5,9,10,3,3,9,15,9,4,15,3,6,11,,
15,15,15,15,15,15,15,15,15,1,15,2,15,15,15,,
4,13,15,13,13,3,5,13,13,15,1,13,12,2,13,,
3,10,12,10,5,6,14,2,10,13,1,10,7,4,10,,
6,Skipped,Skipped,Skipped,2,5,3,Skipped,7,Skipped,1,Skipped,Skipped,4,8,,
2,15,1,15,15,15,15,15,15,2,15,15,15,15,15,,
9,5,2,4,11,14,13,12,8,Skipped,15,10,3,1,12,,
1,15,Skipped,15,15,4,2,15,15,Skipped,3,15,5,15,15,,
1,15,15,15,2,15,3,15,15,15,15,15,15,15,15,,
10,12,14,12,8,2,1,7,5,13,3,11,15,4,6,,
3,15,15,2,15,15,15,15,15,1,15,15,15,15,15,,
15,4,3,1,15,15,15,15,15,15,15,15,2,15,5,,
2,7,15,6,5,3,15,4,8,15,15,10,15,1,9,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
7,13,12,10,5,11,3,14,4,1,2,8,15,9,6,,
15,15,15,15,2,15,15,15,15,1,15,15,15,15,15,,
15,15,15,15,15,15,15,15,1,15,4,3,15,15,2,,
9,3,14,2,8,7,15,14,5,14,14,1,10,6,4,,
6,8,5,7,2,11,15,15,4,1,15,9,13,3,15,,
4,6,Skipped,9,3,11,2,Skipped,5,1,8,10,Skipped,12,7,,
15,15,15,15,15,15,15,15,15,1,15,15,15,15,15,,
15,7,Skipped,5,15,15,9,3,1,Skipped,8,6,4,10,2,,
6,7,15,15,8,1,4,3,15,15,1,5,15,2,15,,
6,11,15,14,10,3,1,4,5,Skipped,2,8,15,7,9,,
15,15,15,15,15,1,15,15,15,15,3,15,4,2,15,,
9,9,2,4,9,11,13,15,9,1,10,14,3,12,9,,
4,15,15,15,15,1,2,15,15,15,3,15,15,15,15,,
15,15,15,15,15,15,15,3,15,15,1,15,15,2,15,,
1,15,15,15,15,15,15,15,15,15,15,15,15,15,2,,
8,15,15,15,5,2,4,6,15,15,1,7,15,3,15,,
15,15,15,15,15,2,15,15,15,15,1,15,15,3,15,,
1,2,15,15,15,15,15,3,15,15,4,15,4,15,15,,
7,3,2,3,8,11,11,15,5,15,9,15,1,10,5,,
2,15,15,15,15,15,3,5,15,7,1,15,6,4,15,,
11,5,15,6,8,3,2,4,10,15,1,7,15,15,9,,
Skipped,8,Skipped,7,1,15,3,11,4,Skipped,5,10,2,15,6,,
15,15,15,15,15,15,1,15,15,15,2,15,15,3,15,,
7,15,15,15,5,4,15,1,15,15,2,6,15,3,15,,
1,15,4,15,2,15,15,15,3,15,15,15,15,5,15,,
15,15,15,15,15,15,2,15,3,15,1,15,15,4,15,,
5,15,2,Skipped,Skipped,Skipped,15,15,15,15,4,15,1,3,Skipped,,
9,15,1,3,10,12,13,7,8,2,6,5,4,11,14,,
5,8,13,9,3,4,15,3,12,14,6,7,11,1,10,,
3,Skipped,Skipped,Skipped,6,1,5,1,2,Skipped,4,Skipped,Skipped,5,7,,
10,5,1,4,7,9,15,8,6,13,14,12,11,3,2,,
15,15,15,15,15,15,15,15,15,1,15,15,15,15,15,,
15,15,15,15,15,3,15,2,15,15,15,15,15,1,15,,
15,15,15,15,15,15,15,15,15,15,1,15,15,15,15,,
15,15,15,15,15,15,1,15,15,15,15,15,15,2,15,,
15,15,15,15,15,15,15,15,15,15,15,1,15,15,15,,
5,6,14,4,3,10,9,8,7,15,1,12,13,2,11,,
5,15,15,15,15,1,15,15,15,15,1,15,15,15,15,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
3,15,15,15,2,15,15,15,15,15,15,15,15,1,15,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
1,15,2,15,3,15,15,15,15,15,15,15,15,15,15,,
1,9,11,10,5,5,14,6,7,15,8,5,13,2,12,,
8,15,15,15,15,5,1,7,3,15,4,15,15,2,6,,
1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
4,9,15,15,3,5,2,8,15,15,7,1,15,6,15,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,,
