rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
5,2,7,31,30,4,5,5,6,3,2,4,16,20,6,19,32,4,17,34,35,5,18,1,2,5,1,2,6,33,5,29,5,6,6,35.0,1.0
35,11,35,Skipped,7,35,34,Skipped,Skipped,33,Skipped,35,2,12,35,11,4,8,1,10,5,35,35,3,35,35,Skipped,35,Skipped,9,Skipped,Skipped,35,5,35,,
22,14,9,23,5,16,27,15,20,8,7,25,18,30,13,17,32,31,26,12,1,34,21,29,33,24,19,3,28,35,10,6,4,11,2,,
Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,,
35,3,1,35,35,35,35,35,4,35,35,35,1,6,35,35,35,35,35,35,5,35,35,35,35,35,35,35,35,35,5,35,35,35,35,,
3,35,35,3,35,35,6,1,35,35,35,35,35,35,35,35,35,35,35,35,35,8,35,7,35,2,5,35,35,35,35,4,35,35,35,,
2,5,1,35,1,4,1,4,4,2,2,4,5,35,1,1,1,35,3,2,1,6,5,6,6,35,1,4,35,35,2,2,2,5,1,,
6,4,35,2,35,10,8,1,16,35,35,12,35,3,35,14,35,35,Skipped,35,35,35,15,11,Skipped,2,9,7,35,35,35,5,13,35,35,,
1,Skipped,10,Skipped,3,11,Skipped,3,Skipped,16,17,Skipped,14,13,12,16,Skipped,2,Skipped,15,2,Skipped,Skipped,11,Skipped,4,7,Skipped,7,Skipped,9,Skipped,12,6,8,,
2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,3,35,35,35,35,35,35,35,35,35,35,35,35,35,35,4,1,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2,35,1,35,35,35,35,35,35,35,35,,
34,12,16,12,7,34,34,34,34,34,34,34,34,34,9,5,1,9,3,11,10,34,34,34,34,34,15,34,34,2,34,4,6,34,34,,
9,35,35,7,35,35,35,3,Skipped,35,4,35,6,Skipped,35,35,35,2,35,35,Skipped,35,Skipped,35,Skipped,Skipped,1,Skipped,5,35,35,8,35,35,Skipped,,
5,35,35,3,9,35,9,4,35,35,35,35,7,35,35,35,35,35,35,9,35,35,6,1,35,35,8,35,35,35,2,35,35,35,35,,
10,26,20,26,21,20,33,9,5,20,7,26,20,27,6,2,20,3,20,30,32,28,12,20,35,11,20,31,4,34,1,29,8,13,20,,
35,35,35,35,6,35,35,35,2,35,35,35,35,35,3,6,4,35,35,1,5,6,35,35,35,35,35,35,35,35,35,6,7,35,35,,
11,8,21,3,24,2,23,6,20,17,16,1,26,25,9,12,34,30,33,28,22,14,5,30,32,13,4,18,31,35,15,19,7,27,10,,
