rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
14,14,3,14,14,2,14,4,14,14,14,14,14,1,14.0,Unknown
2,9,13,4,7,12,10,11,3,8,5,1,6,14,,Unknown
2,9,12,5,3,13,8,11,4,10,6,1,7,14,,Unknown
7,14,2,8,13,6,6,1,6,3,13,5,14,1,,Unknown
14,9,5,6,10,2,7,3,11,8,13,12,4,1,,Unknown
4,13,10,9,12,3,11,5,7,2,14,8,6,1,,Unknown
12,11,1,10,14,3,4,5,8,7,13,9,6,2,,Unknown
4,8,2,11,9,13,3,1,10,5,14,12,7,6,,Unknown
7,7,3,12,13,5,2,4,11,6,14,8,10,1,,Unknown
2,10,14,6,4,9,12,11,5,7,3,1,8,13,,Unknown
14,14,14,14,14,4,14,2,14,14,14,3,14,1,,Unknown
13,1,14,12,7,11,7,14,12,14,5,12,4,14,,Unknown
6,9,11,4,3,14,10,12,2,8,5,1,7,13,,Unknown
14,14,14,14,14,3,14,2,14,14,14,14,14,1,,Unknown
14,14,14,14,14,14,2,1,14,14,14,14,3,14,,Unknown
13,8,7,14,12,1,2,9,10,5,11,6,4,3,,Unknown
11,10,9,12,13,2,1,7,5,4,14,8,6,3,,Unknown
14,14,14,14,14,1,14,14,14,14,14,14,14,14,,Unknown
14,14,14,2,14,3,14,14,14,14,14,14,14,1,,Unknown
14,14,3,14,14,14,2,14,14,14,14,14,14,1,,Unknown
14,14,3,14,4,14,14,1,14,14,14,14,2,14,,Unknown
14,14,3,14,14,14,2,1,14,14,14,14,14,14,,Unknown
13,11,1,9,14,7,12,3,8,10,5,4,6,2,,Unknown
14,14,3,14,14,14,14,2,14,4,14,14,14,1,,Unknown
14,14,1,14,14,2,5,6,14,4,14,14,14,3,,Unknown
14,6,4,7,14,3,5,8,9,10,14,8,2,1,,Unknown
14,9,1,10,13,5,6,4,8,11,12,7,3,2,,Unknown
5,10,12,8,2,9,14,13,3,4,7,1,6,11,,Unknown
14,14,1,14,14,3,14,14,14,2,14,14,14,14,,Unknown
4,3,8,12,9,6,7,13,11,5,14,10,2,1,,Unknown
1,5,2,10,14,12,11,6,7,4,8,3,9,13,,Unknown
