rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
2,11,5,9,13,7,8,10,12,1,4,6,3,14,14.0,1.0
6,3,14,11,14,5,9,10,8,4,1,7,2,14,,
1,9,7,6,12,10,13,11,8,3,5,4,2,14,,
2,12,7,11,3,8,13,9,10,6,5,4,1,Skipped,,
1,4,3,5,8,7,14,14,8,2,2,4,Skipped,Skipped,,
8,2,10,11,14,9,14,4,1,14,14,6,5,3,,
2,11,6,10,12,7,13,9,5,8,4,1,3,12,,
2,10,7,11,Skipped,Skipped,8,1,9,4,6,3,5,Skipped,,
1,12,12,14,14,Skipped,14,Skipped,Skipped,14,4,3,2,13,,
1,Skipped,6,8,Skipped,Skipped,3,Skipped,Skipped,7,5,4,2,Skipped,,
1,9,5,Skipped,13,4,Skipped,Skipped,7,8,6,3,2,12,,
2,4,11,6,13,7,12,8,10,5,9,3,1,14,,
1,5,11,4,12,9,14,7,10,6,8,3,2,13,,
1,7,8,3,13,14,6,2,11,5,9,4,10,12,,
1,7,6,5,14,8,12,6,11,9,4,3,2,13,,
1,4,14,2,14,4,14,8,14,14,14,4,5,14,,
2,11,3,10,11,4,14,2,6,10,6,3,2,12,,
6,9,3,5,12,7,13,11,10,8,2,1,4,14,,
4,8,3,10,13,12,7,11,10,1,2,6,5,14,,
4,7,9,8,5,13,14,11,10,3,12,2,1,6,,
3,Skipped,6,Skipped,Skipped,4,Skipped,Skipped,Skipped,7,2,5,1,Skipped,,
4,12,12,14,14,3,7,4,5,14,5,1,2,14,,
2,7,12,8,5,11,4,13,9,1,10,6,3,14,,
4,5,9,8,14,13,14,12,6,7,2,1,3,13,,
3,14,5,6,14,14,14,14,14,4,14,2,1,14,,
4,8,12,11,13,5,7,2,6,9,10,3,1,14,,
4,6,7,8,14,3,11,9,10,5,6,1,2,13,,
2,14,14,14,14,14,14,14,14,14,14,1,14,14,,
3,14,14,4,14,14,14,14,14,14,14,1,2,14,,
1,9,7,6,10,13,14,12,8,2,3,5,4,11,,
5,14,3,4,14,2,14,10,9,6,1,7,8,14,,
9,8,6,11,14,4,14,7,10,5,1,2,3,14,,
7,10,4,1,11,6,14,12,9,8,5,2,3,13,,
5,3,2,1,12,10,14,4,8,8,11,7,5,13,,
3,7,4,5,7,5,Skipped,6,7,2,4,1,5,7,,
14,3,14,14,14,14,14,14,14,14,14,1,2,14,,
2,12,14,13,13,13,13,13,13,1,11,13,13,13,,
2,3,5,4,2,4,5,3,5,7,6,1,1,2,,
3,5,9,6,Skipped,Skipped,11,4,2,10,7,1,8,Skipped,,
2,3,14,14,14,14,14,14,14,14,14,1,4,14,,
3,6,6,2,8,6,9,7,7,1,9,3,4,5,,
2,5,7,10,13,11,12,8,9,3,1,6,4,14,,
2,5,8,9,12,7,14,11,10,4,1,3,6,13,,
6,14,5,3,13,9,7,11,12,4,1,2,8,10,,
4,14,7,6,14,14,14,14,14,3,1,2,5,14,,
4,10,8,6,11,3,12,14,13,2,5,7,1,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,2,5,3,1,Skipped,,
3,13,5,14,10,4,12,1,9,2,8,7,6,11,,
2,10,4,12,14,8,9,7,6,1,5,3,11,13,,
2,8,14,3,14,14,14,14,14,1,4,14,3,14,,
6,2,5,1,3,12,1,11,10,14,7,14,13,4,,
2,9,5,7,11,6,14,10,13,8,4,3,1,12,,
1,11,6,9,14,5,7,10,14,8,4,3,2,14,,
5,11,3,10,13,9,Skipped,8,7,2,4,1,6,12,,
3,8,Skipped,Skipped,Skipped,4,Skipped,Skipped,7,6,2,1,5,Skipped,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
1,12,4,9,10,6,14,5,11,8,3,2,7,13,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,Skipped,,
8,1,3,11,9,10,14,12,13,5,6,4,2,7,,
3,6,4,11,13,9,14,7,10,2,8,1,5,12,,
14,14,14,14,14,14,14,14,14,14,14,3,14,14,,
2,9,4,11,12,6,Skipped,7,8,10,1,3,5,13,,
3,4,10,8,Skipped,Skipped,Skipped,9,Skipped,6,5,1,2,Skipped,,
3,Skipped,4,5,Skipped,Skipped,7,Skipped,Skipped,1,2,6,Skipped,Skipped,,
4,7,6,8,Skipped,1,14,9,Skipped,10,3,2,5,Skipped,,
4,3,Skipped,Skipped,Skipped,6,Skipped,5,Skipped,7,Skipped,2,1,Skipped,,
10,12,8,1,3,6,14,9,13,11,5,4,7,2,,
4,14,10,9,14,3,14,8,7,1,6,5,2,14,,
6,8,9,10,13,1,5,3,12,4,11,7,2,Skipped,,
3,4,5,9,14,8,11,7,12,2,5,1,10,14,,
1,7,2,5,Skipped,Skipped,10,9,Skipped,4,6,8,3,Skipped,,
1,4,10,7,14,8,14,6,14,3,5,2,9,14,,
3,11,5,9,12,7,Skipped,8,Skipped,4,1,2,6,10,,
3,13,5,1,2,4,14,4,10,13,3,8,3,Skipped,,
3,8,5,7,14,4,14,10,9,14,1,2,6,14,,
5,6,9,10,12,3,14,4,11,8,7,2,1,13,,
4,8,7,6,12,10,9,11,13,1,5,2,3,14,,
14,14,3,14,14,14,14,5,14,14,14,2,1,14,,
6,5,9,12,14,11,Skipped,4,10,3,8,1,2,13,,
5,10,Skipped,6,Skipped,7,11,8,9,3,2,4,1,Skipped,,
2,3,4,8,14,10,9,9,14,1,6,5,7,14,,
3,4,Skipped,8,Skipped,Skipped,Skipped,5,Skipped,1,7,2,6,Skipped,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
14,14,14,1,14,14,3,14,14,2,14,14,14,14,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
1,3,6,7,11,9,14,10,Skipped,2,8,4,5,12,,
14,14,14,14,14,14,14,14,14,14,1,14,14,14,,
2,5,1,8,Skipped,6,10,3,Skipped,7,2,4,9,Skipped,,
1,5,12,9,13,7,14,8,6,10,4,2,3,11,,
1,5,9,8,4,7,14,10,14,14,2,3,6,14,,
3,4,7,11,13,5,14,8,10,2,9,1,6,12,,
3,4,2,7,5,6,14,9,13,1,12,11,8,10,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
1,14,1,1,14,1,14,3,3,3,1,1,2,14,,
1,9,8,5,13,11,4,12,10,6,3,2,7,14,,
7,14,6,1,14,14,8,13,14,4,5,2,3,14,,
4,Skipped,2,5,Skipped,8,Skipped,6,Skipped,9,7,1,3,Skipped,,
1,9,3,8,10,5,7,6,14,4,13,2,11,12,,
1,14,7,8,13,11,6,9,5,3,2,10,4,12,,
