rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
Skipped,1,6,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
Skipped,1,14,13,9,Skipped,Skipped,Skipped,Skipped,5,15,Skipped,20,Skipped,Skipped,12,16,6,2,7,Skipped,18,Skipped,Skipped,21,10,17,22,Skipped,8,3,4,19,Skipped,11,,
Skipped,1,Skipped,14,12,Skipped,Skipped,Skipped,Skipped,10,13,Skipped,Skipped,18,19,11,Skipped,5,4,8,15,16,Skipped,Skipped,Skipped,6,17,20,Skipped,7,3,2,21,Skipped,9,,
22,34,13,7,8,21,26,27,24,6,1,19,11,16,17,10,15,33,35,25,29,12,20,28,14,4,9,2,30,5,32,3,18,23,31,,
25,1,33,11,8,16,34,30,24,20,15,12,28,7,31,13,35,3,5,6,14,27,29,32,22,10,9,26,18,19,4,2,23,21,17,,
20,1,16,14,23,22,Skipped,13,Skipped,7,Skipped,18,21,15,Skipped,17,17,5,4,9,12,Skipped,Skipped,11,Skipped,8,Skipped,25,24,13,3,2,6,19,10,,
26,1,15,20,11,28,28,14,31,15,10,31,31,23,23,15,18,3,9,7,13,22,31,21,31,5,23,12,26,6,2,4,18,31,8,,
17,11,31,14,8,5,28,22,6,29,15,4,24,2,25,20,30,3,9,10,35,23,27,19,26,12,7,21,18,33,13,1,32,23,16,,
24,1,17,10,15,26,24,8,25,13,12,19,22,20,18,11,22,6,3,7,21,23,28,18,27,5,16,15,25,9,4,2,9,24,14,,
Skipped,1,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,3,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,2,4,Skipped,Skipped,5,,
26,1,20,11,9,Skipped,30,22,Skipped,28,8,16,Skipped,13,25,19,31,5,2,7,18,27,32,21,29,6,12,17,14,10,3,4,24,23,15,,
Skipped,1,Skipped,15,14,Skipped,Skipped,Skipped,Skipped,11,6,Skipped,18,17,Skipped,12,Skipped,4,3,7,16,Skipped,Skipped,Skipped,Skipped,8,Skipped,19,Skipped,9,2,5,10,Skipped,13,,
22,7,23,9,16,24,32,32,20,13,6,19,21,2,18,10,27,12,14,5,15,26,33,32,25,3,35,34,32,8,11,4,1,28,17,,
9,4,Skipped,8,5,Skipped,Skipped,7,Skipped,5,4,8,Skipped,Skipped,9,6,Skipped,2,10,4,8,6,Skipped,7,Skipped,2,15,5,7,Skipped,3,1,6,11,2,,
24,2,35,16,13,11,33,18,21,26,14,12,32,6,29,15,31,4,5,3,19,34,30,25,28,8,10,17,22,23,9,1,20,27,7,,
31,1,16,20,12,34,32,22,34,11,9,26,28,30,23,18,24,6,4,5,14,17,35,26,29,8,15,19,21,7,2,3,13,27,10,,
6,35,15,7,5,27,20,8,29,16,9,1,32,14,3,12,19,24,17,21,33,26,13,23,34,4,11,31,10,25,2,22,18,30,28,,
24,2,18,17,12,32,34,21,35,28,11,16,31,14,30,22,27,3,9,4,20,25,33,6,26,10,15,19,13,8,7,1,23,29,5,,
Skipped,2,14,12,15,Skipped,Skipped,20,Skipped,9,16,Skipped,Skipped,11,18,Skipped,17,5,3,8,13,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,10,4,1,19,Skipped,6,,
Skipped,1,8,Skipped,9,Skipped,Skipped,Skipped,Skipped,7,11,Skipped,Skipped,Skipped,Skipped,10,Skipped,4,1,5,Skipped,12,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,6,2,3,Skipped,Skipped,5,,
18,1,12,19,8,34,35,26,29,7,22,16,21,11,20,23,13,9,3,5,10,28,32,33,25,14,24,31,27,6,4,1,17,15,30,,
26,4,35,9,14,16,29,23,30,22,7,15,34,8,28,13,20,3,2,5,18,33,27,21,31,11,12,17,25,24,6,1,19,32,10,,
18,4,20,16,15,28,20,29,Skipped,2,7,24,Skipped,10,35,11,5,3,17,9,26,25,19,29,35,1,12,14,29,15,1,2,24,27,12,,
Skipped,Skipped,5,Skipped,3,Skipped,Skipped,Skipped,Skipped,6,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,7,9,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,8,,
23,16,7,6,10,32,15,26,31,11,9,4,33,2,21,12,20,14,18,5,Skipped,28,25,26,26,27,12,17,34,3,22,1,19,24,8,,
17,3,13,10,8,Skipped,Skipped,Skipped,18,9,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,7,1,Skipped,11,Skipped,Skipped,Skipped,Skipped,6,Skipped,15,Skipped,16,4,2,12,19,5,,
Skipped,5,15,14,Skipped,Skipped,Skipped,Skipped,Skipped,12,9,Skipped,Skipped,16,Skipped,Skipped,Skipped,3,6,4,11,Skipped,Skipped,Skipped,Skipped,8,Skipped,10,Skipped,12,1,2,13,Skipped,7,,
26,3,12,19,6,22,32,30,23,9,13,21,11,28,27,16,15,2,5,24,17,14,31,25,Skipped,8,29,18,Skipped,10,1,4,20,Skipped,7,,
23,2,33,13,7,17,35,28,27,30,10,16,34,9,25,11,21,3,15,6,20,22,32,19,29,14,8,18,26,4,12,1,24,31,5,,
31,1,23,13,10,35,29,32,29,12,19,26,22,14,27,11,25,6,8,7,17,18,30,16,33,2,24,28,34,9,3,4,21,20,15,,
22,2,34,15,11,17,27,16,21,33,14,12,25,5,31,23,28,3,6,4,18,26,35,30,29,10,8,19,13,24,7,1,20,32,9,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,6,5,8,Skipped,Skipped,7,,
28,1,17,13,11,35,32,23,33,8,21,26,24,16,20,15,27,6,2,12,14,18,34,9,31,10,22,25,31,5,4,3,19,31,7,,
30,6,27,4,3,33,29,13,34,12,5,24,23,19,25,15,32,1,8,2,17,18,35,20,31,11,22,16,26,14,7,9,21,28,10,,
14,1,18,13,11,31,Skipped,14,29,6,17,19,25,8,Skipped,12,16,3,7,5,10,15,34,Skipped,Skipped,5,18,32,15,10,2,4,14,24,18,,
16,3,20,10,27,31,33,26,35,9,14,24,28,13,32,21,29,2,6,4,25,18,34,15,30,8,17,19,22,7,1,5,12,23,11,,
18,24,1,11,35,34,9,22,31,6,2,17,33,12,10,14,9,32,15,21,29,4,16,25,5,7,14,3,27,26,19,20,23,30,28,,
29,6,1,15,35,28,22,32,24,14,3,30,19,18,26,16,25,9,7,10,34,4,23,31,2,12,21,17,33,11,5,8,27,20,13,,
22,1,28,23,15,30,Skipped,11,34,7,8,25,26,24,29,14,21,6,5,4,17,19,31,13,27,12,18,20,32,10,2,3,16,33,9,,
Skipped,1,7,7,Skipped,Skipped,7,Skipped,Skipped,3,Skipped,Skipped,Skipped,8,Skipped,Skipped,4,9,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,35,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,,
Skipped,3,14,Skipped,12,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,9,7,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,11,Skipped,8,2,1,Skipped,Skipped,13,,
25,1,20,10,9,16,34,28,33,23,13,15,24,11,19,18,31,3,5,8,21,29,35,32,30,6,12,26,14,17,4,2,22,27,7,,
Skipped,8,4,11,2,18,Skipped,Skipped,Skipped,6,Skipped,20,17,14,10,5,Skipped,15,3,Skipped,24,Skipped,Skipped,Skipped,16,12,19,22,Skipped,7,1,9,13,21,23,,
21,1,23,19,18,26,Skipped,Skipped,Skipped,9,13,Skipped,24,17,25,11,15,5,3,8,14,16,Skipped,Skipped,Skipped,6,12,20,Skipped,10,4,2,22,Skipped,7,,
Skipped,6,13,14,Skipped,Skipped,18,Skipped,Skipped,20,3,Skipped,Skipped,12,Skipped,19,21,4,5,1,15,Skipped,Skipped,Skipped,Skipped,9,17,10,Skipped,8,7,2,16,Skipped,11,,
Skipped,1,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,11,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,2,Skipped,Skipped,Skipped,7,Skipped,10,Skipped,Skipped,Skipped,9,4,2,Skipped,Skipped,12,,
18,1,16,17,8,Skipped,15,Skipped,Skipped,10,Skipped,Skipped,Skipped,20,19,14,4,3,6,Skipped,7,Skipped,Skipped,Skipped,Skipped,9,12,Skipped,Skipped,13,2,5,Skipped,Skipped,11,,
27,2,24,12,10,23,28,22,32,15,14,16,31,11,25,18,34,3,5,6,19,29,26,33,35,7,13,20,30,8,4,1,17,21,9,,
34,34,8,34,1,34,9,34,34,4,3,34,34,34,34,35,10,6,5,34,34,34,34,34,34,34,7,34,34,34,34,34,34,34,2,,
28,3,8,22,12,33,25,19,31,10,13,16,27,21,20,14,30,4,7,11,24,17,32,18,35,5,15,26,23,6,2,1,29,34,9,,
Skipped,1,20,21,16,Skipped,Skipped,11,Skipped,7,6,25,27,23,26,15,18,4,13,3,12,14,Skipped,28,Skipped,9,17,24,22,8,5,2,19,Skipped,10,,
26,1,14,16,12,33,32,30,27,7,11,34,13,19,25,18,20,5,2,9,17,23,35,29,28,10,22,21,31,8,4,3,15,24,6,,
11,1,13,17,21,27,34,16,33,2,20,25,26,8,19,20,14,5,10,6,4,29,32,18,28,3,23,31,30,15,7,12,35,22,9,,
35,4,35,13,20,35,35,8,35,6,20,35,35,12,35,35,35,3,5,9,11,20,35,35,35,7,20,35,35,20,1,2,35,35,10,,
35,1,33,35,10,35,35,35,35,4,8,35,35,35,35,9,20,3,4,35,35,13,35,35,35,6,35,35,20,20,7,2,11,35,10,,
24,1,11,14,9,32,24,25,22,10,15,24,19,18,16,13,24,6,5,7,31,29,35,26,34,4,17,20,30,8,3,2,21,33,4,,
19,1,10,12,20,27,8,26,Skipped,7,17,19,Skipped,19,29,16,15,5,4,13,Skipped,30,22,26,32,6,23,18,26,9,3,2,21,31,11,,
25,1,11,9,9,34,Skipped,29,31,11,35,29,23,11,11,9,11,2,11,4,22,11,26,29,24,5,11,11,29,5,2,2,11,29,5,,
Skipped,1,Skipped,8,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,7,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,9,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,Skipped,Skipped,,
16,1,Skipped,10,9,Skipped,Skipped,Skipped,Skipped,7,14,Skipped,15,Skipped,Skipped,13,Skipped,4,5,10,6,8,Skipped,Skipped,Skipped,6,15,12,Skipped,10,3,2,Skipped,Skipped,11,,
15,1,20,7,22,Skipped,Skipped,Skipped,Skipped,11,10,Skipped,14,6,Skipped,19,21,5,13,2,Skipped,Skipped,Skipped,Skipped,23,9,18,16,Skipped,8,4,3,17,Skipped,12,,
13,3,20,11,1,2,34,22,35,10,32,19,18,24,21,12,28,4,8,27,15,29,33,25,23,9,26,31,17,14,6,7,16,30,5,,
23,1,18,10,11,25,29,22,31,19,9,15,32,13,30,16,28,3,5,7,20,26,34,33,35,6,12,21,27,14,4,2,17,24,8,,
28,1,15,10,9,35,20,31,Skipped,7,25,29,26,23,11,17,8,12,2,16,24,14,18,30,21,6,22,27,32,19,3,4,13,32,5,,
16,1,15,6,6,Skipped,Skipped,4,Skipped,6,1,Skipped,21,21,16,6,16,1,4,4,15,6,Skipped,Skipped,22,6,16,1,Skipped,16,1,4,15,Skipped,6,,
30,4,26,17,8,21,27,25,Skipped,19,9,15,31,10,28,23,22,3,7,13,20,29,32,33,Skipped,5,12,18,14,6,2,1,24,16,11,,
34,4,20,30,8,29,35,22,25,20,4,32,31,20,32,10,28,4,4,4,32,20,35,28,19,5,31,16,34,10,4,4,15,34,4,,
13,8,Skipped,18,1,Skipped,Skipped,16,Skipped,10,Skipped,Skipped,Skipped,11,19,3,20,4,5,12,21,Skipped,Skipped,14,Skipped,17,Skipped,Skipped,15,6,2,9,Skipped,Skipped,7,,
Skipped,34,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,Skipped,35,33,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,Skipped,Skipped,,
25,1,35,11,8,17,33,29,20,31,15,16,28,10,23,12,30,3,5,6,18,24,32,21,27,9,13,19,26,14,4,2,34,22,7,,
9,2,Skipped,12,14,19,Skipped,29,23,11,10,20,28,13,Skipped,16,30,4,6,15,26,27,Skipped,24,Skipped,7,18,21,22,8,3,1,25,17,5,,
Skipped,6,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,12,Skipped,2,Skipped,Skipped,Skipped,5,8,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,9,Skipped,14,13,10,11,Skipped,7,,
Skipped,1,11,12,18,Skipped,24,Skipped,Skipped,13,14,22,20,16,17,15,25,6,5,4,Skipped,Skipped,Skipped,Skipped,Skipped,7,19,23,Skipped,9,3,2,10,21,8,,
33,1,20,14,10,35,33,17,34,11,8,26,24,22,25,13,33,5,4,6,33,15,33,23,27,7,16,21,18,12,3,2,19,33,9,,
16,2,7,7,14,16,Skipped,Skipped,21,8,10,17,11,15,23,9,Skipped,3,3,6,18,14,Skipped,20,22,5,12,12,19,7,2,1,13,Skipped,4,,
Skipped,1,11,Skipped,Skipped,Skipped,11,Skipped,Skipped,9,Skipped,Skipped,Skipped,12,Skipped,Skipped,11,6,3,5,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,Skipped,7,,
Skipped,9,Skipped,Skipped,2,Skipped,Skipped,30,31,5,1,32,30,20,35,3,Skipped,33,Skipped,10,Skipped,29,Skipped,28,Skipped,7,30,Skipped,Skipped,27,31,34,Skipped,Skipped,Skipped,,
27,2,24,11,8,21,22,16,34,15,9,18,35,13,26,14,25,4,6,7,32,23,28,30,29,10,12,17,33,19,3,1,20,31,5,,
Skipped,2,12,14,9,Skipped,Skipped,13,Skipped,6,19,Skipped,Skipped,Skipped,Skipped,Skipped,18,4,5,10,17,Skipped,Skipped,20,Skipped,11,Skipped,15,Skipped,7,1,3,16,Skipped,8,,
19,2,29,13,7,16,32,22,20,15,14,12,27,6,33,18,30,5,4,3,17,26,34,25,35,11,8,23,24,28,9,1,21,31,10,,
9,16,6,29,31,3,20,13,29,31,20,12,30,1,26,35,31,30,23,14,13,5,23,19,2,34,6,17,15,10,18,20,8,21,4,,
28,1,18,11,7,23,30,21,34,15,14,16,33,10,32,17,29,3,5,6,19,25,27,22,31,8,13,20,35,12,4,2,26,24,9,,
35,6,35,35,18,35,35,35,35,7,10,30,35,35,35,35,35,2,5,4,12,35,35,35,35,7,19,35,35,10,1,3,35,35,9,,
6,4,Skipped,8,1,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,12,14,Skipped,5,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,13,2,7,Skipped,Skipped,,
23,1,16,10,11,33,32,26,31,9,18,20,25,27,15,12,29,3,5,8,19,Skipped,34,24,23,6,14,17,28,7,2,4,22,28,13,,
Skipped,2,Skipped,12,8,22,Skipped,21,Skipped,7,16,17,33,14,Skipped,15,24,5,1,9,18,25,Skipped,23,Skipped,6,11,20,29,13,4,3,19,32,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
25,6,18,12,15,29,24,33,28,13,5,26,19,8,21,14,22,11,9,4,16,31,35,32,27,3,20,23,34,2,10,1,7,30,17,,
Skipped,1,20,22,14,Skipped,Skipped,11,Skipped,10,12,26,Skipped,23,Skipped,15,18,3,4,6,13,25,Skipped,17,Skipped,7,19,16,24,9,2,5,21,Skipped,8,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,9,13,12,Skipped,Skipped,Skipped,Skipped,Skipped,3,5,7,Skipped,15,Skipped,Skipped,Skipped,6,Skipped,14,Skipped,10,1,2,Skipped,Skipped,8,,
29,1,18,8,10,24,33,27,Skipped,13,11,15,34,12,21,30,20,4,5,9,23,Skipped,16,28,32,6,14,19,25,Skipped,3,2,17,22,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,8,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,10,6,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,2,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,4,3,Skipped,Skipped,10,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,5,1,Skipped,Skipped,7,,
33,1,29,13,9,35,30,25,34,12,11,18,26,14,23,15,21,3,6,7,19,22,27,31,24,8,16,20,28,10,4,2,17,32,5,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,7,2,4,Skipped,Skipped,7,,
29,1,25,12,8,23,Skipped,22,Skipped,20,10,16,30,9,28,17,27,6,4,5,19,26,Skipped,15,31,7,13,18,21,14,3,2,32,24,11,,
26,9,22,14,10,12,17,27,35,20,13,7,18,4,28,15,25,2,6,8,16,24,33,19,30,11,5,32,23,34,3,1,29,31,21,,
18,Skipped,14,10,2,35,Skipped,Skipped,3,12,4,Skipped,Skipped,23,22,21,20,6,7,5,Skipped,15,17,Skipped,11,8,16,19,Skipped,Skipped,9,Skipped,1,Skipped,13,,
31,1,25,14,10,21,34,23,35,12,11,17,33,13,30,16,32,4,5,6,19,24,28,20,29,9,15,26,22,8,3,2,18,27,7,,
20,1,10,20,11,30,12,17,10,10,13,20,25,20,15,11,12,1,9,26,14,30,26,26,26,10,11,26,Skipped,16,10,1,20,Skipped,20,,
29,1,10,12,13,33,34,24,33,15,16,20,26,25,22,21,19,5,2,7,14,23,35,33,33,6,17,11,33,9,4,3,18,27,8,,
Skipped,2,Skipped,16,17,Skipped,8,12,Skipped,18,20,Skipped,Skipped,11,Skipped,15,Skipped,6,1,3,13,21,Skipped,Skipped,Skipped,10,22,Skipped,Skipped,7,5,4,19,14,9,,
26,14,1,21,33,32,23,28,17,20,2,10,31,25,24,22,22,16,8,12,30,5,7,27,3,6,34,4,29,13,11,9,35,15,20,,
Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,21,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,3,Skipped,11,Skipped,16,Skipped,Skipped,Skipped,12,10,17,18,8,Skipped,Skipped,Skipped,1,15,9,13,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,6,2,4,14,Skipped,5,,
4,1,3,3,2,6,Skipped,Skipped,6,2,3,5,3,3,4,2,4,1,1,2,2,Skipped,4,Skipped,5,2,4,3,Skipped,2,1,1,3,4,2,,
26,5,20,13,12,26,31,32,27,14,15,26,18,26,26,17,19,3,6,7,34,21,30,35,28,1,11,16,33,9,2,4,8,29,10,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,11,Skipped,Skipped,Skipped,5,9,1,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,10,3,4,Skipped,Skipped,8,,
Skipped,1,Skipped,15,13,Skipped,Skipped,Skipped,Skipped,10,6,Skipped,18,Skipped,16,14,Skipped,4,3,5,Skipped,Skipped,Skipped,Skipped,Skipped,8,17,Skipped,Skipped,9,2,7,12,Skipped,11,,
31,1,24,12,6,21,Skipped,26,Skipped,14,9,15,32,11,25,16,Skipped,8,4,10,20,29,27,30,28,5,13,22,17,23,3,2,19,18,7,,
29,2,14,17,13,25,34,30,35,9,11,33,20,22,23,16,19,4,3,5,28,21,26,31,27,7,18,12,32,10,1,6,15,24,9,,
19,28,2,10,34,Skipped,10,28,32,6,3,19,33,19,19,11,10,31,19,23,29,4,19,22,5,7,19,1,28,24,21,19,20,31,28,,
Skipped,1,8,9,Skipped,Skipped,Skipped,Skipped,16,6,Skipped,Skipped,15,6,Skipped,Skipped,Skipped,Skipped,3,4,35,7,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,4,5,2,10,Skipped,Skipped,,
19,2,8,20,11,21,34,7,31,9,17,19,21,33,35,12,18,1,1,13,19,16,35,15,22,6,32,10,14,5,2,3,11,24,4,,
14,25,2,7,35,33,11,25,34,4,1,15,30,11,11,12,6,26,14,25,32,31,16,25,3,5,11,18,29,25,25,17,25,29,29,,
Skipped,1,6,Skipped,Skipped,5,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,3,Skipped,Skipped,Skipped,,
Skipped,2,16,17,11,Skipped,Skipped,Skipped,Skipped,5,15,Skipped,Skipped,18,Skipped,12,Skipped,3,6,7,Skipped,13,Skipped,Skipped,Skipped,8,14,Skipped,Skipped,10,4,1,Skipped,Skipped,9,,
Skipped,1,Skipped,16,15,Skipped,Skipped,Skipped,Skipped,9,7,Skipped,Skipped,Skipped,17,12,Skipped,4,3,5,14,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,10,2,6,13,Skipped,11,,
10,1,11,9,10,12,9,10,12,8,5,9,10,8,12,11,Skipped,3,4,2,7,9,13,Skipped,Skipped,6,11,8,9,6,2,4,8,11,6,,
