rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16.0,1.0
7,10,8,11,4,15,14,6,3,2,1,13,5,9,12,16,,
2,8,5,7,1,4,Skipped,10,Skipped,Skipped,3,Skipped,Skipped,9,Skipped,Skipped,,
2,16,4,1,6,5,16,10,16,16,3,16,8,9,16,7,,
1,16,7,6,2,3,14,10,11,12,4,15,5,9,8,13,,
16,16,1,16,3,16,16,16,16,16,4,16,2,16,16,16,,
4,Skipped,5,3,2,6,Skipped,6,Skipped,Skipped,1,5,7,4,6,6,,
3,16,4,5,1,8,16,5,16,16,2,16,16,6,7,16,,
3,16,11,6,2,4,14,5,7,15,1,8,16,10,9,12,,
4,16,5,5,4,5,2,4,4,4,1,5,4,4,5,3,,
2,16,7,3,1,6,Skipped,5,16,Skipped,4,Skipped,8,9,Skipped,10,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,,
2,16,10,8,6,4,Skipped,7,Skipped,Skipped,1,12,5,3,11,9,,
1,16,2,3,8,9,7,12,6,15,5,4,14,11,13,10,,
2,16,5,6,1,4,11,7,9,Skipped,3,Skipped,8,Skipped,Skipped,10,,
1,5,7,15,2,4,13,8,9,10,3,14,16,11,12,6,,
1,16,3,4,2,16,16,16,16,16,16,16,16,16,16,16,,
4,16,2,3,6,7,15,8,13,10,5,12,1,9,11,14,,
4,16,6,2,5,1,8,15,11,13,3,14,9,7,10,12,,
4,13,6,5,3,9,16,14,2,12,1,6,14,6,10,5,,
2,16,5,7,1,4,13,10,14,15,3,6,8,12,16,9,,
15,16,6,4,1,2,14,7,13,12,5,11,11,3,11,11,,
16,16,4,2,3,16,16,16,16,16,1,16,16,5,16,16,,
1,16,10,9,1,11,16,5,2,16,3,16,7,4,16,8,,
3,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,Skipped,,
1,16,4,16,3,16,6,8,7,9,2,16,16,16,16,5,,
2,16,6,7,1,5,9,8,12,11,4,14,3,10,13,16,,
4,8,1,7,3,2,16,5,16,16,6,9,12,10,8,16,,
1,Skipped,7,8,2,4,11,10,5,Skipped,3,Skipped,Skipped,Skipped,Skipped,6,,
3,16,16,2,4,5,16,16,16,16,1,16,16,16,16,16,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
6,16,7,4,2,1,13,8,16,9,3,14,10,12,15,11,,
1,16,3,14,4,7,5,13,15,6,2,11,11,8,11,11,,
1,16,3,10,5,8,16,9,12,13,2,7,11,4,6,14,,
1,15,5,15,3,4,15,15,16,6,2,15,15,15,15,15,,
5,Skipped,1,2,9,3,14,8,13,16,7,6,10,11,15,12,,
2,16,16,16,1,16,16,16,16,16,16,3,16,16,16,16,,
6,16,4,10,2,3,15,7,4,13,1,12,9,8,11,14,,
1,16,5,6,3,5,13,14,8,16,2,14,4,5,7,9,,
1,16,5,7,2,3,15,6,11,13,4,12,8,9,10,14,,
16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,,
2,16,8,10,3,4,14,9,6,15,1,13,7,5,12,11,,
5,16,6,2,1,4,16,16,16,16,5,16,16,3,16,16,,
1,11,4,6,3,5,10,9,16,16,2,16,16,8,7,8,,
1,16,16,16,3,16,16,16,5,16,2,16,16,16,16,4,,
1,16,8,9,3,4,16,10,4,15,2,14,12,13,11,7,,
3,16,8,9,2,5,14,8,15,11,1,13,12,4,10,10,,
1,2,9,10,6,13,14,8,11,5,4,15,7,14,3,10,,
1,Skipped,5,3,4,7,8,10,16,16,1,16,6,9,16,12,,
1,15,13,10,2,6,11,14,16,12,4,8,9,5,3,7,,
1,16,2,5,6,3,16,11,8,16,4,10,16,12,9,7,,
1,16,6,8,4,7,14,14,14,15,2,14,3,5,14,14,,
2,16,10,6,5,3,15,7,14,12,1,4,9,8,11,13,,
2,6,4,16,16,16,16,5,16,16,1,16,16,16,16,3,,
2,16,4,5,3,5,16,16,6,16,1,16,16,16,16,16,,
3,16,16,2,1,4,16,5,16,16,7,8,10,9,6,16,,
3,16,16,16,16,16,5,16,1,16,2,16,16,16,16,4,,
2,8,16,3,1,4,16,16,16,5,5,16,16,7,16,6,,
4,16,7,5,1,2,15,8,14,13,3,11,9,10,6,12,,
2,Skipped,6,7,1,8,Skipped,4,9,Skipped,3,Skipped,Skipped,Skipped,Skipped,5,,
1,16,4,6,2,5,Skipped,16,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,16,16,4,16,16,16,16,1,16,3,5,16,16,16,16,,
1,16,6,16,3,16,5,16,7,16,2,16,16,16,16,4,,
1,Skipped,Skipped,6,3,7,7,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,Skipped,4,,
12,16,8,1,9,10,15,4,13,11,14,7,3,5,6,2,,
1,16,7,3,5,9,8,10,14,15,2,4,13,12,11,6,,
2,16,6,4,3,4,16,7,8,16,1,16,16,16,16,16,,
2,16,4,5,1,5,16,16,16,16,3,16,16,16,16,16,,
1,16,3,2,4,15,11,8,13,12,5,6,7,9,10,14,,
1,16,6,8,4,6,16,3,16,16,2,11,10,5,9,16,,
16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,16,,
1,16,4,8,3,7,9,11,6,14,2,15,13,10,12,5,,
1,16,16,16,3,16,16,16,4,16,2,16,16,16,16,16,,
2,16,3,9,4,8,7,10,5,14,1,13,15,12,11,6,,
