rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
Skipped,Skipped,4,7,2,6,3,Skipped,1,5,Skipped,Skipped,Skipped,Skipped,Skipped,15.0,1.0
Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,9,Skipped,Skipped,,
Skipped,Skipped,1,5,4,2,Skipped,3,Skipped,6,3,Skipped,Skipped,Skipped,7,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,4,2,Skipped,Skipped,5,1,,
Skipped,4,6,Skipped,1,8,2,10,3,Skipped,5,Skipped,Skipped,9,7,,
Skipped,5,Skipped,3,2,4,Skipped,Skipped,1,Skipped,Skipped,6,Skipped,Skipped,Skipped,,
Skipped,6,Skipped,1,Skipped,10,9,11,3,2,5,7,4,13,8,,
Skipped,9,1,Skipped,6,Skipped,5,10,3,Skipped,7,2,4,Skipped,8,,
Skipped,3,Skipped,Skipped,4,5,Skipped,11,1,7,9,2,8,6,10,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,5,Skipped,Skipped,1,Skipped,Skipped,7,Skipped,9,3,4,8,2,6,,
Skipped,2,Skipped,Skipped,2,5,3,4,1,Skipped,3,Skipped,Skipped,Skipped,6,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,,
Skipped,5,Skipped,Skipped,1,Skipped,Skipped,6,Skipped,2,3,Skipped,Skipped,4,7,,
Skipped,6,3,Skipped,4,Skipped,7,Skipped,2,1,8,Skipped,5,Skipped,9,,
4,7,6,11,3,12,13,15,3,9,8,2,5,14,10,,
Skipped,Skipped,1,8,3,15,9,7,4,10,6,Skipped,Skipped,5,3,,
Skipped,6,4,10,5,Skipped,Skipped,Skipped,3,2,7,1,8,Skipped,9,,
1,6,1,8,Skipped,11,2,9,2,3,10,Skipped,4,7,5,,
1,Skipped,4,Skipped,Skipped,7,2,Skipped,3,5,Skipped,Skipped,Skipped,Skipped,6,,
Skipped,9,8,Skipped,2,Skipped,1,11,3,7,10,5,6,Skipped,4,,
8,9,5,13,4,14,6,12,1,2,11,Skipped,7,10,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,4,1,,
Skipped,Skipped,Skipped,9,2,5,3,8,1,6,Skipped,Skipped,Skipped,7,4,,
15,15,15,2,15,15,1,15,15,4,3,15,15,15,5,,
Skipped,5,Skipped,1,Skipped,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,6,2,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,10,Skipped,12,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,15,,
Skipped,7,9,11,3,Skipped,2,10,5,1,8,Skipped,Skipped,6,4,,
Skipped,5,Skipped,9,1,Skipped,6,Skipped,4,2,8,3,Skipped,7,10,,
Skipped,3,Skipped,10,9,12,2,1,5,8,11,7,4,Skipped,6,,
Skipped,3,6,Skipped,1,Skipped,Skipped,Skipped,5,4,Skipped,Skipped,Skipped,2,15,,
Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
Skipped,2,Skipped,6,1,Skipped,Skipped,5,Skipped,4,3,Skipped,Skipped,Skipped,7,,
Skipped,4,Skipped,Skipped,6,Skipped,3,Skipped,5,Skipped,2,Skipped,1,Skipped,7,,
?,?,?,?,2,3,1,?,?,?,?,?,?,?,?,,
