rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,Num Cands,Num Seats
4,10,2,3,9,11,6,8,13,12,5,7,1,13.0,1.0
3,Skipped,1,8,7,3,13,Skipped,Skipped,Skipped,6,5,2,,
3,Skipped,1,5,6,Skipped,Skipped,Skipped,Skipped,Skipped,7,4,2,,
4,9,2,7,3,10,11,8,5,12,13,6,1,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,3,,
13,13,1,13,13,13,13,13,13,13,13,13,2,,
3,Skipped,1,4,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,2,,
4,13,1,5,13,6,13,13,13,13,13,3,2,,
13,13,1,13,13,3,13,13,13,13,13,13,2,,
3,4,2,6,5,11,9,10,8,13,12,7,1,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,Skipped,2,,
4,Skipped,1,6,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,2,,
5,4,1,7,6,9,12,10,3,11,13,8,2,,
1,13,3,6,7,9,10,11,4,13,8,5,2,,
2,12,1,7,4,9,8,11,10,13,7,5,3,,
2,10,1,6,5,8,12,13,11,9,7,4,3,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
2,8,4,5,3,7,1,12,11,13,13,6,7,,
5,11,1,13,4,12,6,10,7,8,9,3,2,,
1,10,2,3,5,11,9,13,6,12,8,7,4,,
4,Skipped,2,5,6,7,Skipped,Skipped,Skipped,Skipped,8,3,1,,
3,9,1,5,6,11,10,12,8,13,7,4,2,,
13,13,13,2,13,13,13,13,13,13,13,13,1,,
5,9,1,8,6,13,3,Skipped,7,Skipped,10,4,2,,
4,Skipped,2,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,5,3,1,,
3,Skipped,4,5,6,Skipped,Skipped,Skipped,Skipped,Skipped,7,2,1,,
3,8,2,7,4,12,10,13,6,11,9,5,1,,
3,8,1,7,5,10,6,12,13,11,9,4,2,,
1,8,4,3,2,13,7,12,6,10,11,9,5,,
7,6,1,Skipped,4,3,5,8,9,Skipped,Skipped,Skipped,2,,
1,4,8,3,7,Skipped,5,13,11,Skipped,12,2,6,,
1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
1,6,3,5,7,8,9,11,13,12,10,2,4,,
13,13,2,13,13,13,13,13,13,13,13,3,1,,
