rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
9,1,9,5,9,9,17,9,9,3,17,4,5,9,9,17,17,Skipped,17,9,5,1,Skipped,17,17,Skipped,26.0,1.0
10,2,13,5,14,15,21,Skipped,Skipped,3,18,6,8,9,17,22,23,12,20,4,7,1,16,Skipped,19,11,,
14,1,13,11,12,15,Skipped,Skipped,Skipped,7,Skipped,6,4,3,Skipped,Skipped,Skipped,10,Skipped,8,5,2,Skipped,Skipped,Skipped,9,,
5,2,15,Skipped,7,6,Skipped,Skipped,14,8,13,Skipped,3,12,Skipped,Skipped,10,9,Skipped,4,Skipped,1,11,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,3,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,2,6,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,25,Skipped,Skipped,1,,
5,2,7,24,8,14,17,18,11,15,Skipped,13,1,3,6,23,9,20,22,10,3,16,12,25,21,20,,
12,2,21,9,17,20,26,18,8,3,15,4,5,7,6,18,15,12,26,7,6,1,20,Skipped,23,18,,
Skipped,1,11,10,Skipped,12,Skipped,Skipped,Skipped,6,Skipped,7,3,5,Skipped,Skipped,Skipped,Skipped,Skipped,9,4,2,Skipped,Skipped,Skipped,8,,
20,1,10,5,11,15,13,Skipped,22,4,Skipped,9,7,12,18,17,14,6,21,2,16,3,19,Skipped,23,8,,
7,1,Skipped,11,11,15,Skipped,17,7,5,15,6,8,13,7,20,12,Skipped,Skipped,10,9,2,18,Skipped,Skipped,Skipped,,
17,1,17,10,18,9,25,26,21,5,23,19,2,8,14,24,15,7,22,6,16,3,12,20,13,4,,
Skipped,4,Skipped,Skipped,10,6,Skipped,8,Skipped,Skipped,Skipped,Skipped,2,11,7,Skipped,Skipped,5,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,9,,
13,1,22,11,25,14,23,24,18,5,16,8,3,12,17,15,19,10,26,9,6,2,7,20,4,8,,
Skipped,Skipped,6,Skipped,Skipped,8,Skipped,Skipped,Skipped,5,Skipped,4,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,7,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
14,1,17,6,Skipped,15,21,13,4,20,11,7,17,9,20,Skipped,10,2,19,17,3,8,12,20,16,5,,
Skipped,2,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,7,Skipped,Skipped,6,,
22,23,10,20,20,7,26,21,20,24,20,3,11,4,12,2,20,20,5,8,2,25,13,20,9,20,,
