rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
4,12,5,1,13,16,10,11,15,3,7,2,14,6,8,9,16.0,1.0
16,16,16,2,16,16,16,16,16,1,16,3,16,16,16,16,,
9,5,13,3,8,6,2,12,14,4,16,1,11,15,7,10,,
16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,,
8,6,7,15,16,1,3,11,9,4,13,2,10,14,5,12,,
16,16,16,1,16,16,16,16,16,16,16,1,16,16,16,1,,
16,4,16,3,16,16,16,16,16,1,16,2,16,16,16,16,,
10,6,16,13,5,7,3,11,4,2,8,1,9,12,14,15,,
16,16,16,4,16,16,3,16,1,5,16,2,16,16,16,16,,
14,2,11,16,7,12,3,5,10,1,8,13,4,9,6,15,,
1,7,13,2,6,8,5,11,15,4,16,3,12,16,10,9,,
3,15,4,2,12,10,6,9,11,14,5,8,13,1,16,7,,
14,2,15,8,10,1,6,12,3,5,13,4,7,16,9,11,,
9,3,11,2,1,6,7,12,13,8,16,5,4,15,10,14,,
8,6,7,16,15,1,3,11,9,4,14,2,10,13,5,12,,
16,4,16,3,16,5,16,16,16,1,16,2,16,16,16,16,,
16,16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,,
3,16,2,1,5,16,5,6,16,9,2,4,16,16,4,3,,
6,16,3,1,5,16,16,16,16,16,2,16,16,16,4,7,,
12,9,10,5,6,4,3,7,8,2,16,1,13,16,11,14,,
4,6,3,2,16,12,11,7,9,6,16,5,8,1,16,10,,
4,10,3,2,12,7,9,14,15,8,5,6,11,1,13,16,,
14,8,13,4,7,5,3,11,6,2,16,1,9,15,10,12,,
12,9,10,5,6,4,3,7,8,2,16,1,13,16,11,14,,
16,16,16,4,16,16,2,16,16,1,16,3,16,16,16,16,,
10,8,5,1,14,16,4,12,11,2,13,3,15,9,6,7,,
8,6,7,5,11,3,4,14,2,16,9,1,15,13,12,10,,
10,8,9,16,16,1,3,13,11,4,16,2,12,15,5,14,,
10,13,11,3,12,2,1,5,14,4,7,1,15,6,8,9,,
8,6,7,16,15,1,3,11,9,4,13,2,10,14,5,12,,
1,16,16,2,16,16,16,16,16,16,16,16,16,16,16,16,,
16,4,16,2,6,7,5,16,16,3,16,1,8,16,16,16,,
2,16,3,2,12,10,7,11,9,4,1,5,8,1,2,6,,
16,16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,,
16,1,16,2,5,3,16,16,16,4,16,16,16,16,16,16,,
16,2,16,5,16,16,3,16,16,1,16,4,16,16,16,16,,
16,1,16,16,1,16,1,16,16,1,16,16,16,16,16,16,,
10,6,12,1,8,4,5,11,14,2,16,4,7,15,13,9,,
16,9,16,1,7,16,5,16,3,4,8,2,16,15,6,16,,
16,16,4,1,16,16,16,16,16,5,3,2,16,16,16,16,,
16,1,16,15,2,16,16,16,16,1,16,16,16,16,16,16,,
4,16,5,3,16,16,16,16,16,16,2,16,16,1,16,16,,
16,1,16,16,16,16,16,16,16,2,16,16,16,16,16,16,,
2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,,
12,9,10,5,6,4,3,7,8,2,16,1,13,16,11,16,,
16,16,16,4,3,16,1,16,16,16,16,1,16,16,16,16,,
12,9,10,5,6,4,3,7,8,2,15,1,13,16,11,14,,
3,1,4,16,16,16,16,6,11,2,10,16,5,9,7,8,,
13,3,10,1,11,7,5,9,12,12,12,2,4,14,6,8,,
15,2,15,15,16,15,1,15,15,3,15,15,15,15,15,15,,
7,8,8,15,6,1,3,14,10,5,13,4,2,12,9,11,,
8,6,7,16,15,1,3,11,9,4,14,2,10,13,5,12,,
12,4,11,7,8,3,14,9,6,1,15,2,10,16,13,5,,
4,1,4,16,4,16,16,16,16,1,16,16,1,16,16,16,,
