rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
5,Skipped,Skipped,1,3,2,Skipped,Skipped,4,Skipped,10.0,1.0
5,Skipped,7,2,Skipped,1,3,6,Skipped,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,,
7,Skipped,5,2,1,4,6,3,Skipped,Skipped,,
5,4,Skipped,Skipped,1,2,Skipped,3,Skipped,Skipped,,
5,6,2,Skipped,1,4,Skipped,Skipped,Skipped,3,,
5,Skipped,3,Skipped,Skipped,2,1,4,Skipped,Skipped,,
3,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,10,,
1,Skipped,Skipped,6,3,5,7,4,2,Skipped,,
10,10,2,10,10,1,10,10,10,10,,
2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
1,4,2,3,7,6,10,8,5,9,,
1,4,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,3,,
10,Skipped,4,Skipped,2,3,Skipped,Skipped,Skipped,1,,
3,Skipped,Skipped,Skipped,1,2,Skipped,4,Skipped,Skipped,,
10,7,4,10,1,5,2,10,3,6,,
1,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,Skipped,,
Skipped,3,4,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,,
9,8,5,1,7,4,3,2,6,10,,
6,5,Skipped,1,Skipped,2,4,3,Skipped,Skipped,,
1,4,Skipped,5,Skipped,2,3,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,5,Skipped,2,4,3,1,Skipped,,
1,Skipped,Skipped,Skipped,3,4,2,Skipped,5,Skipped,,
7,Skipped,4,Skipped,5,3,8,1,Skipped,2,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,,
6,Skipped,3,Skipped,5,2,4,1,Skipped,Skipped,,
6,4,7,Skipped,Skipped,1,2,5,8,3,,
9,Skipped,2,3,1,8,6,4,5,7,,
5,Skipped,Skipped,2,3,1,Skipped,Skipped,4,10,,
3,4,2,6,8,1,7,5,9,10,,
