rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,Num Cands,Num Seats
7,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,62,Skipped,Skipped,8,11,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,16,Skipped,Skipped,10,Skipped,6,Skipped,9,18,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,62,Skipped,1,12,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,62,Skipped,Skipped,19,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,13,62.0,1.0
20,26,31,Skipped,28,Skipped,24,Skipped,8,34,1,13,32,Skipped,Skipped,18,5,Skipped,Skipped,23,Skipped,Skipped,Skipped,21,3,Skipped,22,17,12,Skipped,30,4,Skipped,38,Skipped,19,Skipped,16,Skipped,36,Skipped,11,Skipped,7,2,Skipped,6,27,Skipped,25,Skipped,35,33,37,9,Skipped,14,Skipped,10,Skipped,15,29,,
6,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,11,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,13,Skipped,16,Skipped,14,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,1,Skipped,Skipped,3,Skipped,12,Skipped,Skipped,2,Skipped,Skipped,18,20,Skipped,Skipped,15,4,Skipped,Skipped,Skipped,8,,
5,Skipped,14,Skipped,19,Skipped,Skipped,Skipped,8,Skipped,3,9,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,13,Skipped,Skipped,Skipped,10,Skipped,18,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,11,Skipped,Skipped,Skipped,17,16,Skipped,Skipped,Skipped,12,Skipped,7,Skipped,Skipped,15,,
26,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,44,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,62,Skipped,7,3,Skipped,33,Skipped,5,Skipped,Skipped,Skipped,19,Skipped,Skipped,1,Skipped,27,Skipped,59,Skipped,4,Skipped,Skipped,6,Skipped,Skipped,43,Skipped,2,Skipped,61,25,60,Skipped,Skipped,57,13,10,Skipped,58,42,,
5,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,9,4,Skipped,21,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,2,Skipped,12,Skipped,19,Skipped,Skipped,14,Skipped,15,8,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,20,11,Skipped,Skipped,Skipped,17,Skipped,Skipped,18,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,5,,
9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,4,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,,
7,5,62,62,62,62,62,62,62,62,62,62,62,9,62,11,62,62,62,62,62,62,62,8,1,62,62,62,2,62,62,62,10,62,62,62,62,62,62,62,62,4,12,62,3,62,62,62,62,6,62,62,62,62,62,62,62,62,62,62,62,13,,
Skipped,Skipped,61,Skipped,Skipped,Skipped,Skipped,Skipped,58,Skipped,Skipped,59,Skipped,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,6,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,2,58,Skipped,1,Skipped,Skipped,Skipped,60,Skipped,Skipped,Skipped,8,62,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
