rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
17,17,17,17,2,17,3,17,17,17,17,17,17,17,1,17,17,17.0,1.0
17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,,
17,17,17,2,17,17,17,17,1,17,17,17,17,17,17,17,17,,
Skipped,17,Skipped,1,17,Skipped,2,Skipped,17,Skipped,17,Skipped,Skipped,Skipped,3,Skipped,4,,
Skipped,Skipped,5,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,2,,
14,14,14,16,17,14,13,14,1,14,14,14,14,14,15,12,14,,
17,17,17,1,17,17,17,17,2,17,17,17,17,17,3,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,,
14,17,17,17,1,17,16,17,17,17,17,17,17,17,17,17,15,,
17,17,17,17,3,17,16,17,17,17,17,17,17,1,17,2,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,,
9,12,5,1,16,Skipped,11,15,2,Skipped,4,Skipped,17,8,7,3,6,,
17,17,17,3,17,17,5,17,2,17,17,17,17,17,1,4,17,,
17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,,
11,1,16,6,17,9,14,7,5,15,2,12,8,10,3,4,13,,
2,4,15,10,12,Skipped,11,13,17,Skipped,Skipped,Skipped,Skipped,16,1,5,3,,
17,17,17,17,1,17,8,17,17,17,17,17,17,17,6,6,17,,
Skipped,Skipped,Skipped,1,12,Skipped,10,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,11,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
17,17,17,17,1,17,5,17,2,17,17,17,17,17,6,3,4,,
Skipped,Skipped,Skipped,2,3,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,3,3,4,,
Skipped,Skipped,Skipped,17,1,Skipped,6,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,8,,
17,17,17,5,1,17,17,17,17,17,17,17,17,17,3,2,4,,
1,4,3,8,5,Skipped,14,13,16,11,9,6,7,10,2,12,15,,
15,13,17,1,12,17,11,17,14,17,17,17,17,17,10,16,9,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,4,,
12,7,3,10,2,6,1,14,15,9,5,13,11,9,4,17,16,,
17,3,9,17,17,17,17,17,17,4,17,17,17,17,1,17,17,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
Skipped,3,Skipped,Skipped,17,Skipped,1,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,6,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
5,17,4,1,7,17,6,3,2,17,17,17,17,17,17,17,17,,
Skipped,Skipped,Skipped,1,3,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,Skipped,6,4,Skipped,7,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
3,4,17,17,2,Skipped,10,5,16,11,9,12,8,17,15,1,17,,
Skipped,Skipped,Skipped,3,2,Skipped,16,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,16,,
16,16,16,16,17,16,2,16,1,16,16,16,16,16,16,16,3,,
5,6,17,4,7,17,2,17,17,17,17,3,17,17,1,8,17,,
17,1,17,17,2,17,3,17,4,17,17,17,17,17,5,17,17,,
