rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,Num Cands,Num Seats
10,9,5,3,12,13,1,11,8,6,2,7,4,13.0,1.0
6,2,11,3,8,12,7,10,13,1,4,5,9,,
4,12,10,6,7,5,2,9,7,3,12,8,11,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,4,10,6,12,5,1,9,13,3,2,8,11,,
4,Skipped,7,2,6,Skipped,1,5,Skipped,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,4,Skipped,Skipped,Skipped,1,3,Skipped,Skipped,Skipped,Skipped,2,,
7,8,4,5,6,11,3,12,9,1,13,2,10,,
2,5,4,8,3,6,1,7,Skipped,Skipped,Skipped,Skipped,5,,
4,10,9,11,1,2,3,13,12,5,6,7,8,,
3,Skipped,Skipped,2,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,2,2,5,Skipped,1,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
9,Skipped,6,2,7,Skipped,3,11,10,1,8,4,5,,
Skipped,Skipped,3,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
10,Skipped,4,5,Skipped,Skipped,2,8,9,6,1,3,7,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,Skipped,2,Skipped,Skipped,Skipped,1,4,3,Skipped,Skipped,Skipped,6,,
2,Skipped,7,3,1,Skipped,Skipped,6,Skipped,4,Skipped,Skipped,5,,
9,1,11,4,10,5,2,7,12,3,8,13,6,,
5,1,4,3,6,Skipped,1,7,Skipped,1,Skipped,Skipped,2,,
4,1,9,7,12,2,6,11,13,3,8,5,10,,
7,Skipped,4,10,6,Skipped,2,8,3,1,Skipped,5,9,,
4,12,1,10,2,9,7,3,11,8,6,5,13,,
9,Skipped,1,4,11,Skipped,1,7,10,1,7,4,4,,
Skipped,Skipped,4,Skipped,Skipped,Skipped,1,3,Skipped,Skipped,Skipped,2,Skipped,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,Skipped,2,,
Skipped,Skipped,1,Skipped,6,Skipped,3,Skipped,5,2,Skipped,4,Skipped,,
Skipped,Skipped,3,Skipped,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,9,11,10,1,11,4,6,8,7,5,7,3,,
1,Skipped,4,5,7,Skipped,Skipped,Skipped,3,6,Skipped,2,Skipped,,
8,1,13,6,11,4,2,9,12,3,5,10,7,,
8,Skipped,4,2,12,7,6,11,9,1,5,3,10,,
Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,1,,
7,2,8,Skipped,Skipped,3,1,10,6,5,Skipped,4,9,,
8,Skipped,Skipped,4,9,Skipped,1,2,7,5,3,Skipped,6,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
4,?,6,11,2,3,1,7,10,5,1,9,8,,
