rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,3,15.0,1.0
Skipped,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,2,Skipped,Skipped,Skipped,,
10,6,Skipped,3,9,Skipped,4,8,Skipped,7,Skipped,5,Skipped,2,1,,
1,7,6,10,3,Skipped,5,9,2,11,11,Skipped,3,7,Skipped,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,5,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
4,3,Skipped,1,11,Skipped,2,10,9,7,Skipped,8,Skipped,6,5,,
11,7,6,4,3,11,1,12,11,11,15,2,11,11,5,,
1,Skipped,4,Skipped,2,Skipped,Skipped,3,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,,
1,15,15,15,15,15,2,15,15,3,15,15,15,15,15,,
1,Skipped,Skipped,Skipped,2,Skipped,3,4,7,6,Skipped,Skipped,Skipped,5,Skipped,,
5,3,11,9,6,Skipped,4,Skipped,Skipped,10,2,1,Skipped,8,7,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,,
1,Skipped,6,5,11,8,7,9,4,10,Skipped,2,Skipped,3,Skipped,,
Skipped,Skipped,Skipped,Skipped,2,4,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,2,4,Skipped,1,Skipped,6,5,Skipped,Skipped,3,Skipped,Skipped,,
1,Skipped,4,5,Skipped,Skipped,6,Skipped,Skipped,7,Skipped,3,Skipped,2,Skipped,,
4,2,Skipped,7,11,Skipped,5,10,6,9,Skipped,1,Skipped,3,8,,
Skipped,Skipped,Skipped,5,4,Skipped,1,Skipped,Skipped,6,Skipped,2,Skipped,3,Skipped,,
Skipped,Skipped,1,Skipped,2,Skipped,Skipped,4,3,6,Skipped,Skipped,5,Skipped,Skipped,,
Skipped,3,4,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
3,1,5,9,Skipped,Skipped,4,Skipped,10,7,Skipped,2,Skipped,8,6,,
1,4,7,5,Skipped,Skipped,2,Skipped,Skipped,6,Skipped,3,Skipped,8,5,,
Skipped,Skipped,3,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,9,8,10,11,14,7,13,12,4,15,5,3,1,2,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,,
2,5,3,7,14,Skipped,6,9,12,8,1,4,11,10,13,,
1,6,3,9,Skipped,5,2,4,7,10,Skipped,Skipped,8,Skipped,Skipped,,
1,Skipped,4,10,6,11,3,Skipped,8,5,Skipped,2,9,Skipped,7,,
1,4,4,5,7,6,2,7,Skipped,8,3,5,7,Skipped,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
3,Skipped,2,7,Skipped,Skipped,1,5,Skipped,8,Skipped,4,Skipped,6,Skipped,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,,
Skipped,1,3,5,10,Skipped,7,4,9,8,Skipped,Skipped,Skipped,2,6,,
4,1,?,?,2,?,?,6,?,?,?,5,?,3,?,,
