rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
10,7,1,Skipped,5,3,4,Skipped,Skipped,Skipped,9,2,6,Skipped,8,15.0,1.0
15,14,9,8,11,6,3,4,5,12,7,1,13,2,10,,
12,3,Skipped,4,9,10,5,2,Skipped,11,7,1,6,Skipped,8,,
Skipped,9,Skipped,7,5,Skipped,1,Skipped,6,Skipped,3,2,8,Skipped,4,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,1,3,Skipped,Skipped,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,Skipped,Skipped,,
12,1,3,5,9,8,6,Skipped,2,14,10,4,7,Skipped,11,,
2,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,3,Skipped,Skipped,,
Skipped,6,3,5,7,Skipped,8,Skipped,4,Skipped,Skipped,2,Skipped,1,Skipped,,
7,6,Skipped,3,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,1,5,Skipped,Skipped,,
15,2,Skipped,5,6,Skipped,3,Skipped,Skipped,Skipped,8,1,4,Skipped,7,,
12,13,5,6,10,3,7,Skipped,2,14,11,1,8,4,9,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
3,8,Skipped,11,4,1,Skipped,7,10,9,6,2,Skipped,Skipped,5,,
2,Skipped,10,Skipped,1,5,Skipped,Skipped,6,9,8,3,4,Skipped,7,,
Skipped,4,Skipped,5,Skipped,3,1,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,4,6,Skipped,2,Skipped,Skipped,Skipped,7,Skipped,5,Skipped,3,,
Skipped,10,2,4,8,7,1,Skipped,Skipped,Skipped,9,3,5,Skipped,6,,
2,13,4,6,9,14,7,10,8,15,12,1,3,5,11,,
11,7,Skipped,6,10,3,5,Skipped,Skipped,Skipped,9,1,4,2,8,,
Skipped,Skipped,Skipped,2,3,1,Skipped,Skipped,Skipped,6,5,Skipped,Skipped,Skipped,4,,
10,4,Skipped,Skipped,3,5,8,2,Skipped,Skipped,6,1,9,Skipped,7,,
Skipped,5,1,Skipped,6,2,4,Skipped,Skipped,Skipped,7,Skipped,3,Skipped,8,,
6,8,12,13,9,4,2,5,14,15,11,1,7,3,10,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
10,12,3,9,11,4,7,5,6,14,13,1,8,2,Skipped,,
Skipped,11,Skipped,8,6,2,7,5,Skipped,10,3,1,4,Skipped,9,,
Skipped,4,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,5,2,Skipped,Skipped,Skipped,3,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,6,Skipped,4,Skipped,1,3,Skipped,Skipped,5,Skipped,2,Skipped,Skipped,Skipped,,
9,11,6,5,13,10,8,3,7,15,14,2,4,1,12,,
6,12,1,5,7,14,4,3,11,9,10,2,15,8,13,,
15,10,2,4,3,13,7,11,12,14,9,1,5,8,6,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,9,2,5,12,3,Skipped,7,1,Skipped,10,4,6,Skipped,8,,
15,8,2,14,11,6,7,12,5,4,9,3,13,1,10,,
11,10,Skipped,2,1,5,6,Skipped,4,Skipped,8,7,3,Skipped,9,,
Skipped,5,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,,
6,2,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,5,,
5,Skipped,Skipped,8,4,2,Skipped,Skipped,3,Skipped,7,1,6,Skipped,9,,
Skipped,5,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,,
?,6,1,?,?,2,5,?,?,?,?,3,4,?,?,,
