rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,Num Cands,Num Seats
4,9,6,11,10,5,8,1,13,3,7,2,12,13.0,1.0
13,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,1,Skipped,Skipped,3,2,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,2,Skipped,3,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,1,Skipped,2,Skipped,4,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,12,Skipped,Skipped,,
13,Skipped,12,Skipped,1,Skipped,Skipped,4,Skipped,7,Skipped,11,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,12,Skipped,13,Skipped,1,Skipped,,
12,10,9,6,4,13,7,1,11,2,5,3,8,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
7,13,8,11,2,10,4,6,12,1,5,3,9,,
Skipped,Skipped,Skipped,Skipped,Skipped,4,3,1,2,Skipped,Skipped,Skipped,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,3,5,6,2,4,Skipped,,
11,2,Skipped,Skipped,1,4,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,,
2,12,12,12,12,4,11,1,13,3,12,5,12,,
Skipped,Skipped,Skipped,5,5,5,Skipped,1,2,Skipped,6,Skipped,5,,
Skipped,5,Skipped,4,1,3,Skipped,Skipped,Skipped,Skipped,Skipped,6,2,,
Skipped,Skipped,Skipped,Skipped,1,4,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,4,Skipped,2,Skipped,,
6,7,6,12,9,4,10,1,13,2,8,3,11,,
Skipped,5,4,1,8,2,Skipped,9,Skipped,Skipped,6,3,7,,
Skipped,Skipped,2,Skipped,1,Skipped,13,3,Skipped,4,6,5,Skipped,,
11,4,5,7,3,12,9,1,8,6,10,2,3,,
5,6,4,6,1,4,2,3,6,4,2,1,6,,
3,1,Skipped,5,Skipped,2,4,13,Skipped,Skipped,12,11,Skipped,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,,
10,2,6,1,4,12,6,13,6,8,9,3,7,,
13,6,?,?,1,3,?,?,?,11,?,?,?,,
