rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,31.0,1.0
7,24,6,29,31,15,25,16,14,1,28,9,28,24,5,17,2,30,28,3,13,24,24,24,12,8,11,4,24,10,24,,
6,31,31,7,2,31,4,31,31,31,31,31,31,13,31,31,31,3,31,31,31,31,31,31,31,31,31,31,5,1,31,,
27,24,28,15,3,23,20,22,29,21,16,10,17,8,1,4,19,30,5,6,12,13,31,7,26,11,18,9,14,2,25,,
2,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
17,23,30,6,1,9,7,8,12,31,19,28,11,2,13,15,24,5,4,22,20,25,26,14,18,22,10,16,29,3,27,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
4,20,15,5,1,6,15,6,10,15,10,10,20,5,10,15,10,3,10,15,10,15,25,10,15,10,15,10,15,2,25,,
8,26,24,2,3,10,15,24,11,7,9,30,20,20,5,26,31,6,10,11,24,26,31,4,25,15,12,12,24,1,30,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
31,10,6,5,4,4,20,2,6,8,15,10,30,9,1,12,14,16,5,13,11,7,9,18,19,17,12,20,11,3,10,,
31,31,31,31,1,31,31,31,31,31,31,31,31,3,2,31,31,6,31,31,31,31,31,31,31,5,31,31,31,4,31,,
31,31,31,3,1,8,31,9,31,14,31,31,31,6,10,31,13,2,5,12,11,31,31,31,31,7,15,31,31,4,31,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
5,24,27,1,3,23,16,22,9,28,21,17,6,7,10,13,30,2,8,20,14,26,25,11,18,17,12,19,15,4,29,,
31,31,31,13,1,31,31,31,31,31,31,31,31,31,6,31,31,11,2,31,31,31,31,31,31,31,31,4,31,3,31,,
30,17,29,29,2,10,29,4,8,6,18,5,11,19,20,10,31,3,13,12,29,17,17,17,7,29,12,29,29,1,17,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
10,31,31,7,1,31,9,Skipped,11,11,31,31,31,3,2,14,31,10,9,18,31,31,31,31,Skipped,8,31,10,31,4,31,,
6,31,31,8,2,31,31,31,31,31,31,31,31,7,31,31,31,3,4,5,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,1,31,31,31,31,31,31,31,3,31,,
31,31,31,31,1,31,31,31,31,31,31,31,31,31,3,31,31,4,31,31,31,31,31,31,31,31,31,31,31,2,31,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,5,1,31,31,31,31,31,31,31,31,3,4,31,31,6,7,31,31,31,31,31,31,31,31,31,31,2,31,,
7,31,8,3,2,31,31,31,31,31,31,10,31,5,6,31,31,31,9,31,4,31,31,31,31,31,31,1,31,4,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
3,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4,31,31,31,1,31,,
31,31,31,3,1,9,31,31,31,31,31,31,31,7,5,31,31,2,4,31,8,31,31,10,31,31,31,31,31,6,31,,
31,8,31,1,3,31,31,31,31,31,31,6,31,7,31,31,31,2,5,31,31,31,31,31,31,31,31,31,31,4,31,,
5,31,31,6,2,31,31,14,24,25,31,31,31,7,31,15,31,8,3,31,22,31,23,31,31,11,31,31,31,1,31,,
3,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4,31,31,31,1,31,,
6,31,31,7,3,31,31,31,31,31,31,31,31,31,4,31,31,2,31,31,31,31,31,31,31,5,31,31,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
11,30,30,4,1,30,30,30,8,9,30,10,11,30,7,30,30,5,6,30,30,30,30,3,31,10,30,31,30,2,30,,
6,31,31,7,3,31,31,31,31,31,31,31,31,31,4,31,31,2,31,31,31,31,31,31,31,5,31,31,31,1,31,,
2,31,31,31,31,31,31,31,31,31,3,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
4,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,1,31,,
4,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
15,Skipped,16,6,3,Skipped,Skipped,11,7,Skipped,10,5,31,2,1,Skipped,Skipped,4,8,Skipped,Skipped,Skipped,Skipped,Skipped,13,14,Skipped,9,Skipped,12,Skipped,,
6,31,31,8,2,31,31,31,31,31,31,31,31,7,31,31,31,3,4,5,31,31,31,31,31,31,31,31,31,1,31,,
3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,1,31,,
8,29,24,3,1,12,23,10,30,15,21,18,9,6,7,11,26,5,4,19,25,16,31,13,22,17,20,14,27,2,28,,
2,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
12,22,19,10,1,9,18,11,16,30,27,13,17,4,5,8,31,3,6,24,15,29,21,23,25,14,7,20,28,2,26,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
4,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,31,1,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
2,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
6,31,31,7,3,31,31,31,31,31,31,31,31,31,4,31,31,2,31,31,31,31,31,31,31,5,31,31,31,1,31,,
7,31,31,4,2,31,31,31,31,31,8,31,5,6,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,3,31,,
4,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,4,1,31,31,31,31,31,31,31,31,5,2,31,31,6,31,31,31,31,31,31,31,31,31,31,31,3,31,,
6,31,31,8,2,31,31,31,31,31,31,31,31,7,31,31,31,3,4,5,31,31,31,31,31,31,31,31,31,1,31,,
2,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
11,31,31,4,2,31,31,19,9,14,31,31,17,5,1,12,31,6,7,20,13,31,31,16,18,8,15,10,31,3,31,,
16,24,19,7,1,8,11,12,4,28,17,20,18,5,6,23,31,9,3,27,15,22,27,14,27,13,25,10,21,2,26,,
2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,
30,17,21,3,2,12,26,8,24,9,28,11,25,19,1,4,27,6,31,13,29,7,18,15,10,22,14,23,20,5,16,,
4,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,1,31,,
13,28,18,10,1,20,12,7,23,22,26,5,17,8,6,3,31,4,11,24,27,29,30,19,14,16,15,9,25,2,21,,
9,31,31,7,1,11,8,10,5,31,31,31,12,3,4,16,31,6,14,18,31,31,31,31,17,15,31,13,31,1,31,,
4,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,1,31,,
3,31,31,5,1,4,31,31,31,31,31,31,31,31,6,31,31,7,31,9,31,31,31,31,8,31,31,31,31,2,31,,
3,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4,31,31,31,1,31,,
3,31,31,8,2,10,31,11,31,31,31,31,6,31,4,9,31,5,7,31,31,31,31,31,31,31,31,31,31,1,31,,
6,31,31,8,2,31,31,31,31,31,31,31,31,7,31,31,31,3,4,5,31,31,31,31,31,31,31,31,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
3,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4,31,31,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,2,31,31,31,31,31,3,31,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
1,31,31,2,3,31,31,31,31,31,31,31,31,5,31,31,31,4,7,31,31,31,31,10,31,31,31,30,31,31,31,,
