rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
1,10,7,14,15,13,9,8,4,2,16,11,3,6,12,6,5,17.0,1.0
17,10,8,7,13,14,1,9,5,2,12,3,11,15,4,16,6,,
8,11,12,17,15,3,1,6,10,5,13,16,4,2,7,9,14,,
7,12,8,16,11,5,8,9,1,4,14,3,Skipped,15,6,13,2,,
7,Skipped,Skipped,1,8,6,2,17,Skipped,11,3,9,4,10,Skipped,5,Skipped,,
14,7,4,17,11,8,1,15,16,3,13,5,12,2,9,10,6,,
9,10,15,14,4,5,2,17,1,3,11,8,16,6,12,7,13,,
1,10,Skipped,Skipped,12,4,13,Skipped,7,2,Skipped,5,9,8,6,11,3,,
8,11,13,5,1,9,3,2,17,10,12,15,6,16,4,7,14,,
1,14,16,17,11,2,13,10,6,3,8,12,9,4,7,15,5,,
9,9,11,16,17,14,1,15,2,6,12,5,3,9,4,13,10,,
4,17,17,9,17,10,5,6,2,3,17,17,12,1,11,8,7,,
7,10,3,16,12,9,15,17,1,2,13,5,4,8,11,6,14,,
12,4,16,6,14,13,2,17,1,5,15,3,9,11,10,8,7,,
9,4,16,15,17,7,1,14,8,2,11,13,10,13,3,5,6,,
6,5,14,17,9,10,17,17,4,8,11,1,13,2,12,3,7,,
Skipped,Skipped,2,Skipped,Skipped,Skipped,3,5,10,8,Skipped,Skipped,6,9,7,Skipped,Skipped,,
14,7,Skipped,12,3,6,1,15,2,4,13,5,Skipped,11,8,9,10,,
5,11,17,14,15,10,2,7,4,1,12,6,16,9,8,13,3,,
2,12,9,5,8,11,13,10,3,1,15,4,7,17,14,6,16,,
14,17,16,15,8,9,1,5,2,7,11,12,10,13,4,6,3,,
9,3,14,17,10,11,5,17,13,6,17,12,1,7,4,2,8,,
1,12,3,16,4,11,17,14,10,8,9,15,13,6,7,2,5,,
10,13,14,3,6,Skipped,1,4,12,9,17,13,Skipped,2,9,8,13,,
4,6,15,17,10,9,5,14,1,3,16,2,7,12,13,11,8,,
5,7,16,11,3,12,4,15,13,1,14,2,9,17,6,8,10,,
1,3,16,11,7,12,2,13,9,4,15,10,5,14,6,8,17,,
6,14,16,10,7,12,2,8,4,5,17,11,3,1,9,15,13,,
1,7,17,17,17,9,10,17,4,6,17,3,17,17,8,17,5,,
3,7,Skipped,Skipped,10,6,Skipped,Skipped,Skipped,2,Skipped,8,5,1,9,4,Skipped,,
6,12,14,16,3,8,17,11,9,4,15,10,1,2,13,7,5,,
2,10,17,4,16,11,5,3,1,7,15,6,14,13,12,9,8,,
1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
11,10,3,2,17,16,6,2,1,9,15,14,5,13,7,8,12,,
1,Skipped,Skipped,4,Skipped,7,3,5,8,3,Skipped,Skipped,Skipped,8,2,Skipped,6,,
1,8,11,Skipped,10,6,17,16,13,2,15,14,5,7,4,9,3,,
8,3,7,16,9,9,1,15,4,11,17,12,6,14,2,12,5,,
3,7,5,8,4,2,4,Skipped,4,2,Skipped,6,5,1,5,5,3,,
6,3,15,4,11,9,5,14,8,1,16,10,13,17,2,7,12,,
5,11,Skipped,7,12,10,1,Skipped,3,4,Skipped,13,2,8,6,9,Skipped,,
4,7,9,2,8,10,6,11,1,8,13,3,5,7,12,11,5,,
10,7,Skipped,4,11,2,5,Skipped,9,3,Skipped,5,1,8,3,6,4,,
5,4,17,7,9,13,10,6,14,1,11,2,16,3,15,12,8,,
3,Skipped,Skipped,10,Skipped,8,2,11,1,4,Skipped,5,Skipped,6,7,9,Skipped,,
16,2,4,Skipped,Skipped,Skipped,17,10,1,3,Skipped,5,6,Skipped,15,8,Skipped,,
7,14,4,15,9,10,16,17,2,6,12,8,3,1,11,13,5,,
1,17,17,17,17,17,17,17,6,17,17,17,17,17,17,17,6,,
13,12,16,10,17,8,4,3,7,1,9,11,6,14,5,15,2,,
14,15,2,4,17,5,3,13,1,6,16,10,15,12,6,7,Skipped,,
7,13,15,9,10,12,5,17,1,4,16,3,14,2,6,11,8,,
17,5,4,3,Skipped,17,16,2,17,6,Skipped,1,17,17,Skipped,Skipped,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
15,16,10,7,6,8,5,2,3,9,17,11,14,4,12,13,1,,
9,3,13,1,5,10,7,15,6,12,14,17,11,16,4,8,2,,
5,8,10,6,11,7,2,17,1,3,16,4,15,13,12,14,9,,
11,7,1,12,4,2,5,14,10,6,15,Skipped,Skipped,13,3,9,8,,
15,13,?,6,10,11,9,14,7,3,?,2,1,4,12,8,5,,
