rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31.0,1.0
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,10,12,10,Skipped,4,10,Skipped,Skipped,1,Skipped,6,10,Skipped,Skipped,9,Skipped,8,10,11,3,Skipped,7,,
2,Skipped,Skipped,Skipped,4,6,9,Skipped,Skipped,8,Skipped,Skipped,14,Skipped,5,15,Skipped,Skipped,14,Skipped,Skipped,Skipped,1,14,7,3,Skipped,Skipped,Skipped,14,14,,
Skipped,Skipped,Skipped,1,Skipped,9,4,16,Skipped,30,Skipped,16,21,16,29,5,6,8,Skipped,10,13,2,16,3,19,22,16,12,7,11,Skipped,,
17,9,4,13,31,11,Skipped,10,14,5,14,Skipped,Skipped,17,6,Skipped,18,8,15,Skipped,Skipped,16,29,1,7,3,12,Skipped,2,Skipped,30,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,7,1,2,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,18,2,Skipped,11,17,12,19,Skipped,Skipped,Skipped,Skipped,13,7,4,5,10,16,Skipped,15,Skipped,13,8,6,Skipped,20,1,9,3,14,Skipped,,
11,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,17,8,15,Skipped,Skipped,5,14,2,7,Skipped,Skipped,Skipped,Skipped,Skipped,9,10,12,13,3,Skipped,6,Skipped,16,,
6,Skipped,1,9,30,Skipped,Skipped,Skipped,Skipped,5,31,Skipped,Skipped,20,10,2,4,Skipped,Skipped,Skipped,8,11,7,Skipped,Skipped,3,Skipped,Skipped,22,Skipped,21,,
Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,4,3,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31,,
17,6,22,8,27,2,18,3,20,15,31,28,30,5,11,12,19,13,10,23,29,16,14,1,21,4,9,25,7,26,24,,
20,Skipped,2,20,25,Skipped,25,4,20,20,25,Skipped,Skipped,15,15,5,1,Skipped,10,Skipped,20,20,15,25,3,25,25,Skipped,15,20,31,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
20,8,7,12,31,24,26,13,21,9,30,17,18,5,19,29,1,23,22,27,11,4,15,3,14,2,10,16,6,25,28,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,31,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,10,5,Skipped,Skipped,2,3,Skipped,4,9,Skipped,Skipped,12,Skipped,7,Skipped,Skipped,6,8,Skipped,1,Skipped,Skipped,,
Skipped,2,31,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
