rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,Num Cands,Num Seats
8,22,22,22,7,1,22,3,22,22,22,22,5,4,22,9,6,22,2,22,22,22,22.0,1.0
22,22,9,22,22,7,22,4,22,22,22,22,2,22,8,3,6,22,5,22,1,22,,
1,7,7,14,22,3,22,7,14,22,22,7,7,22,7,5,2,14,7,22,4,5,,
22,22,22,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
1,22,22,22,22,22,22,22,22,3,22,1,22,22,1,22,22,22,22,22,2,22,,
22,22,22,22,22,5,7,6,22,8,2,22,22,22,22,22,4,22,3,22,1,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
22,22,22,22,22,2,22,22,22,22,22,22,1,1,22,3,22,22,22,22,22,22,,
Skipped,Skipped,8,Skipped,Skipped,Skipped,6,5,Skipped,3,Skipped,Skipped,Skipped,Skipped,16,4,1,16,10,Skipped,2,9,,
4,22,22,22,22,22,22,22,22,22,22,22,3,22,22,22,22,22,1,22,2,22,,
22,22,22,22,22,2,22,22,22,3,22,22,22,22,22,22,1,22,5,22,4,22,,
22,22,2,21,22,5,22,22,21,21,21,21,21,21,2,21,21,7,6,4,21,1,,
21,12,13,18,7,9,11,10,17,3,16,20,15,14,12,8,2,19,6,22,1,4,,
22,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,3,22,22,22,2,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,22,22,22,2,3,22,22,,
17,10,3,20,22,18,13,1,19,7,21,16,15,12,9,11,5,8,5,2,6,14,,
18,11,10,22,19,13,20,5,12,15,4,17,16,14,9,6,2,8,1,21,3,7,,
22,22,22,22,22,22,22,22,22,22,1,22,6,22,4,5,22,22,2,22,3,22,,
5,22,22,6,4,3,22,22,22,8,22,10,2,22,3,7,3,22,22,22,1,9,,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,2,3,22,22,1,22,22,22,,
