rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,Num Cands,Num Seats
11,9,4,3,12,5,6,8,1,7,2,10,12.0,1.0
12,12,12,12,12,12,12,12,12,12,12,12,,
6,1,10,7,11,5,3,12,9,4,8,2,,
12,4,3,2,12,12,12,12,12,12,5,1,,
12,12,12,1,12,12,12,12,2,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,,
12,12,12,12,12,12,12,12,12,1,12,12,,
Skipped,2,3,4,6,7,Skipped,Skipped,Skipped,7,Skipped,1,,
1,12,3,2,12,12,7,9,12,12,4,12,,
10,1,7,11,8,9,5,6,3,2,12,4,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
3,10,8,9,6,7,6,4,12,1,2,11,,
12,12,12,12,12,1,12,12,12,12,12,12,,
8,7,3,4,12,10,2,9,6,11,5,1,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,1,12,12,12,2,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
6,4,4,11,3,8,2,4,1,8,7,8,,
12,12,12,12,12,12,12,12,1,12,12,11,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,1,4,12,12,2,12,12,3,,
12,12,1,12,12,12,12,12,12,12,12,12,,
11,Skipped,Skipped,10,4,1,Skipped,10,3,2,Skipped,Skipped,,
1,12,12,2,12,12,3,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,1,12,12,,
2,12,12,1,12,12,12,12,12,12,12,12,,
12,7,10,5,9,4,2,6,3,8,1,11,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,1,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,1,12,12,2,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
2,2,2,1,2,2,2,2,2,2,2,2,,
12,12,12,12,12,12,12,12,12,12,1,12,,
12,1,4,12,6,7,5,2,3,9,8,10,,
3,2,10,11,4,12,8,7,9,6,1,5,,
Skipped,3,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
11,1,8,7,6,5,Skipped,12,4,3,Skipped,2,,
9,1,11,2,6,9,4,5,2,7,10,9,,
12,12,12,12,12,12,12,12,12,1,12,12,,
1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
2,7,10,1,8,4,11,12,5,6,3,9,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,11,12,12,12,9,10,12,12,1,2,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,1,12,12,12,12,12,12,12,12,12,2,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,11,3,5,7,6,9,2,8,1,4,10,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
3,4,11,2,12,9,8,7,5,6,10,1,,
12,12,12,12,1,12,12,12,12,12,12,12,,
6,9,3,5,2,12,4,8,3,7,11,1,,
4,5,12,12,3,12,12,12,12,12,1,2,,
4,3,3,2,2,4,1,4,3,4,4,2,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
1,5,5,7,5,2,5,6,6,4,4,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,1,12,12,12,12,12,12,12,,
1,5,6,2,11,4,8,12,3,9,10,7,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,12,12,1,12,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,8,2,Skipped,7,6,10,10,1,4,3,5,,
12,12,12,12,1,12,12,12,12,12,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,2,12,12,12,12,12,12,12,12,1,,
12,2,12,1,12,3,12,12,12,12,12,4,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,12,12,1,12,12,12,12,12,12,,
12,2,12,12,12,3,12,12,12,12,1,12,,
12,12,12,12,12,12,12,12,1,12,12,12,,
12,12,12,12,12,12,12,12,12,12,12,1,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
6,2,10,5,4,2,8,9,3,11,12,7,,
Skipped,Skipped,3,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
12,12,12,1,12,12,12,12,12,12,12,12,,
4,12,12,12,1,5,3,12,2,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,1,12,12,,
11,3,8,4,6,9,5,7,2,12,10,1,,
12,12,12,12,12,12,12,12,12,12,12,1,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
12,12,12,12,1,12,2,12,12,12,12,12,,
Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,3,Skipped,Skipped,Skipped,2,Skipped,Skipped,,
Skipped,11,Skipped,11,Skipped,1,Skipped,10,9,12,8,Skipped,,
12,12,12,12,12,12,12,12,12,12,1,12,,
Skipped,4,1,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,5,Skipped,,
12,12,12,12,12,12,12,12,12,12,12,1,,
4,6,2,11,7,10,6,5,3,8,1,9,,
12,12,12,2,12,12,12,1,3,12,12,12,,
1,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
12,12,12,12,12,12,12,12,12,12,1,12,,
Skipped,12,Skipped,12,Skipped,12,2,Skipped,12,3,1,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,1,12,12,12,2,12,12,12,12,,
12,1,12,12,12,12,12,12,12,12,12,12,,
9,8,10,12,4,2,3,7,5,1,11,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,12,1,12,12,12,12,12,12,12,12,,
12,12,12,12,12,12,12,12,12,1,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
12,12,1,12,12,12,12,12,12,12,12,12,,
3,5,7,2,6,8,Skipped,Skipped,1,Skipped,Skipped,4,,
6,3,7,2,Skipped,4,Skipped,5,1,Skipped,Skipped,Skipped,,
