rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,Num Cands,Num Seats
8,12,4,9,6,13,5,11,10,2,7,1,3,13.0,1.0
1,13,13,13,13,13,13,13,13,13,13,13,13,,
12,12,2,3,12,12,12,4,12,13,12,12,1,,
11,4,13,5,9,6,1,10,7,8,12,3,2,,
13,13,1,13,1,13,13,1,13,13,13,13,1,,
13,13,13,13,13,13,1,13,3,2,13,4,13,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
11,11,12,6,5,11,7,13,11,3,4,2,1,,
13,13,13,13,5,13,13,13,3,4,13,1,2,,
13,13,13,13,13,13,13,13,13,13,1,13,13,,
13,13,13,1,13,13,13,13,13,13,13,2,13,,
13,13,13,13,1,13,13,13,13,13,13,13,13,,
3,5,13,7,4,11,10,12,8,6,9,1,2,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
Skipped,3,Skipped,7,4,8,Skipped,Skipped,6,5,Skipped,1,2,,
13,1,11,3,5,10,2,6,8,7,12,9,4,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
1,8,13,6,2,13,10,13,9,7,3,4,5,,
2,4,13,13,13,13,3,13,13,13,5,13,1,,
4,13,13,2,6,13,13,13,13,13,5,3,1,,
4,8,13,7,3,11,9,12,10,6,5,2,1,,
3,5,13,13,13,13,13,13,1,13,13,4,2,,
13,4,12,10,2,6,5,1,11,9,13,3,7,,
13,13,13,5,13,13,13,13,13,2,13,13,1,,
13,4,3,13,13,2,13,1,13,13,13,13,13,,
13,13,13,13,1,13,13,13,13,13,2,13,3,,
8,5,Skipped,Skipped,1,7,13,11,12,6,4,3,2,,
13,13,2,13,13,1,4,2,13,13,13,13,5,,
13,13,10,2,13,5,6,8,3,1,13,7,4,,
5,6,13,2,1,13,13,13,2,3,7,4,2,,
13,13,13,13,1,13,13,13,13,13,13,13,2,,
13,5,13,13,13,13,13,13,10,5,13,1,1,,
13,6,3,13,13,2,4,1,13,13,13,13,5,,
13,13,1,13,13,4,3,2,13,13,13,5,13,,
2,5,13,13,3,13,6,13,13,13,4,13,1,,
13,13,13,5,13,13,13,13,13,13,13,13,13,,
6,13,4,Skipped,2,3,7,1,13,6,13,13,13,,
13,13,8,5,13,2,7,1,13,3,13,6,4,,
13,6,13,7,1,13,13,13,5,5,4,3,2,,
3,13,13,13,2,13,1,13,13,13,13,13,4,,
13,3,7,6,13,5,2,4,11,9,10,8,1,,
1,6,13,5,2,13,7,7,9,5,8,3,5,,
Skipped,2,Skipped,3,6,10,8,7,5,9,Skipped,4,1,,
2,13,13,13,13,13,3,13,13,13,13,1,13,,
13,13,13,6,13,13,5,13,4,13,13,3,1,,
13,12,10,7,1,9,11,5,6,3,8,4,2,,
13,13,13,13,13,2,13,13,1,13,13,13,13,,
7,9,11,13,4,8,6,5,2,12,10,3,1,,
13,13,13,13,2,13,13,13,1,13,13,13,13,,
Skipped,6,2,Skipped,1,3,Skipped,5,Skipped,Skipped,7,4,Skipped,,
13,13,13,13,13,13,13,13,13,2,13,13,1,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,2,13,13,13,13,13,13,13,2,1,,
13,13,13,13,1,13,13,13,3,2,13,13,13,,
13,11,10,2,9,8,3,12,7,5,4,6,1,,
7,1,13,5,4,13,10,13,8,6,9,2,3,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,10,6,7,11,9,3,2,4,8,12,1,5,,
5,10,3,1,6,13,4,7,9,2,13,6,8,,
12,10,11,5,6,4,9,8,8,2,12,3,1,,
13,13,13,13,1,13,13,13,13,13,13,13,13,,
13,4,13,13,13,13,1,2,13,13,13,6,3,,
13,13,13,13,4,5,13,13,13,2,13,3,1,,
13,4,13,13,13,13,2,13,13,13,3,13,1,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
12,7,13,3,10,13,11,13,12,1,5,10,2,,
13,13,13,13,13,13,13,13,13,2,13,13,1,,
4,13,13,2,8,13,13,13,7,5,6,1,3,,
13,6,7,4,13,5,8,2,13,3,13,13,1,,
8,5,13,3,4,9,13,13,7,6,13,2,1,,
3,13,13,13,2,13,13,13,13,13,13,13,1,,
9,6,13,7,4,12,10,11,5,3,8,2,1,,
2,6,13,3,1,13,8,13,13,5,6,13,4,,
13,13,13,1,13,13,13,13,13,2,13,13,13,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,3,5,6,13,4,8,1,7,13,13,13,2,,
4,2,9,6,5,11,13,7,10,1,3,12,8,,
4,5,10,13,7,10,6,11,3,12,9,1,2,,
1,13,13,13,13,13,2,13,13,13,13,13,13,,
3,7,11,9,4,12,13,10,5,8,6,2,1,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
Skipped,2,3,Skipped,7,5,10,1,8,4,Skipped,6,9,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
4,13,7,2,1,13,13,6,13,5,3,13,13,,
13,5,13,2,1,13,13,13,13,7,6,3,4,,
5,9,11,7,1,12,10,13,8,6,2,3,4,,
13,13,13,13,13,13,13,1,13,13,13,13,13,,
13,13,13,4,13,13,13,13,13,2,5,3,1,,
12,8,Skipped,1,10,6,10,Skipped,3,4,12,6,2,,
9,11,10,5,8,7,13,12,6,2,4,1,3,,
13,13,13,13,1,13,13,13,13,13,13,13,2,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
3,13,13,1,2,13,13,13,4,13,13,13,5,,
8,7,13,6,2,13,9,13,13,4,5,1,3,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
4,9,10,8,6,Skipped,13,12,7,5,2,3,1,,
13,7,5,10,9,3,2,1,6,12,4,11,8,,
8,2,13,4,6,13,9,13,9,5,7,1,3,,
13,13,4,13,13,1,6,2,13,13,13,3,5,,
13,13,13,13,13,13,11,13,13,13,13,12,1,,
11,12,13,5,7,3,9,6,8,1,10,4,2,,
12,10,9,6,13,3,2,1,8,7,11,5,4,,
13,13,13,13,13,13,13,13,13,13,13,1,13,,
3,10,12,5,2,11,8,4,9,6,13,1,7,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,4,5,13,2,3,1,8,9,13,6,7,,
13,7,8,2,6,10,1,12,9,3,11,5,4,,
1,3,13,13,2,13,13,13,13,2,1,1,3,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
10,10,13,10,6,10,7,11,9,10,12,8,1,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
1,2,13,10,2,13,8,13,9,2,2,1,2,,
10,10,10,2,5,10,8,9,3,4,7,7,1,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
12,12,4,1,12,13,12,7,12,9,12,12,4,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
Skipped,5,Skipped,8,3,Skipped,9,9,7,4,6,2,1,,
13,3,13,13,1,13,13,13,13,2,13,13,1,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,6,13,13,3,4,13,1,13,7,13,13,2,,
7,6,13,10,2,11,8,12,5,4,9,1,3,,
13,13,13,13,13,13,13,13,13,2,13,1,13,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
4,7,13,6,4,13,13,13,8,2,13,3,1,,
6,Skipped,Skipped,1,2,Skipped,Skipped,Skipped,7,3,8,4,5,,
8,5,11,7,1,7,13,12,10,4,9,2,3,,
3,4,4,2,3,4,4,4,2,2,3,1,3,,
13,5,3,13,13,2,6,1,13,13,13,13,4,,
13,13,13,13,13,13,13,13,13,13,13,13,13,,
13,13,13,Skipped,13,13,13,13,13,13,13,13,13,,
7,13,13,6,5,13,12,9,8,3,4,2,1,,
13,13,2,13,13,13,1,13,13,13,13,13,13,,
13,13,13,1,2,13,3,5,13,13,13,13,4,,
6,10,12,8,5,13,7,11,9,4,3,2,1,,
8,7,Skipped,5,1,Skipped,Skipped,Skipped,6,Skipped,2,4,3,,
13,13,13,4,3,13,13,13,13,13,13,2,1,,
3,13,13,4,4,13,13,13,13,2,6,1,13,,
1,6,13,13,3,13,13,13,13,4,2,6,5,,
13,13,8,4,1,5,13,6,7,13,13,2,3,,
1,6,13,7,2,13,13,5,13,13,3,13,4,,
13,12,2,1,11,6,9,3,5,7,11,4,10,,
13,11,3,1,9,10,5,6,4,6,?,12,2,,
