rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,Num Cands,Num Seats
9,7,10,10,10,10,4,10,10,10,6,2,10,6,3,10,10,11,10,6,10,1,8,5,24.0,1.0
3,10,15,12,11,8,7,15,15,13,5,1,9,5,15,15,4,14,15,7,5,2,15,6,,
9,15,18,12,16,7,4,18,14,5,13,2,18,18,8,18,17,11,18,18,10,3,6,1,,
8,24,24,24,7,24,2,24,3,24,9,24,24,24,24,24,24,4,24,24,24,24,24,6,,
24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,,
3,18,21,5,16,6,7,24,20,13,8,1,12,15,12,9,4,17,21,22,23,10,11,2,,
1,6,24,7,24,5,3,24,24,4,24,2,24,4,3,24,10,24,24,24,9,24,7,8,,
8,4,23,14,7,2,12,6,9,5,13,1,20,15,11,22,16,17,24,21,10,18,19,3,,
10,12,22,19,20,5,8,21,23,14,9,2,22,6,7,24,15,13,17,18,16,4,11,1,,
24,24,24,24,24,24,24,24,3,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,,
5,7,15,14,15,6,10,19,19,9,13,1,22,15,10,24,13,5,15,10,13,2,8,3,,
6,24,24,24,24,24,6,24,24,24,5,1,24,24,3,24,24,24,24,24,24,24,2,4,,
Skipped,4,Skipped,Skipped,2,7,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,3,8,1,,
7,10,15,24,15,6,4,15,8,10,15,2,24,15,15,24,10,3,24,24,8,10,5,1,,
24,24,24,24,24,2,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,3,,
24,24,24,24,24,24,1,24,4,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,,
3,23,20,18,14,16,7,24,9,5,10,4,15,12,20,17,13,11,20,19,6,8,2,1,,
2,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,,
3,6,Skipped,Skipped,Skipped,9,8,Skipped,Skipped,7,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,5,Skipped,2,,
1,3,24,10,24,8,7,24,24,24,24,2,24,5,6,24,24,24,24,24,9,24,24,4,,
24,5,24,7,24,3,24,24,24,10,24,1,4,24,24,12,6,2,24,8,24,9,24,11,,
5,24,4,24,24,24,24,24,24,3,24,24,24,24,24,2,24,24,24,24,24,24,24,1,,
24,4,7,21,17,1,16,10,11,5,15,13,3,14,9,6,2,22,8,19,12,20,18,23,,
1,6,Skipped,Skipped,Skipped,3,5,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,4,7,,
1,24,24,11,24,10,5,24,24,6,9,2,24,24,24,24,14,3,8,12,13,24,7,4,,
24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
12,8,24,24,12,5,2,7,6,10,10,4,24,15,15,24,12,9,24,24,15,11,3,1,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,,
24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,,
2,10,19,11,24,8,18,24,24,5,20,1,9,13,24,24,6,7,24,12,24,24,13,3,,
5,7,24,24,24,13,2,16,24,4,9,1,24,15,24,10,17,12,24,11,3,14,6,8,,
8,3,24,5,24,9,6,24,24,8,24,1,24,24,24,24,12,24,24,24,24,4,24,2,,
18,6,15,8,16,1,20,21,22,9,23,3,4,24,19,10,2,5,17,11,12,7,14,13,,
9,Skipped,24,24,24,3,1,20,24,12,12,5,24,10,15,24,11,22,24,Skipped,24,Skipped,15,2,,
15,8,24,24,24,11,11,24,15,8,18,6,24,24,24,24,24,24,24,24,24,24,1,5,,
4,24,24,24,24,8,6,24,9,5,7,1,24,24,24,24,24,24,24,24,24,6,3,2,,
8,3,17,17,18,6,9,11,12,4,11,1,17,5,14,24,10,16,13,24,15,16,7,2,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
3,5,16,21,17,6,19,20,11,7,4,1,24,12,13,23,14,15,9,22,10,8,2,1,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,,
2,24,24,24,13,12,9,24,24,18,21,3,24,11,16,24,24,18,24,7,24,4,7,1,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,2,,
5,8,14,17,16,4,3,13,20,7,9,1,13,6,15,21,12,13,18,19,12,11,10,2,,
5,24,24,24,24,24,6,24,24,24,24,2,24,24,24,24,1,24,24,24,24,24,4,3,,
8,Skipped,Skipped,Skipped,Skipped,6,3,Skipped,11,5,9,2,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,10,1,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,,
8,11,19,17,24,6,4,18,21,7,9,1,24,14,12,24,3,13,20,16,15,10,5,2,,
9,4,15,13,18,2,7,20,23,5,22,10,12,6,21,16,11,8,17,14,19,24,3,1,,
24,24,24,24,24,24,2,24,15,24,24,3,24,24,24,24,24,24,24,24,24,24,6,24,,
4,24,24,24,6,3,24,24,24,24,24,2,24,24,2,24,24,24,24,5,24,24,24,1,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
