rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,Num Cands,Num Seats
Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,8,Skipped,9,19,Skipped,16,20,5,Skipped,Skipped,Skipped,12,17,13,15,10,3,11,4,Skipped,Skipped,Skipped,7,1,Skipped,18,2,14,Skipped,Skipped,38.0,1.0
11,6,6,Skipped,11,Skipped,6,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,6,Skipped,11,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,6,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
8,20,Skipped,15,12,Skipped,28,Skipped,6,32,11,29,Skipped,14,36,1,26,Skipped,13,7,Skipped,3,38,Skipped,4,37,5,2,Skipped,Skipped,Skipped,9,31,Skipped,17,10,Skipped,Skipped,,
Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,5,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
24,13,26,2,11,19,25,24,5,28,9,24,34,16,17,12,29,22,15,20,4,35,18,33,3,10,7,36,30,32,8,1,21,23,6,38,14,31,,
10,Skipped,15,5,17,19,Skipped,22,8,Skipped,3,12,Skipped,9,22,7,Skipped,20,11,4,27,29,27,14,29,31,2,20,21,18,6,1,32,28,13,16,20,20,,
Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,6,Skipped,Skipped,,
13,6,Skipped,4,17,Skipped,21,18,2,Skipped,12,24,Skipped,11,23,5,Skipped,Skipped,Skipped,19,22,Skipped,16,20,3,15,10,Skipped,Skipped,Skipped,9,1,Skipped,Skipped,8,14,7,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,33,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
28,30,23,5,22,22,22,22,4,36,2,24,22,27,22,38,34,22,22,6,33,22,22,7,31,22,3,22,29,26,35,1,37,22,25,22,8,32,,
Skipped,Skipped,Skipped,6,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,37,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,38,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,38,Skipped,3,Skipped,Skipped,Skipped,5,Skipped,Skipped,,
6,Skipped,Skipped,4,17,Skipped,Skipped,Skipped,Skipped,22,Skipped,Skipped,15,Skipped,32,Skipped,Skipped,Skipped,18,Skipped,30,Skipped,21,10,2,20,9,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,7,Skipped,Skipped,,
1,Skipped,6,9,7,Skipped,Skipped,Skipped,12,13,21,25,Skipped,16,28,2,5,Skipped,15,17,24,10,23,19,3,18,26,14,Skipped,Skipped,27,4,22,Skipped,20,11,8,Skipped,,
Skipped,22,Skipped,8,15,Skipped,Skipped,Skipped,6,17,21,12,Skipped,10,16,2,Skipped,Skipped,13,14,Skipped,20,19,11,5,18,1,Skipped,Skipped,Skipped,7,3,Skipped,Skipped,4,9,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,38,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
5,2,Skipped,1,10,Skipped,Skipped,Skipped,8,15,13,37,3,Skipped,36,3,Skipped,4,6,10,Skipped,8,Skipped,38,9,Skipped,Skipped,Skipped,4,7,14,Skipped,Skipped,12,Skipped,3,11,7,,
18,9,5,38,25,31,26,28,7,11,30,33,10,1,27,2,3,12,20,6,21,14,36,34,19,35,23,22,13,16,32,37,15,29,24,8,4,17,,
12,34,34,3,6,34,34,34,34,7,4,Skipped,34,8,34,35,34,34,10,34,34,34,Skipped,16,34,34,2,34,34,34,34,5,34,34,34,1,34,Skipped,,
14,15,23,37,6,30,27,12,1,10,13,38,11,27,21,8,30,32,37,22,18,25,37,7,5,19,3,31,37,24,16,4,20,17,2,37,9,26,,
4,21,28,15,17,Skipped,Skipped,25,Skipped,13,24,32,3,19,31,2,9,29,18,22,20,5,26,30,6,11,14,10,8,Skipped,23,7,27,Skipped,16,1,12,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,5,Skipped,Skipped,Skipped,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
8,15,30,35,28,38,26,37,9,31,34,11,21,25,14,2,4,29,19,20,23,17,22,12,1,5,36,16,33,27,24,6,15,13,3,7,18,32,,
21,22,9,23,20,27,26,28,5,31,14,29,10,18,34,2,17,12,24,3,35,4,13,15,30,7,25,8,11,37,33,16,32,38,19,6,1,36,,
