rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
14,14,14,2,14,1,7,14,5,8,3,6,4,14,14.0,Unknown
11,8,10,4,13,9,5,14,3,12,6,1,7,2,,Unknown
1,14,14,14,14,14,14,14,14,14,14,14,14,14,,Unknown
3,14,14,1,14,14,14,14,14,14,14,14,2,14,,Unknown
14,14,14,14,14,2,14,14,14,14,14,3,1,14,,Unknown
7,4,8,1,6,3,4,8,6,5,4,2,5,6,,Unknown
14,14,2,1,14,14,14,14,2,14,14,14,14,14,,Unknown
14,14,14,14,14,3,1,14,14,14,14,14,2,14,,Unknown
8,7,11,10,13,2,3,14,3,9,6,1,5,12,,Unknown
13,6,14,3,8,2,7,11,5,10,9,1,4,12,,Unknown
14,14,14,14,14,1,14,2,4,14,14,3,14,14,,Unknown
2,14,14,14,14,14,14,14,14,14,14,14,14,14,,Unknown
12,10,13,1,14,3,4,9,8,7,5,2,6,11,,Unknown
10,2,5,1,8,12,7,4,6,3,11,14,13,9,,Unknown
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,Unknown
1,14,14,14,14,14,14,14,14,14,14,14,14,14,,Unknown
14,14,14,14,14,3,14,14,14,4,14,1,2,14,,Unknown
5,3,11,1,14,7,2,13,12,4,9,6,10,8,,Unknown
12,9,13,4,14,3,6,10,7,11,2,1,8,5,,Unknown
12,6,13,1,14,7,5,10,11,9,8,2,4,3,,Unknown
9,2,13,1,14,7,14,14,14,8,12,5,14,3,,Unknown
5,2,10,1,11,12,13,14,4,8,7,7,6,9,,Unknown
13,7,11,3,12,2,6,14,9,8,10,1,5,4,,Unknown
13,5,9,1,14,12,14,14,14,14,14,11,14,6,,Unknown
6,1,11,2,14,7,13,8,9,3,12,4,5,10,,Unknown
12,10,13,2,7,8,9,14,6,11,1,3,4,5,,Unknown
9,4,11,10,7,5,6,14,1,8,13,2,3,12,,Unknown
13,5,13,13,13,14,5,13,13,13,13,5,1,5,,Unknown
9,10,14,1,14,3,2,8,5,6,14,7,4,14,,Unknown
9,3,13,1,14,10,11,12,7,8,6,2,5,4,,Unknown
1,14,14,14,14,14,14,14,14,14,14,14,14,14,,Unknown
7,8,12,1,14,6,3,13,9,5,11,2,10,4,,Unknown
