rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
10,10,12,2,6,5,9,10,11,14,3,1,8,7,4,17,13,17.0,1.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
10,7,Skipped,12,1,2,Skipped,5,6,11,Skipped,1,9,4,3,8,Skipped,,
7,4,8,9,6,10,17,3,11,12,13,1,17,2,5,12,15,,
17,2,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
6,3,17,2,4,17,17,17,17,7,17,5,17,1,17,17,17,,
11,9,Skipped,4,3,5,17,Skipped,4,7,6,4,6,1,2,Skipped,3,,
10,8,17,12,3,13,7,2,6,15,11,1,14,4,5,9,16,,
4,17,17,17,3,17,17,2,17,6,17,1,17,5,17,17,17,,
17,2,3,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
9,1,17,17,17,2,3,17,17,7,17,17,5,17,4,8,6,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
14,3,17,13,8,5,9,7,6,12,10,1,15,4,2,16,11,,
17,3,Skipped,Skipped,5,2,15,7,9,11,1,6,10,Skipped,12,8,4,,
4,17,15,9,6,11,14,8,16,1,3,2,12,7,10,13,5,,
10,5,17,13,7,5,4,3,12,9,11,1,17,2,8,17,14,,
4,1,Skipped,Skipped,5,2,9,7,Skipped,8,Skipped,3,Skipped,6,10,Skipped,Skipped,,
13,1,5,4,10,3,5,14,17,10,12,2,5,9,16,17,16,,
7,17,17,2,9,17,5,8,17,17,10,6,17,1,3,Skipped,4,,
7,9,Skipped,4,2,Skipped,8,1,Skipped,Skipped,10,1,Skipped,3,6,Skipped,Skipped,,
9,2,13,8,3,1,7,4,14,10,12,6,11,5,17,16,15,,
17,1,17,7,17,4,6,8,5,2,17,3,17,17,17,17,17,,
4,1,6,2,Skipped,3,Skipped,9,13,14,10,5,8,7,12,Skipped,11,,
7,1,12,8,4,2,10,11,14,6,17,3,13,5,11,17,15,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,3,17,17,17,17,17,2,17,1,17,,
9,1,17,4,7,5,17,3,8,10,17,2,17,6,17,17,17,,
5,4,17,17,17,17,17,2,17,17,17,1,17,3,6,17,17,,
8,1,3,7,6,4,5,5,17,17,17,2,17,9,10,17,17,,
7,1,13,8,17,1,11,3,5,6,17,1,10,4,12,17,9,,
6,11,13,8,5,9,4,2,10,7,16,1,12,3,17,15,14,,
17,17,17,5,7,6,15,4,17,8,17,1,17,2,16,17,17,,
8,9,Skipped,Skipped,4,Skipped,Skipped,7,1,Skipped,Skipped,3,Skipped,2,5,6,Skipped,,
17,1,3,17,17,2,17,17,17,17,17,17,17,17,17,17,17,,
17,2,4,17,17,1,17,17,17,17,17,17,3,17,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
9,1,6,17,3,2,17,4,17,7,17,5,17,8,17,17,17,,
15,17,15,15,2,15,15,3,15,15,15,1,15,4,15,16,15,,
5,1,12,15,6,2,4,3,14,5,17,2,13,4,16,17,5,,
7,1,3,15,11,2,6,9,10,17,16,4,8,5,14,12,13,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
11,1,8,10,5,6,9,4,14,13,13,2,16,3,7,17,16,,
12,1,2,5,13,3,8,4,9,7,17,6,11,10,16,15,14,,
8,1,14,10,6,2,4,5,14,9,16,3,14,7,15,17,14,,
4,1,10,16,3,8,7,14,11,9,17,2,13,5,6,12,15,,
17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,,
Skipped,1,Skipped,6,7,2,3,4,Skipped,9,Skipped,4,Skipped,5,Skipped,10,8,,
15,1,2,15,3,6,3,14,12,11,13,9,8,10,15,17,14,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,,
4,1,10,12,5,2,9,14,17,3,13,8,11,7,15,16,6,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,1,17,4,17,17,17,17,17,17,17,17,3,17,2,,
17,1,17,4,7,2,17,17,17,5,17,3,17,6,17,17,17,,
8,4,Skipped,7,9,10,Skipped,1,15,6,12,2,14,3,5,13,11,,
6,9,Skipped,7,4,11,15,1,10,8,12,1,Skipped,5,3,14,13,,
9,11,17,4,6,13,15,2,12,10,8,7,17,1,14,5,3,,
17,1,17,17,17,2,17,17,17,17,17,17,17,17,17,17,17,,
9,10,Skipped,Skipped,14,5,15,3,2,13,7,1,12,4,6,11,8,,
6,3,17,7,10,4,4,5,8,7,12,1,17,2,9,17,11,,
10,2,16,13,8,4,7,3,6,12,14,1,11,5,8,15,17,,
6,1,4,13,10,2,3,9,15,8,11,5,16,7,14,17,12,,
Skipped,1,Skipped,7,3,2,Skipped,6,8,Skipped,Skipped,4,Skipped,5,9,Skipped,Skipped,,
10,8,13,11,7,9,5,4,6,16,14,1,17,2,3,12,15,,
12,10,12,8,11,7,5,3,4,12,12,1,12,9,2,6,12,,
1,14,14,14,13,15,14,14,11,14,2,17,14,16,12,14,14,,
