rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
9,18,10,12,8,11,17,16,4,20,15,7,14,6,13,3,1,2,19,5,20.0,1.0
8,18,12,11,9,10,17,15,4,20,14,7,13,5,16,3,2,1,19,6,,
8,18,13,9,11,10,16,17,6,20,14,5,12,4,15,3,1,2,19,7,,
8,17,9,11,6,10,15,14,3,19,13,4,12,7,16,5,2,1,18,7,,
6,17,12,11,9,10,17,15,5,17,14,3,13,8,16,4,2,1,20,7,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,,
8,17,14,10,9,11,15,16,7,20,13,3,12,4,19,5,1,2,18,6,,
10,19,13,11,4,9,16,17,7,20,14,3,12,5,15,6,1,2,18,8,,
9,20,13,11,7,10,19,16,4,18,14,8,12,5,15,3,2,1,17,6,,
11,18,14,7,1,10,17,16,6,20,12,5,13,8,15,4,2,3,19,9,,
7,20,8,10,5,9,20,20,3,20,20,4,20,5,20,4,2,1,20,7,,
9,17,12,11,8,10,18,16,4,19,14,7,13,6,15,3,2,1,20,5,,
12,18,9,11,7,10,17,15,3,20,14,6,13,8,16,5,2,1,19,4,,
9,16,12,10,8,11,19,17,4,20,13,6,15,5,18,7,7,2,3,1,,
9,18,11,10,5,12,14,15,4,16,13,3,13,7,17,6,2,1,19,8,,
6,18,12,11,9,10,17,15,3,19,14,7,13,8,16,4,2,1,20,5,,
7,17,13,8,10,11,18,16,4,20,12,3,14,9,15,6,2,1,19,5,,
7,6,11,19,20,19,19,12,1,19,11,11,6,11,19,11,2,19,19,19,,
8,18,12,11,9,10,17,15,5,20,13,3,14,7,16,4,2,1,19,6,,
4,17,12,10,8,11,20,15,9,18,13,3,19,9,14,5,2,1,16,6,,
3,19,12,11,9,10,17,16,6,18,13,8,15,5,14,4,2,1,20,7,,
8,19,12,11,9,10,17,16,7,20,15,3,13,6,14,4,2,1,18,5,,
8,18,12,11,9,10,19,16,7,20,14,3,13,5,15,4,2,1,17,6,,
9,17,11,10,6,13,18,16,4,20,15,5,14,7,12,3,1,2,19,8,,
8,18,11,10,9,12,19,16,4,20,15,5,14,6,13,3,2,1,17,7,,
8,17,13,10,9,11,18,16,5,20,15,3,14,6,12,4,2,1,19,7,,
8,17,11,10,9,20,18,16,3,12,15,7,13,5,14,4,2,1,20,6,,
7,19,11,10,6,12,18,16,9,20,15,4,14,5,13,3,2,1,17,8,,
9,19,12,11,8,10,17,16,6,20,15,4,14,7,13,3,1,2,18,5,,
8,18,9,11,5,16,19,17,6,13,15,3,14,7,12,4,2,1,20,10,,
9,20,13,11,8,10,15,19,6,18,14,5,12,7,16,3,2,1,17,4,,
5,16,9,8,7,10,15,12,5,17,10,3,11,7,13,4,2,1,14,6,,
9,18,11,10,8,12,17,16,3,20,13,7,14,5,15,6,2,1,19,4,,
9,19,12,11,8,10,18,15,5,20,14,4,13,7,16,3,2,1,17,6,,
4,18,11,12,9,10,17,16,7,20,15,6,14,5,13,3,1,2,19,8,,
7,19,12,10,9,11,20,16,4,18,15,5,15,8,13,3,2,1,17,6,,
9,17,11,10,5,13,18,16,6,20,15,4,12,8,14,2,1,3,19,7,,
11,17,14,10,9,8,19,15,4,18,12,6,13,5,16,3,2,1,20,7,,
8,18,12,10,9,11,19,16,3,20,14,5,13,7,15,4,2,1,17,6,,
