rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,Num Cands,Num Seats
7,13,16,9,11,10,8,4,15,14,18,1,3,5,12,6,17,2,18.0,Unknown
18,18,18,1,3,18,18,18,18,18,18,18,18,18,18,18,18,2,,Unknown
1,18,18,18,18,18,2,3,18,18,18,18,18,18,18,18,18,18,,Unknown
18,18,18,18,18,1,18,2,18,18,18,18,18,18,18,18,18,3,,Unknown
18,18,18,18,3,2,18,1,18,18,18,18,18,18,18,18,18,18,,Unknown
1,17,14,9,5,2,3,4,11,16,18,8,7,12,13,10,15,6,,Unknown
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,,Unknown
1,5,18,18,18,18,18,18,18,18,18,2,6,4,18,3,18,18,,Unknown
18,18,18,18,1,18,3,18,18,18,18,2,18,18,4,18,18,18,,Unknown
18,2,18,18,4,6,18,18,8,18,18,1,18,5,18,7,18,3,,Unknown
18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,2,3,,Unknown
18,18,18,18,3,18,18,1,18,18,18,18,18,2,18,18,18,18,,Unknown
18,18,4,18,18,3,18,18,18,18,18,18,18,2,18,18,18,1,,Unknown
18,18,18,18,18,18,18,1,18,18,18,18,2,18,18,18,18,3,,Unknown
1,18,18,18,18,18,2,3,18,18,18,18,18,18,18,18,18,18,,Unknown
1,18,18,18,18,18,18,18,18,18,18,3,18,18,18,18,18,2,,Unknown
1,10,14,12,5,11,9,4,18,3,17,6,2,7,15,16,13,8,,Unknown
18,18,18,18,1,4,18,2,18,18,18,18,18,18,18,18,18,3,,Unknown
3,5,18,18,1,6,18,4,10,18,18,8,18,18,18,18,18,2,,Unknown
6,11,18,14,5,3,2,8,17,15,12,10,4,1,16,7,13,9,,Unknown
18,18,18,5,1,3,18,2,18,18,18,4,18,18,18,18,18,18,,Unknown
6,10,14,9,1,2,7,4,13,8,16,12,3,11,15,17,18,5,,Unknown
8,15,12,10,1,11,9,2,17,14,16,4,13,6,5,7,18,3,,Unknown
18,18,18,18,18,3,18,1,18,18,18,18,18,2,18,18,18,18,,Unknown
18,18,18,18,18,1,18,3,18,18,18,18,18,2,18,18,18,18,,Unknown
17,17,17,14,17,17,17,16,18,17,17,17,17,1,15,2,17,1,,Unknown
18,18,18,2,18,18,1,18,18,18,18,18,18,3,18,18,18,18,,Unknown
18,18,18,5,1,4,18,18,18,18,18,2,18,18,6,18,18,3,,Unknown
18,18,18,3,18,18,18,18,18,18,18,2,18,18,18,18,18,1,,Unknown
9,16,1,7,2,15,5,4,18,10,8,6,13,11,3,14,17,12,,Unknown
10,9,14,15,3,4,7,1,12,11,16,17,8,6,18,5,13,2,,Unknown
2,18,18,18,18,18,3,18,18,18,18,1,18,18,18,18,18,18,,Unknown
