rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
1,16,12,1,1,1,3,1,1,15,2,1,1,4,13,10,16.0,1.0
16,16,14,16,16,16,16,16,1,13,15,16,2,16,16,16,,
3,5,2,9,12,7,8,14,6,9,4,11,1,13,15,16,,
1,10,12,15,11,13,8,9,3,5,4,2,6,14,16,7,,
15,16,15,15,15,2,15,15,3,15,15,15,1,15,15,15,,
4,9,3,1,14,5,16,6,7,15,13,12,10,2,11,8,,
1,15,4,2,14,10,7,9,6,5,12,13,3,11,16,8,,
1,16,10,6,12,3,14,9,15,2,13,5,4,11,8,7,,
16,16,16,16,16,4,16,16,16,16,16,2,1,3,16,16,,
11,1,1,14,10,13,16,9,5,1,1,7,12,8,6,15,,
2,6,11,4,7,1,15,14,12,10,8,3,13,5,9,16,,
16,16,1,4,16,2,16,16,2,16,16,16,3,16,3,16,,
16,2,16,16,16,16,16,16,3,16,1,16,16,4,16,16,,
3,13,2,14,7,9,16,6,1,4,5,12,10,11,8,15,,
9,2,5,12,10,14,13,11,8,6,15,4,1,7,3,16,,
4,9,13,2,12,10,16,7,3,8,14,1,5,6,11,15,,
11,1,8,2,16,14,15,4,13,7,9,3,12,6,10,5,,
10,1,13,14,16,3,10,10,10,12,2,11,4,10,10,15,,
8,1,2,11,4,15,13,7,6,10,3,5,14,9,12,16,,
1,16,11,6,13,3,10,9,8,14,15,4,12,2,7,5,,
13,2,1,9,11,14,8,12,15,4,3,5,16,6,7,10,,
16,1,1,6,16,16,16,7,16,3,5,4,16,16,16,8,,
3,8,11,10,5,15,13,4,1,2,12,6,14,7,9,16,,
9,8,2,13,15,4,16,10,7,1,12,5,3,11,6,14,,
1,3,9,7,14,4,16,10,2,13,15,12,8,5,11,6,,
15,16,2,15,15,15,15,15,15,15,15,15,15,15,15,1,,
3,16,5,8,14,1,15,6,12,10,13,11,2,7,4,9,,
16,2,11,11,16,10,8,3,4,9,12,11,5,6,1,7,,
1,16,3,16,16,16,16,16,16,4,16,16,2,16,16,16,,
1,10,2,12,16,11,15,6,4,3,14,5,7,8,9,13,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,,
16,2,16,16,16,16,16,16,1,3,16,16,16,16,16,16,,
16,3,16,16,16,16,16,2,16,16,1,16,2,16,16,1,,
3,2,16,7,15,11,8,13,4,1,12,5,14,10,6,9,,
2,16,13,5,7,1,14,4,15,10,12,11,3,7,7,5,,
8,14,6,5,11,16,15,1,3,4,10,7,12,2,13,9,,
3,16,15,4,3,3,15,4,15,4,2,15,3,4,4,1,,
16,3,8,11,6,2,15,1,12,5,4,14,9,13,7,10,,
1,9,15,10,11,12,14,5,3,13,4,7,6,2,8,16,,
2,6,3,5,7,4,7,16,16,16,16,16,1,16,16,16,,
4,2,1,13,12,10,15,11,16,3,8,7,5,9,6,14,,
8,2,3,16,11,7,12,10,4,13,14,1,9,5,6,15,,
4,1,3,14,7,8,13,2,16,6,12,5,15,10,9,11,,
5,16,16,10,3,6,7,2,16,1,16,8,4,16,9,16,,
2,16,4,6,16,3,16,1,16,16,16,16,5,16,16,7,,
10,4,1,14,2,12,8,5,4,3,7,9,11,13,6,15,,
8,16,15,2,6,3,14,7,12,9,11,5,4,13,10,1,,
3,1,6,12,16,8,15,7,5,10,11,4,2,9,14,13,,
9,7,1,11,15,13,16,3,4,8,14,10,2,6,5,12,,
8,10,12,3,9,1,11,11,11,16,6,5,2,4,16,7,,
16,4,3,5,16,16,16,16,16,1,16,2,16,16,16,16,,
2,6,7,10,12,16,13,3,9,5,4,11,1,15,8,14,,
11,15,16,9,5,10,4,8,1,14,7,2,13,3,6,12,,
4,16,16,16,2,16,16,5,16,16,3,1,16,16,16,16,,
8,1,3,15,14,2,13,11,9,12,7,6,4,5,10,16,,
16,1,3,4,16,16,5,16,2,16,16,16,16,16,16,16,,
6,1,3,12,11,9,16,7,4,2,5,8,10,15,14,13,,
9,8,15,2,7,3,11,4,12,16,6,10,13,5,14,1,,
2,16,4,16,16,16,16,16,3,16,16,16,1,16,16,16,,
2,1,16,10,12,3,4,9,6,7,14,11,13,5,8,15,,
6,1,8,9,14,15,7,11,3,4,13,5,16,10,12,2,,
16,16,16,16,16,16,4,16,5,2,3,16,1,16,16,16,,
5,9,6,13,16,15,3,11,7,12,10,1,2,8,4,14,,
