rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,Num Cands,Num Seats
2,11,11,7,4,9,5,1,10,11,6,8,3,13.0,1.0
1,3,11,13,7,8,6,12,10,4,5,2,9,,
3,11,12,2,4,10,8,5,9,1,7,6,13,,
10,4,8,9,2,7,12,6,5,3,1,11,13,,
3,2,1,10,4,3,10,11,7,6,5,9,8,,
1,10,5,13,3,4,13,13,12,1,2,11,12,,
2,4,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
1,2,3,13,10,6,5,12,9,4,7,11,8,,
2,7,3,12,6,10,13,11,8,9,5,1,4,,
2,6,9,11,4,12,1,1,13,7,7,1,10,,
Skipped,3,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,,
6,13,7,11,12,10,1,3,4,9,8,5,2,,
2,Skipped,Skipped,5,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,1,,
2,Skipped,Skipped,Skipped,4,5,4,8,3,6,7,9,1,,
3,8,1,13,7,4,10,6,12,5,9,2,11,,
1,2,6,Skipped,Skipped,7,5,10,13,3,4,9,12,,
2,9,8,13,10,3,5,6,12,4,7,1,11,,
13,13,13,13,13,13,13,13,13,1,1,13,13,,
4,3,12,10,7,6,2,11,13,5,8,9,1,,
1,3,2,13,3,1,10,1,5,12,5,11,5,,
2,4,4,1,4,4,1,2,1,3,4,3,2,,
2,4,1,10,10,7,6,9,5,6,10,8,3,,
10,11,12,6,7,13,1,2,3,2,13,5,4,,
5,10,3,1,12,8,2,9,13,4,6,11,7,,
1,8,7,5,6,11,9,3,12,2,4,10,13,,
2,8,1,7,13,9,12,4,6,10,5,11,3,,
1,12,10,9,8,13,2,7,6,5,11,4,3,,
11,9,10,Skipped,7,5,4,2,13,3,6,1,8,,
2,6,7,5,13,13,1,2,13,13,13,4,13,,
1,4,5,4,4,5,1,3,2,3,5,3,2,,
6,5,4,6,2,6,2,4,3,4,1,4,3,,
2,7,8,Skipped,Skipped,11,9,4,3,6,1,10,5,,
1,13,13,13,2,4,1,2,13,1,4,2,13,,
3,7,5,7,7,4,1,7,7,2,7,7,6,,
4,13,13,13,13,2,13,1,13,13,13,13,3,,
2,10,9,12,7,11,1,2,6,5,8,4,3,,
7,4,5,10,8,9,2,3,10,10,10,1,6,,
1,13,13,13,13,13,2,13,2,2,13,13,13,,
4,3,6,Skipped,2,11,13,13,13,1,5,13,12,,
1,12,4,11,5,13,4,11,11,3,3,3,2,,
13,13,13,13,13,13,13,13,13,13,13,1,13,,
5,3,1,8,7,3,6,4,13,3,4,4,5,,
