rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,Num Cands,Num Seats
1,19,11,2,14,8,17,18,4,7,16,13,3,12,15,5,10,9,6,19.0,1.0
7,13,12,17,1,11,17,2,14,6,17,5,3,18,10,8,9,19,4,,
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,
5,12,3,10,9,14,17,1,7,6,15,2,16,11,11,13,4,8,12,,
2,12,11,9,10,19,17,15,1,5,16,14,6,7,3,8,13,4,18,,
7,Skipped,1,4,Skipped,Skipped,Skipped,2,Skipped,Skipped,6,Skipped,3,7,5,Skipped,Skipped,Skipped,Skipped,,
1,19,3,19,19,19,19,5,6,2,19,4,19,19,19,19,8,19,7,,
4,9,18,18,1,18,18,19,18,3,18,2,5,6,8,7,18,18,18,,
4,9,2,6,17,11,16,3,1,8,15,5,19,13,14,12,7,18,10,,
1,8,6,11,17,15,16,2,4,7,9,3,19,18,5,13,10,12,14,,
1,8,16,15,12,18,5,2,19,10,11,3,17,13,14,4,10,7,6,,
3,Skipped,4,Skipped,15,Skipped,6,1,7,14,11,2,8,Skipped,12,9,10,13,5,,
19,19,19,19,19,19,19,19,19,19,19,19,1,19,19,19,19,19,19,,
6,19,5,19,19,19,19,2,19,19,19,1,19,19,7,19,4,19,19,,
6,17,5,12,7,2,15,1,8,18,9,3,13,19,11,10,14,16,4,,
1,13,4,14,5,19,15,2,16,7,19,3,10,19,9,8,12,6,11,,
2,19,1,19,5,19,19,4,6,2,4,4,2,4,19,19,5,19,19,,
3,15,10,8,1,15,15,15,7,2,19,5,4,19,9,6,15,19,15,,
1,16,4,5,8,19,18,11,14,3,12,2,6,13,7,15,9,17,10,,
1,12,2,6,18,15,4,16,10,11,9,5,14,17,7,19,13,8,3,,
3,19,19,19,19,19,19,1,19,19,19,1,19,19,19,2,19,19,19,,
19,19,19,19,19,19,2,19,19,19,19,19,19,19,19,19,19,19,1,,
1,19,7,12,2,11,16,14,4,6,13,15,18,8,3,17,10,5,9,,
1,11,6,3,4,13,14,9,12,17,8,2,18,15,7,19,5,10,16,,
1,17,4,4,3,6,19,4,16,2,5,3,18,16,4,16,2,15,17,,
1,9,7,6,14,12,15,5,4,2,16,10,3,17,8,19,13,11,18,,
2,11,9,6,18,17,10,1,5,4,14,7,16,19,3,13,15,8,12,,
