rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
19,14,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,23,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,13,Skipped,Skipped,9,22,Skipped,Skipped,26,3,Skipped,20,4,Skipped,Skipped,28,15,Skipped,Skipped,10,8,Skipped,Skipped,29,27,Skipped,Skipped,Skipped,20,25,Skipped,17,31,6,30,Skipped,32,2,Skipped,21,18,11,24,,
15,80,10,80,80,80,80,80,20,80,80,80,80,80,80,80,80,80,80,80,5,18,15,19,80,80,42,80,10,3,63,5,80,80,80,80,80,11,21,80,80,80,80,24,80,80,80,14,80,30,80,80,80,80,42,80,8,5,20,11,13,4,80,80,80,2,80,80,17,80,80,1,80,80,38,80,22,16,25,80,,
80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
10,11,80,5,26,9,80,80,80,23,29,35,80,80,25,80,80,80,80,80,80,23,27,80,80,80,14,12,28,80,31,3,13,80,80,80,80,36,20,34,32,80,30,22,80,24,8,19,80,18,80,80,33,25,24,80,26,6,80,29,80,2,80,80,80,13,24,7,1,80,19,21,80,23,8,80,80,4,6,80,,
Skipped,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,7,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,3,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,8,Skipped,6,2,Skipped,17,Skipped,Skipped,Skipped,5,4,Skipped,8,Skipped,Skipped,,
80,80,80,24,80,80,80,79,80,19,80,80,21,80,80,80,80,80,80,80,80,80,80,80,80,80,80,22,80,80,80,12,80,80,80,80,26,78,16,80,80,80,80,80,20,26,13,9,80,80,80,80,80,6,11,80,8,4,80,18,80,7,78,14,80,3,15,80,2,80,80,23,80,5,17,80,80,10,1,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,24,41,Skipped,Skipped,8,Skipped,Skipped,19,13,30,Skipped,Skipped,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,27,39,35,26,25,28,Skipped,Skipped,9,40,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,33,Skipped,Skipped,Skipped,34,Skipped,15,31,17,Skipped,18,Skipped,21,29,22,16,Skipped,11,5,32,Skipped,Skipped,2,23,Skipped,Skipped,1,14,Skipped,4,Skipped,12,10,Skipped,Skipped,6,36,Skipped,3,7,Skipped,,
80,6,55,66,23,80,80,61,80,5,35,80,80,80,68,80,80,80,80,80,80,44,35,47,33,80,54,9,80,80,80,10,30,65,80,80,80,80,40,8,80,80,40,40,80,17,78,2,80,14,80,66,80,50,7,80,62,3,80,20,80,78,80,80,80,1,70,80,14,63,63,39,80,80,80,80,80,16,4,80,,
62,48,64,70,30,30,31,39,64,28,24,28,5,73,22,15,50,48,1,78,53,17,58,51,59,61,45,47,54,77,38,14,49,58,16,69,18,67,50,19,66,29,44,8,74,21,9,37,23,25,56,51,10,13,4,79,52,2,67,55,40,80,58,26,77,27,11,60,40,7,58,3,75,12,79,63,37,6,20,57,,
36,33,57,50,77,21,49,4,54,20,72,42,12,67,26,58,62,6,32,14,39,35,64,53,27,75,43,25,47,55,3,52,41,63,71,76,18,68,24,59,3,73,23,51,45,46,2,13,9,79,60,56,44,78,40,61,11,1,65,31,74,7,22,69,30,17,15,38,8,16,28,37,66,5,19,70,48,10,34,29,,
12,4,Skipped,6,10,9,Skipped,Skipped,8,5,9,Skipped,20,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,11,Skipped,19,Skipped,3,11,2,7,11,3,7,Skipped,Skipped,Skipped,Skipped,Skipped,8,14,9,Skipped,2,4,12,8,5,3,13,1,Skipped,9,9,10,17,Skipped,11,1,18,10,5,5,19,16,Skipped,1,11,2,1,5,6,5,Skipped,3,1,Skipped,10,2,2,Skipped,,
80,80,80,80,80,80,80,80,80,9,80,80,80,80,80,80,80,18,80,80,80,80,80,80,80,80,80,6,80,80,16,1,20,80,80,80,80,80,80,80,80,80,19,17,80,11,15,7,22,4,80,80,80,80,80,80,3,21,80,80,80,80,80,80,80,5,80,14,10,80,80,8,80,12,80,80,80,13,2,80,,
80,80,80,80,80,10,80,80,80,9,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,4,80,80,3,80,80,80,80,8,1,80,80,7,2,80,,
22,47,41,53,63,33,65,40,51,28,23,45,32,79,44,64,66,61,42,76,18,37,52,49,36,78,30,43,24,60,20,26,57,80,39,77,73,71,15,58,62,35,27,69,56,19,13,16,17,11,74,38,12,6,59,48,14,3,54,34,9,72,68,31,55,2,8,25,5,50,29,21,75,4,1,67,70,7,10,46,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,,
29,18,Skipped,Skipped,34,31,Skipped,Skipped,Skipped,30,52,40,51,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,26,27,Skipped,Skipped,38,Skipped,33,28,32,Skipped,13,41,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,36,42,9,19,14,Skipped,Skipped,23,16,8,5,17,Skipped,Skipped,20,21,51,Skipped,35,2,Skipped,24,4,22,39,56,Skipped,6,12,11,7,55,37,Skipped,Skipped,3,1,Skipped,Skipped,10,25,Skipped,,
Skipped,27,37,22,33,14,34,Skipped,31,Skipped,5,29,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,18,24,Skipped,Skipped,39,Skipped,10,26,8,Skipped,Skipped,11,Skipped,Skipped,35,Skipped,Skipped,Skipped,1,9,Skipped,Skipped,32,36,Skipped,25,13,21,Skipped,Skipped,Skipped,Skipped,19,15,7,Skipped,Skipped,6,Skipped,Skipped,Skipped,16,30,Skipped,Skipped,4,12,20,3,28,38,23,Skipped,Skipped,2,Skipped,Skipped,Skipped,17,Skipped,,
80,80,80,80,80,80,80,80,80,8,80,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,1,80,80,4,80,80,80,80,80,80,80,3,80,80,2,80,80,80,80,80,1,80,80,4,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,6,80,9,2,80,80,80,3,80,80,80,4,80,80,5,8,80,80,80,1,80,80,7,80,80,80,,
80,80,80,80,5,80,80,80,80,80,2,80,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,7,80,6,10,80,80,80,80,80,80,80,1,8,80,80,80,80,80,80,11,80,80,80,4,80,80,80,80,80,80,80,80,80,80,,
42,13,25,53,30,4,68,59,80,54,60,9,80,80,57,38,33,80,44,24,80,20,28,56,80,69,17,19,50,40,23,34,14,59,11,80,80,26,10,44,12,44,18,15,64,45,41,80,36,61,65,37,44,3,80,27,55,66,66,6,29,16,39,61,44,2,8,22,32,59,35,31,80,5,1,62,44,7,21,63,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,7,80,80,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,80,80,12,80,80,80,80,80,80,8,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,11,80,80,80,3,80,9,1,80,80,80,80,80,2,80,80,4,80,80,,
72,64,55,69,27,30,49,34,47,12,21,50,13,73,48,78,61,20,43,41,24,16,51,33,66,54,29,68,32,71,18,2,63,65,58,76,40,75,57,42,44,8,17,28,37,22,39,70,4,9,59,36,10,6,15,77,14,1,74,35,7,80,56,38,46,11,25,3,19,23,53,52,67,5,26,79,45,60,62,31,,
46,9,17,40,35,21,63,41,11,27,65,32,80,80,80,51,65,80,45,54,49,34,50,14,80,65,36,28,7,44,37,2,39,65,53,80,80,55,31,18,25,60,52,16,65,26,38,8,15,23,63,12,33,5,10,19,42,24,65,59,48,58,56,65,57,4,30,13,20,65,22,6,43,47,1,65,59,3,29,63,,
80,8,80,80,80,4,80,80,80,80,80,10,80,80,80,80,80,80,18,80,80,80,80,80,80,80,80,12,80,80,80,80,14,80,80,80,80,20,19,80,15,17,13,11,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,3,80,1,6,80,9,80,2,80,80,80,80,80,80,80,80,80,16,80,7,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,25,80,80,80,80,80,80,80,2,80,80,18,80,80,80,80,45,12,80,80,80,80,80,7,80,49,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,22,80,80,30,80,21,80,6,19,80,80,80,80,80,80,80,80,80,80,80,15,55,80,80,8,10,80,80,5,20,40,,
5,4,7,4,4,6,6,7,6,3,9,6,5,Skipped,4,6,Skipped,4,4,6,6,3,5,6,4,Skipped,4,3,3,5,5,3,4,Skipped,9,Skipped,7,8,5,7,4,5,4,5,5,3,3,3,5,4,4,Skipped,4,3,5,5,3,2,7,4,4,3,Skipped,4,5,1,4,3,1,4,5,4,7,2,2,Skipped,6,2,2,6,,
80,80,80,80,80,8,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,2,4,80,80,80,9,80,80,80,5,80,80,3,80,80,80,80,80,7,80,80,6,7,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,29,80,80,80,80,80,80,80,80,5,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,26,80,80,80,80,80,80,1,80,80,30,80,80,4,80,80,25,80,80,12,80,80,,
4,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,5,80,80,80,80,80,80,80,80,7,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,4,3,80,80,80,80,80,80,80,80,2,80,80,,
50,58,68,20,11,17,70,66,69,24,69,71,75,70,70,78,79,51,77,70,60,70,58,16,74,61,9,10,19,72,50,64,18,80,60,73,73,60,27,80,60,80,70,70,7,70,46,8,68,23,65,63,59,6,64,60,14,20,62,25,12,26,69,65,76,1,4,5,2,75,60,22,74,15,3,67,70,21,13,72,,
80,12,9,80,80,27,80,80,80,11,80,22,2,80,80,25,80,80,14,21,80,80,80,80,15,80,16,7,23,80,80,13,80,80,6,80,80,24,24,1,26,80,80,10,80,4,80,80,80,80,80,80,80,8,80,80,20,80,80,18,80,3,24,80,24,80,5,80,80,80,80,80,80,80,19,80,80,80,17,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,14,13,Skipped,10,4,Skipped,1,3,Skipped,Skipped,Skipped,Skipped,20,Skipped,17,2,Skipped,Skipped,8,16,Skipped,Skipped,Skipped,19,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,9,5,Skipped,Skipped,18,15,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,1,80,80,80,80,80,80,80,7,80,80,3,80,2,80,80,6,4,80,80,80,80,80,,
Skipped,34,38,10,25,30,Skipped,Skipped,Skipped,23,80,24,46,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,9,Skipped,15,Skipped,Skipped,40,35,7,Skipped,Skipped,1,11,Skipped,Skipped,Skipped,Skipped,Skipped,36,45,41,Skipped,42,19,Skipped,16,17,Skipped,18,37,Skipped,Skipped,3,22,31,Skipped,14,2,Skipped,29,Skipped,39,33,43,Skipped,5,8,12,4,20,Skipped,32,Skipped,27,6,Skipped,44,26,21,28,,
80,80,80,80,80,80,80,80,80,8,80,80,13,80,80,80,80,80,7,80,80,22,80,80,80,80,80,80,80,80,80,21,80,80,80,80,19,80,80,29,15,80,20,80,80,80,11,4,80,10,80,80,80,18,80,80,12,1,80,80,16,80,80,14,80,3,5,80,17,9,80,80,80,2,6,80,26,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
57,21,31,44,46,9,26,69,2,73,60,7,42,68,73,8,63,76,12,13,4,43,45,52,67,38,28,21,40,64,33,48,25,56,6,3,80,17,50,21,16,22,23,29,65,10,54,62,55,61,30,58,28,5,74,37,11,70,32,15,39,35,12,58,41,71,27,49,47,55,44,53,80,80,51,24,1,70,21,36,,
80,31,80,80,16,10,80,80,72,6,80,70,80,49,23,80,13,80,60,80,80,80,1,80,80,80,3,80,80,10,80,80,13,80,80,80,80,65,80,80,80,80,80,23,80,69,80,16,80,15,80,80,80,80,79,80,5,1,10,8,80,7,10,80,80,1,20,80,1,80,20,80,80,80,1,80,80,11,1,80,,
13,Skipped,Skipped,Skipped,18,21,Skipped,Skipped,Skipped,26,5,29,Skipped,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,3,8,Skipped,Skipped,32,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,28,30,Skipped,21,Skipped,Skipped,Skipped,7,Skipped,Skipped,25,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,17,Skipped,Skipped,10,9,16,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,31,Skipped,Skipped,14,27,22,4,15,19,11,Skipped,Skipped,6,24,Skipped,20,Skipped,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
21,29,80,24,35,30,80,80,80,13,18,80,32,80,80,80,80,80,28,80,80,16,48,80,80,80,20,37,80,80,80,22,19,80,80,80,80,80,26,15,31,80,80,80,23,17,6,12,80,10,80,38,34,9,80,80,11,3,80,27,80,33,80,80,80,1,25,14,4,80,80,36,80,8,2,80,80,5,7,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
76,48,57,50,7,37,18,45,69,59,25,28,10,77,70,19,52,56,14,43,58,6,53,47,73,53,44,16,41,74,49,21,38,79,15,75,61,33,27,40,36,42,35,39,69,71,26,67,72,69,80,64,9,2,65,78,5,22,69,34,30,8,17,11,31,24,1,12,13,3,60,20,55,23,29,51,32,62,4,46,,
80,80,23,80,80,80,80,80,80,14,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,25,22,80,80,6,80,80,Skipped,80,16,80,80,80,80,24,8,80,80,80,11,80,80,13,80,80,80,18,4,80,15,2,80,80,3,7,80,80,80,3,2,19,5,21,80,9,80,1,20,80,80,12,17,10,,
4,20,35,42,9,7,Skipped,Skipped,12,13,31,33,Skipped,Skipped,27,32,Skipped,Skipped,Skipped,Skipped,21,11,Skipped,42,29,Skipped,24,38,19,30,41,6,41,Skipped,34,Skipped,Skipped,35,10,Skipped,10,Skipped,25,20,23,16,9,26,40,18,Skipped,Skipped,22,14,Skipped,Skipped,28,17,Skipped,37,11,Skipped,36,Skipped,Skipped,1,15,8,3,39,Skipped,20,Skipped,Skipped,1,Skipped,Skipped,5,20,Skipped,,
Skipped,Skipped,Skipped,Skipped,14,72,Skipped,Skipped,Skipped,18,Skipped,Skipped,68,Skipped,57,Skipped,Skipped,69,11,Skipped,Skipped,17,Skipped,Skipped,70,Skipped,71,23,Skipped,Skipped,Skipped,10,53,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,33,Skipped,29,40,Skipped,79,7,13,26,11,Skipped,Skipped,20,Skipped,9,Skipped,18,1,Skipped,47,66,63,Skipped,33,Skipped,2,3,Skipped,5,Skipped,Skipped,Skipped,Skipped,6,15,Skipped,45,8,4,53,,
80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,Skipped,Skipped,Skipped,27,18,26,Skipped,Skipped,4,Skipped,Skipped,10,Skipped,12,Skipped,Skipped,13,6,17,80,24,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,25,3,21,Skipped,Skipped,Skipped,11,Skipped,Skipped,Skipped,20,Skipped,16,Skipped,Skipped,29,8,15,28,9,Skipped,Skipped,22,3,10,Skipped,5,2,Skipped,Skipped,6,19,Skipped,3,Skipped,7,4,8,8,14,Skipped,23,Skipped,1,12,Skipped,Skipped,10,7,15,,
80,13,80,80,80,80,80,80,80,18,80,80,80,80,80,80,80,80,80,80,80,80,11,80,80,80,16,12,80,80,80,7,80,80,80,80,80,80,80,80,80,80,20,8,80,80,80,4,80,17,80,80,80,19,1,80,80,10,80,80,80,14,80,80,80,2,15,80,6,80,80,9,80,80,5,80,80,80,3,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,7,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,80,80,80,80,1,6,80,80,5,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,8,80,80,80,80,80,80,,
Skipped,Skipped,11,40,23,18,Skipped,Skipped,Skipped,10,49,Skipped,21,Skipped,28,Skipped,Skipped,47,Skipped,Skipped,34,27,37,25,Skipped,Skipped,Skipped,Skipped,48,36,41,26,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,38,Skipped,6,Skipped,8,15,Skipped,33,29,32,20,13,Skipped,39,14,30,17,Skipped,Skipped,24,Skipped,35,7,31,Skipped,Skipped,Skipped,9,4,16,3,12,Skipped,22,Skipped,5,2,Skipped,42,1,19,Skipped,,
25,64,69,72,21,36,80,59,64,26,55,73,63,54,73,80,78,62,41,Skipped,69,76,59,33,64,79,68,49,53,62,71,28,64,77,77,71,70,43,62,70,80,Skipped,75,39,14,44,45,1,69,63,66,69,73,3,52,78,33,16,59,62,77,57,37,69,54,4,6,27,27,63,67,12,56,67,16,68,75,34,80,39,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,11,2,80,80,80,80,9,6,80,80,5,7,80,80,80,80,80,80,80,9,80,8,1,80,80,80,80,1,8,80,80,80,3,80,,
63,25,18,21,72,5,68,70,69,10,79,38,50,66,30,35,62,53,36,34,73,57,61,16,17,67,16,15,32,71,58,7,44,47,37,51,74,39,42,48,55,56,77,23,65,12,9,6,13,11,60,76,45,27,20,46,22,4,75,43,8,78,40,64,41,1,26,31,2,28,19,24,52,49,29,59,33,3,14,54,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,4,80,80,8,6,80,80,80,2,80,80,80,3,80,80,80,80,80,1,80,80,80,80,80,80,9,80,80,80,7,80,,
27,21,Skipped,39,7,14,Skipped,Skipped,Skipped,Skipped,20,19,31,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,77,17,18,Skipped,Skipped,Skipped,28,6,Skipped,Skipped,25,36,Skipped,Skipped,12,Skipped,Skipped,40,9,Skipped,Skipped,Skipped,33,Skipped,Skipped,16,13,Skipped,Skipped,30,Skipped,Skipped,23,5,37,Skipped,Skipped,15,34,24,Skipped,38,41,Skipped,Skipped,3,8,26,2,10,29,32,Skipped,22,1,Skipped,35,11,4,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,25,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,20,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,6,40,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,9,8,Skipped,Skipped,1,Skipped,Skipped,3,Skipped,Skipped,Skipped,14,Skipped,,
4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,48,Skipped,57,54,Skipped,14,Skipped,67,Skipped,Skipped,76,40,Skipped,6,74,66,Skipped,Skipped,Skipped,50,58,56,Skipped,14,6,Skipped,Skipped,28,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,24,52,Skipped,3,63,63,13,11,Skipped,32,31,9,80,Skipped,59,6,Skipped,Skipped,7,47,37,4,52,9,18,63,6,15,73,69,10,62,6,Skipped,18,15,14,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,,
80,80,4,80,23,80,80,80,80,80,80,21,1,80,80,80,80,80,80,80,17,13,80,27,80,80,80,11,80,80,80,80,22,80,80,80,80,80,80,5,6,80,7,80,80,80,19,18,80,28,80,80,12,80,80,80,16,2,80,80,9,10,80,15,80,80,20,80,25,26,24,80,80,8,3,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,13,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,11,80,80,80,4,80,80,80,80,80,12,7,80,80,8,80,16,80,3,80,80,80,2,14,80,80,80,80,9,80,80,80,80,80,6,15,80,,
5,80,80,8,80,80,80,80,80,80,1,80,80,80,80,52,80,80,80,80,9,80,80,80,80,80,80,80,80,80,80,80,80,80,11,80,80,80,12,80,80,80,80,80,10,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,4,80,80,80,80,80,80,2,14,7,80,80,80,3,6,80,15,4,80,,
