rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
Skipped,2,4,Skipped,Skipped,Skipped,Skipped,3,1,9.0,1.0
1,7,9,9,8,8,6,9,2,,
6,1,7,4,8,9,2,5,3,,
6,8,3,2,1,4,9,5,7,,
9,7,2,4,8,6,1,5,3,,
5,Skipped,Skipped,4,Skipped,2,Skipped,3,1,,
5,8,3,6,1,2,9,4,7,,
2,9,1,3,4,6,7,5,8,,
4,1,1,Skipped,2,Skipped,Skipped,3,Skipped,,
4,Skipped,8,3,7,5,9,1,2,,
Skipped,Skipped,1,3,Skipped,4,Skipped,2,Skipped,,
6,8,1,4,7,9,3,2,5,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,,
3,2,Skipped,6,7,5,1,4,Skipped,,
4,5,9,1,7,3,6,2,8,,
9,9,9,9,1,9,9,9,9,,
2,2,1,6,5,9,3,2,1,,
4,2,7,6,8,9,1,3,5,,
5,8,1,3,2,7,9,4,6,,
2,3,4,7,1,8,9,6,5,,
4,3,5,8,9,6,2,7,1,,
3,7,2,4,8,5,1,Skipped,6,,
6,Skipped,5,4,3,1,Skipped,2,7,,
Skipped,2,Skipped,1,Skipped,Skipped,Skipped,3,Skipped,,
Skipped,2,1,5,6,Skipped,3,Skipped,4,,
6,2,8,5,1,7,9,4,3,,
3,1,6,5,4,5,7,5,2,,
4,3,8,7,9,5,2,6,1,,
Skipped,3,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,,
Skipped,Skipped,2,Skipped,Skipped,3,Skipped,Skipped,1,,
7,3,9,6,8,4,1,5,2,,
5,6,2,3,9,4,7,1,8,,
Skipped,4,1,Skipped,3,Skipped,2,Skipped,Skipped,,
7,6,1,5,2,8,3,4,9,,
2,7,8,4,9,1,7,3,5,,
7,1,6,3,8,5,9,2,4,,
2,6,8,4,9,5,7,1,3,,
3,5,6,4,1,2,8,7,9,,
3,9,7,4,5,6,8,2,1,,
Skipped,Skipped,Skipped,Skipped,3,Skipped,2,Skipped,1,,
2,8,4,5,6,1,7,3,9,,
3,8,2,5,4,7,9,6,1,,
2,Skipped,2,3,Skipped,Skipped,Skipped,3,1,,
3,1,9,7,2,6,4,8,5,,
3,Skipped,2,Skipped,1,Skipped,Skipped,4,Skipped,,
2,8,1,3,7,5,6,4,9,,
