rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,Num Cands,Num Seats
2,2,6,8,3,5,7,4,8.0,Unknown
5,8,8,3,7,2,4,6,,Unknown
3,1,8,8,2,8,8,8,,Unknown
2,4,5,1,8,7,3,6,,Unknown
5,2,8,8,1,4,6,7,,Unknown
3,8,6,2,5,4,1,8,,Unknown
3,1,2,6,4,8,5,7,,Unknown
6,1,2,8,4,3,5,7,,Unknown
2,1,5,7,4,6,8,3,,Unknown
4,8,6,5,7,1,3,2,,Unknown
5,1,6,8,3,7,4,2,,Unknown
8,8,8,7,1,8,8,8,,Unknown
7,2,3,8,4,5,6,1,,Unknown
4,5,1,7,6,2,8,3,,Unknown
8,1,2,8,7,4,8,3,,Unknown
1,7,6,3,8,4,2,5,,Unknown
2,7,4,1,8,5,3,6,,Unknown
2,1,5,8,3,6,7,4,,Unknown
2,1,7,3,6,8,4,5,,Unknown
6,1,3,8,5,4,7,2,,Unknown
2,1,7,3,5,8,4,6,,Unknown
1,5,4,2,6,7,3,8,,Unknown
7,3,2,1,8,4,5,6,,Unknown
1,7,4,2,8,6,3,5,,Unknown
5,2,4,7,1,8,6,3,,Unknown
2,7,4,1,8,5,3,6,,Unknown
2,8,1,3,6,7,4,5,,Unknown
1,7,4,3,8,6,2,5,,Unknown
3,2,6,7,1,5,8,4,,Unknown
1,4,6,2,8,7,3,5,,Unknown
5,1,3,7,4,6,8,2,,Unknown
4,8,2,8,8,3,5,1,,Unknown
4,1,2,7,5,8,3,6,,Unknown
1,5,6,2,7,4,3,8,,Unknown
2,7,4,1,8,5,3,6,,Unknown
7,1,5,6,8,4,3,2,,Unknown
1,8,4,3,5,6,2,7,,Unknown
4,5,4,3,8,2,6,1,,Unknown
1,4,7,2,5,8,3,6,,Unknown
8,8,1,7,7,2,6,3,,Unknown
8,2,3,5,7,4,6,1,,Unknown
5,6,2,1,8,4,7,3,,Unknown
8,1,2,7,6,3,5,4,,Unknown
2,7,4,1,8,5,3,6,,Unknown
4,1,2,7,5,6,8,3,,Unknown
