rank1,rank2,rank3,rank4,rank5,rank6,Num Cands,Num Seats
2,4,1,3,5,6,,Unknown
3,5,2,4,1,6,,Unknown
1,6,2,4,6,3,,Unknown
2,1,5,4,6,3,,Unknown
4,3,1,6,2,6,,Unknown
6,3,6,1,2,6,,Unknown
2,6,3,6,4,1,,Unknown
2,6,1,6,6,6,,Unknown
6,6,1,3,2,6,,Unknown
6,6,6,1,6,2,,Unknown
6,6,6,1,6,6,,Unknown
6,1,5,2,3,4,,Unknown
6,1,6,2,3,6,,Unknown
2,2,1,2,2,6,,Unknown
3,6,1,4,6,2,,Unknown
6,2,1,4,3,6,,Unknown
6,3,5,2,1,4,,Unknown
