rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
26,26,26,26,26,26,6,26,26,26,5,26,26,26,26,26,26,26,26,3,26,26,4,26,1,26,26.0,1.0
12,20,23,14,26,9,10,22,15,24,4,16,6,19,21,7,3,13,18,11,17,25,8,5,1,2,,
26,23,21,24,19,13,8,16,22,20,8,4,25,2,6,9,16,5,19,10,11,16,16,3,1,12,,
Skipped,7,10,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,4,Skipped,Skipped,2,11,Skipped,3,Skipped,Skipped,5,12,Skipped,6,Skipped,1,9,,
13,22,19,Skipped,15,4,6,Skipped,24,Skipped,5,17,18,7,23,9,3,10,21,2,16,20,14,12,1,11,,
Skipped,19,20,Skipped,26,22,20,Skipped,2,21,9,Skipped,16,19,23,20,26,Skipped,23,5,Skipped,Skipped,24,10,1,10,,
26,26,26,26,26,26,26,26,26,26,26,26,26,2,26,26,26,26,26,26,26,26,26,26,1,26,,
26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,12,26,26,26,26,26,26,2,26,11,26,26,8,26,26,26,26,26,26,26,26,5,7,26,10,,
17,13,5,24,24,12,11,17,24,17,6,18,3,10,4,20,17,24,19,19,7,1,26,9,25,8,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,2,26,,
Skipped,Skipped,26,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,4,Skipped,Skipped,Skipped,26,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,1,,
17,16,9,23,25,12,2,5,26,11,15,21,13,7,24,20,14,22,6,10,19,8,3,4,1,18,,
25,12,1,25,6,19,21,25,7,3,22,25,10,13,15,24,25,25,25,9,8,4,26,2,5,20,,
17,22,18,9,19,4,2,25,26,24,7,6,20,21,14,8,3,16,15,5,10,23,13,12,1,11,,
21,18,7,25,5,20,9,22,26,15,11,13,16,10,8,19,6,4,23,24,3,17,14,12,1,2,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,3,7,26,26,26,16,26,26,6,5,26,26,8,9,12,26,26,26,26,26,26,26,11,1,2,,
5,16,9,Skipped,14,Skipped,8,Skipped,26,10,2,12,Skipped,13,11,Skipped,3,Skipped,Skipped,6,Skipped,Skipped,4,15,1,7,,
26,8,3,26,7,26,6,26,26,13,12,26,4,20,5,26,9,26,26,26,26,15,26,1,14,2,,
Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,3,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,2,Skipped,1,3,,
18,5,1,23,17,18,6,7,26,13,10,23,1,16,10,8,19,23,14,24,15,9,25,1,1,8,,
26,4,6,26,16,26,26,26,8,9,14,26,2,26,17,26,11,26,10,15,5,13,12,1,7,3,,
21,5,2,15,9,21,12,21,16,6,10,24,1,21,8,17,21,25,14,13,26,3,11,7,23,4,,
