rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,Num Cands,Num Seats
4,27,25,1,4,2,24,12,26,10,3,25,1,2,27,25,26,13,2,2,12,13,3,2,27,1,2,27.0,1.0
27,7,27,3,27,6,27,9,8,27,5,8,6,6,27,10,27,27,27,2,27,11,1,8,12,4,7,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
19,22,27,4,16,9,8,18,11,20,15,24,3,14,21,25,12,6,10,7,17,24,13,2,24,1,5,,
27,1,27,2,27,6,4,27,4,4,1,7,2,1,27,27,27,27,27,3,27,1,1,2,1,3,3,,
20,20,10,10,23,1,24,16,6,24,20,27,1,6,16,10,19,18,10,6,10,10,6,1,24,1,1,,
27,2,27,16,27,13,27,5,6,27,9,15,3,4,14,12,27,27,11,7,8,17,4,5,1,10,27,,
11,22,27,4,21,6,12,13,7,17,8,21,2,4,15,27,16,18,20,14,22,19,5,10,18,1,3,,
2,3,4,2,9,2,7,10,2,8,3,3,1,3,2,4,5,5,4,2,6,3,3,1,3,1,2,,
27,27,27,1,2,27,3,27,27,27,27,27,2,27,27,27,27,27,2,3,27,27,27,2,27,2,1,,
27,27,27,2,2,9,27,27,6,10,27,27,2,27,27,11,14,4,5,8,27,27,27,27,27,7,5,,
27,3,20,15,23,19,22,16,24,17,12,9,13,2,10,7,26,25,18,5,21,14,1,4,11,6,8,,
21,24,24,8,17,5,10,11,13,22,15,25,3,6,9,18,19,12,16,7,20,21,14,4,23,2,1,,
8,1,1,1,4,3,12,1,3,25,13,13,26,1,14,1,26,27,14,2,3,1,1,1,1,20,4,,
7,25,24,14,11,16,21,15,18,22,19,26,3,10,17,12,20,9,5,4,13,23,8,1,27,2,6,,
16,19,25,5,7,22,18,17,9,24,11,15,1,13,26,14,8,2,6,27,23,21,10,3,20,12,4,,
16,25,27,4,17,10,19,15,20,18,12,26,6,14,13,11,9,22,5,7,21,24,8,1,23,2,3,,
5,26,27,1,2,4,1,3,2,1,4,26,2,3,26,27,2,4,3,3,4,4,3,2,26,4,2,,
22,27,27,8,21,4,8,18,4,20,6,11,3,5,10,27,15,20,12,16,13,2,1,7,27,3,3,,
19,7,26,12,13,14,18,23,21,16,6,9,1,4,17,25,22,20,11,15,24,27,5,2,8,1,10,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,3,2,27,27,1,27,27,27,,
