rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,Num Cands,Num Seats
2,22,13,14,9,3,6,27,31,15,25,29,30,35,16,21,23,12,5,26,24,8,28,19,10,17,33,7,20,32,4,11,18,1,34,35.0,1.0
4,12,11,8,13,7,3,35,35,10,35,35,35,35,17,14,16,35,5,35,35,35,35,35,15,35,35,2,35,35,6,9,35,1,35,,
5,23,9,15,19,8,2,30,26,25,19,20,34,35,22,34,14,10,11,17,27,18,12,33,16,34,35,1,24,27,6,7,13,3,32,,
4,35,19,9,11,8,1,35,35,14,17,35,35,35,35,18,35,10,5,35,35,13,35,16,10,35,20,6,15,35,2,7,21,3,35,,
4,2,10,33,16,9,3,32,27,14,18,24,34,34,25,20,21,14,7,19,23,15,13,18,11,29,30,5,21,35,6,7,31,1,34,,
12,7,35,35,35,3,4,35,35,35,8,11,35,35,35,35,9,35,5,35,10,6,35,5,35,35,35,3,35,35,2,22,35,1,35,,
7,17,6,4,18,5,8,35,19,9,11,35,35,16,35,35,14,12,3,35,35,15,35,35,20,35,35,2,35,35,10,13,35,1,35,,
3,5,15,11,20,7,6,33,32,14,16,23,21,30,17,26,27,10,13,24,22,12,25,35,4,18,31,2,28,29,8,9,19,1,35,,
10,35,8,4,12,2,19,18,35,35,3,17,35,35,35,35,14,16,5,35,20,9,35,35,13,35,35,11,35,35,6,1,7,15,35,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,,
3,17,5,19,12,35,6,17,35,10,35,17,35,35,1,17,35,13,10,35,35,35,35,12,20,35,35,2,10,35,7,11,10,35,17,,
2,35,8,17,16,15,4,35,35,11,35,22,35,21,35,35,18,10,20,35,13,12,23,6,19,35,14,5,25,24,7,1,9,3,35,,
2,35,8,35,14,10,2,35,13,18,7,35,35,35,12,35,17,12,9,35,35,35,35,35,15,35,35,2,16,35,5,6,19,1,35,,
1,35,10,35,18,35,5,12,35,11,35,35,20,9,35,35,35,14,35,35,7,15,35,6,17,35,19,4,35,35,8,2,13,3,16,,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,,
5,15,5,5,10,2,1,20,20,10,15,15,20,20,10,15,10,5,4,20,20,10,15,10,10,20,15,3,15,15,1,4,10,2,15,,
35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,
5,1,7,7,35,11,2,35,35,9,35,35,35,35,8,12,35,13,8,35,35,35,35,35,35,35,35,3,35,35,7,6,35,1,35,,
33,31,20,1,10,7,8,34,26,20,28,29,30,30,23,27,12,21,20,24,28,20,22,4,2,24,11,6,25,24,9,35,3,5,32,,
