Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
MUN Ballot Style 2,246,Portland Absentee,"Haefele, Joshua W.","Viola, Lou A.","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,247,Portland Absentee,"Haefele, Joshua W.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,250,Portland Absentee,"Goglin, Barbara E.","Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,1,5
MUN Ballot Style 2,253,Portland Absentee,"Viola, Lou A.","Goglin, Barbara E.","Brydon, Sarah M.","Capone-Newton, Elizabeth","Haefele, Joshua W.",1,5
MUN Ballot Style 2,255,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,260,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,267,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,269,Portland Absentee,"Brydon, Sarah M.","Viola, Lou A.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,274,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,277,Portland Absentee,"Haefele, Joshua W.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,288,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,289,Portland Absentee,"Capone-Newton, Elizabeth","Brydon, Sarah M.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,290,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,293,Portland Absentee,"Brydon, Sarah M.","Goglin, Barbara E.",skipped,skipped,skipped,1,5
MUN Ballot Style 2,296,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.",skipped,skipped,1,5
MUN Ballot Style 2,304,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth","Goglin, Barbara E.","Viola, Lou A.","Haefele, Joshua W.",1,5
MUN Ballot Style 2,323,Portland Absentee,"Brydon, Sarah M.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,325,Portland Absentee,"Capone-Newton, Elizabeth",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,331,Portland Absentee,"Goglin, Barbara E.","Capone-Newton, Elizabeth","Viola, Lou A.",skipped,skipped,1,5
MUN Ballot Style 2,335,Portland Absentee,"Brydon, Sarah M.",skipped,skipped,skipped,skipped,1,5
MUN Ballot Style 2,349,Portland Absentee,"Haefele, Joshua W.","Capone-Newton, Elizabeth",skipped,skipped,skipped,1,5
MUN Ballot Style 2,351,Portland Absentee,"Viola, Lou A.","Haefele, Joshua W.","Capone-Newton, Elizabeth","Goglin, Barbara E.",skipped,1,5
