"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"10","4","2","1","3","6","5","skipped","skipped","skipped","10.0","1.0"
"6","10","1","5","3","4","2","7","skipped","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","10","3","7","4","1","9","2","5","nan","nan"
"7","9","10","6","1","8","2","4","3","5","nan","nan"
"10","9","1","2","7","6","5","8","3","4","nan","nan"
"5","4","1","10","3","2","skipped","skipped","skipped","skipped","nan","nan"
"2","5","3","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","6","7","2","10","3","9","5","8","nan","nan"
"10","8","7","2","4","3","5","6","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","2","10","1","7","9","3","4","6","nan","nan"
"10","4","1","2","5","3","skipped","skipped","skipped","skipped","nan","nan"
"8","10","5","9","7","4","1","6","2","3","nan","nan"
"1","5","7","10","9","6","8","4","3","2","nan","nan"
"5","7","4","8","6","9","2","10","1","3","nan","nan"
"8","7","6","1","4","10","2","9","5","3","nan","nan"
"8","5","1","3","6","4","7","9","10","2","nan","nan"
"10","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","5","10","1","4","8","2","6","7","3","nan","nan"
"3","7","5","4","1","9","6","10","2","8","nan","nan"
"3","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","8","7","1","9","2","3","10","4","nan","nan"
"5","9","1","3","7","2","6","10","8","4","nan","nan"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","2","5","3","6","skipped","skipped","skipped","skipped","nan","nan"
"6","8","3","7","10","9","5","4","1","2","nan","nan"
"10","5","3","2","1","6","4","7","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","10","2","1","4","skipped","skipped","skipped","skipped","nan","nan"
