"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"11","3","8","1","6","7","5","10","9","4","12","2","12.0","1.0"
"5","2","12","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","5","6","4","10","11","8","7","2","12","1","nan","nan"
"9","2","7","6","1","4","5","10","12","8","11","3","nan","nan"
"12","1","7","9","5","3","8","10","6","11","4","skipped","nan","nan"
"10","4","7","11","2","9","1","8","6","12","3","5","nan","nan"
"10","5","3","6","4","7","8","2","9","1","skipped","skipped","nan","nan"
"6","4","9","8","5","10","3","12","7","2","11","1","nan","nan"
"8","6","12","11","7","5","10","9","skipped","skipped","skipped","skipped","nan","nan"
"12","2","7","1","4","6","11","8","9","3","10","5","nan","nan"
"5","4","6","3","2","9","8","11","12","7","10","1","nan","nan"
"12","4","10","1","9","3","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","7","11","4","1","5","6","9","10","8","2","nan","nan"
"7","2","10","8","5","9","1","6","4","12","3","skipped","nan","nan"
"11","4","7","2","3","12","5","10","9","6","8","1","nan","nan"
"12","5","7","2","3","10","8","11","4","6","9","1","nan","nan"
"11","1","9","6","2","8","4","7","10","5","12","3","nan","nan"
"5","4","7","8","2","10","11","1","6","9","12","3","nan","nan"
"6","8","7","12","3","10","1","4","2","9","11","5","nan","nan"
"2","5","10","12","7","1","3","4","9","11","8","6","nan","nan"
"4","1","10","11","2","12","9","7","8","5","6","3","nan","nan"
"12","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","3","11","1","5","4","12","9","2","10","8","nan","nan"
"8","3","2","9","10","11","4","6","5","12","1","skipped","nan","nan"
"6","3","8","9","7","10","1","11","5","4","12","2","nan","nan"
"3","9","10","8","5","1","6","7","12","2","11","4","nan","nan"
"4","2","9","5","3","8","6","10","11","7","12","1","nan","nan"
"6","3","10","5","4","12","2","8","9","11","7","1","nan","nan"
"12","4","8","10","3","1","2","11","7","9","5","6","nan","nan"
"10","1","8","5","3","11","6","4","7","9","12","2","nan","nan"
"4","2","12","6","7","3","1","5","skipped","skipped","skipped","skipped","nan","nan"
"11","5","12","6","1","2","3","9","10","8","7","4","nan","nan"
"4","3","6","11","2","9","8","5","7","12","1","skipped","nan","nan"
"8","2","9","5","1","11","7","10","6","3","12","4","nan","nan"
"3","2","9","5","8","10","11","1","7","4","12","6","nan","nan"
"6","2","9","4","7","11","5","8","10","3","12","1","nan","nan"
"12","2","7","6","8","4","1","3","9","5","skipped","skipped","nan","nan"
"11","7","8","1","6","10","9","5","3","12","2","skipped","nan","nan"
"6","4","12","1","3","7","5","8","9","2","skipped","skipped","nan","nan"
"12","7","1","5","6","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","10","3","8","9","2","7","1","4","12","5","nan","nan"
"7","11","5","8","4","10","3","9","6","2","12","1","nan","nan"
"9","2","11","8","1","6","3","4","10","7","12","5","nan","nan"
"10","4","8","1","7","12","6","2","5","11","3","skipped","nan","nan"
"10","3","6","1","4","9","11","8","7","5","12","2","nan","nan"
"12","2","4","7","1","10","8","9","5","6","11","3","nan","nan"
"8","1","12","9","2","6","3","7","10","11","4","5","nan","nan"
"5","2","12","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","12","7","5","2","1","9","10","6","3","4","nan","nan"
"3","2","12","11","1","5","6","8","10","9","7","4","nan","nan"
"5","2","8","4","3","11","6","9","10","7","12","1","nan","nan"
"10","2","5","7","3","11","8","9","6","4","12","1","nan","nan"
"12","2","4","3","1","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","5","7","1","12","9","2","8","6","10","3","nan","nan"
"9","4","8","6","3","10","11","1","7","5","12","2","nan","nan"
"10","4","11","12","6","2","1","9","7","8","3","5","nan","nan"
"10","6","4","3","1","11","8","7","9","5","12","2","nan","nan"
"9","12","10","1","11","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","12","9","7","3","4","2","8","11","6","5","nan","nan"
"7","2","9","11","1","3","6","4","8","10","12","5","nan","nan"
"1","3","11","9","8","5","4","6","10","12","7","2","nan","nan"
"11","2","10","9","3","12","1","5","7","6","4","skipped","nan","nan"
"3","1","8","6","4","11","5","2","10","7","12","9","nan","nan"
"5","3","12","9","7","1","8","10","4","2","skipped","skipped","nan","nan"
"2","3","7","11","6","9","4","1","5","10","12","8","nan","nan"
"2","1","8","10","5","4","11","3","12","7","9","6","nan","nan"
"6","1","12","3","5","4","7","2","skipped","skipped","skipped","skipped","nan","nan"
"7","2","10","12","8","9","3","11","5","6","4","1","nan","nan"
"12","3","4","7","5","6","1","2","skipped","skipped","skipped","skipped","nan","nan"
"9","6","10","3","4","7","1","12","5","11","8","2","nan","nan"
"7","1","9","11","2","8","4","6","10","5","12","3","nan","nan"
"10","5","8","9","2","11","3","1","7","6","12","4","nan","nan"
"12","2","11","5","4","1","3","10","skipped","skipped","skipped","skipped","nan","nan"
"3","1","7","12","2","11","6","5","10","4","skipped","skipped","nan","nan"
"5","4","10","9","3","6","2","8","12","7","11","1","nan","nan"
"3","2","11","8","1","4","9","12","7","10","skipped","skipped","nan","nan"
"11","2","10","8","1","6","5","9","4","7","12","3","nan","nan"
"8","6","3","1","7","9","5","12","2","4","10","skipped","nan","nan"
"4","5","11","8","1","12","2","6","10","9","3","7","nan","nan"
"6","1","7","5","2","11","10","9","3","8","12","4","nan","nan"
"5","2","12","10","1","4","6","3","8","9","11","7","nan","nan"
"4","1","12","11","2","7","5","6","9","8","10","3","nan","nan"
"6","4","12","9","5","2","1","7","8","3","10","skipped","nan","nan"
"9","2","6","10","1","11","5","8","7","4","12","3","nan","nan"
"9","2","6","5","4","11","8","10","7","3","12","1","nan","nan"
"3","9","12","1","5","4","7","11","8","6","10","skipped","nan","nan"
"8","7","12","3","2","1","5","6","4","skipped","skipped","skipped","nan","nan"
"11","2","12","8","3","5","4","10","7","6","9","1","nan","nan"
