"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"1","4","8","6","7","3","2","9","5","9.0","1.0"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","8","2","3","1","9","7","5","nan","nan"
"3","9","4","5","2","1","6","skipped","skipped","nan","nan"
"3","9","5","4","1","2","6","8","7","nan","nan"
"1","7","3","4","2","5","8","6","9","nan","nan"
"5","8","9","2","3","6","4","skipped","skipped","nan","nan"
"9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","1","6","5","3","2","8","7","nan","nan"
"1","6","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","4","6","5","2","9","3","8","nan","nan"
"1","8","3","4","2","5","7","6","9","nan","nan"
"5","4","2","8","6","1","7","3","9","nan","nan"
"5","9","1","4","6","2","7","8","3","nan","nan"
"4","9","7","1","2","3","5","8","6","nan","nan"
"4","8","3","5","2","7","6","9","1","nan","nan"
"1","8","2","5","3","6","9","7","4","nan","nan"
"3","6","4","7","2","5","1","8","9","nan","nan"
"3","4","2","8","1","7","5","6","9","nan","nan"
"8","7","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","2","5","1","4","7","9","3","nan","nan"
"1","5","3","2","4","6","9","7","8","nan","nan"
"1","9","4","5","6","7","2","3","skipped","nan","nan"
"1","9","2","7","5","3","4","8","6","nan","nan"
"1","5","3","4","2","6","7","9","8","nan","nan"
"6","9","2","3","1","4","5","skipped","skipped","nan","nan"
"4","9","5","1","2","3","7","8","6","nan","nan"
"2","9","1","6","4","3","8","7","5","nan","nan"
"3","9","5","4","1","2","8","7","6","nan","nan"
"4","3","2","1","5","9","skipped","skipped","skipped","nan","nan"
"5","8","9","4","3","6","1","7","skipped","nan","nan"
"1","9","2","7","4","3","8","6","5","nan","nan"
"2","9","1","3","4","8","6","7","5","nan","nan"
"4","9","1","5","3","8","6","2","7","nan","nan"
"1","5","2","3","6","7","4","9","8","nan","nan"
"5","7","2","4","3","6","8","9","1","nan","nan"
"4","9","5","1","2","3","6","skipped","skipped","nan","nan"
"6","3","7","5","1","9","8","2","4","nan","nan"
"4","9","2","1","6","3","5","7","skipped","nan","nan"
"2","4","1","8","7","3","6","5","9","nan","nan"
"4","9","1","2","3","5","8","6","7","nan","nan"
"1","7","2","5","4","8","6","9","3","nan","nan"
"2","4","5","3","1","skipped","skipped","skipped","skipped","nan","nan"
"1","8","2","7","3","5","9","4","6","nan","nan"
"4","8","2","7","6","3","9","1","5","nan","nan"
"9","6","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
