"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","rank29","Num Cands","Num Seats"
"13","7","2","9","3","8","14","29","11","6","4","5","16","10","17","1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","29.0","1.0"
"17","5","27","21","28","10","24","7","25","9","1","2","18","14","3","16","20","23","15","11","13","4","8","26","22","6","19","12","skipped","nan","nan"
"9","10","7","22","5","12","6","26","29","11","4","2","21","1","20","16","27","15","8","25","28","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","11","9","10","25","5","8","23","20","12","1","7","22","13","16","18","15","14","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","7","6","5","4","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","10","8","3","15","7","6","4","9","5","11","2","13","16","1","12","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","8","3","9","2","7","4","5","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","14","10","21","4","20","7","29","26","28","9","1","8","22","5","3","6","27","11","19","25","12","17","2","23","16","13","18","24","nan","nan"
"29","9","11","2","12","7","20","4","3","8","13","5","6","19","15","14","1","18","10","16","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","8","4","23","1","5","27","6","2","10","18","3","9","14","24","26","21","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","20","3","10","2","4","17","14","12","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","4","3","5","1","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","12","10","27","3","11","5","29","20","28","7","4","15","16","6","9","2","18","17","21","26","22","13","1","23","8","14","19","25","nan","nan"
"29","10","6","1","4","11","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","15","21","7","8","16","23","9","2","5","17","4","18","3","22","14","19","13","1","20","12","10","11","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","10","3","4","7","6","2","8","16","9","5","13","11","1","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","14","6","20","1","18","12","21","8","4","7","19","5","13","3","11","15","16","2","9","17","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","13","7","16","2","8","6","4","5","9","12","3","11","14","17","1","15","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","18","17","7","8","5","2","15","13","1","9","4","19","11","10","6","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","15","4","14","5","11","6","20","3","9","17","12","10","16","13","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","7","4","6","3","8","5","2","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","6","2","8","5","4","7","10","1","9","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","15","8","16","3","13","5","22","19","21","2","4","17","1","28","12","14","11","18","24","23","7","6","20","29","9","25","skipped","skipped","nan","nan"
"29","5","2","1","4","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","10","6","12","4","3","7","9","5","2","14","8","15","11","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","6","9","2","10","8","4","7","5","3","11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","6","29","3","9","1","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","11","12","25","1","19","8","28","27","26","6","4","7","17","5","18","3","20","13","23","29","15","16","2","21","9","10","14","22","nan","nan"
"18","5","13","16","3","22","14","24","28","29","11","7","10","6","27","8","1","21","26","15","25","12","9","4","17","19","23","20","skipped","nan","nan"
"29","8","17","6","18","7","3","5","10","11","4","2","14","12","13","16","1","15","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","6","8","2","7","3","12","14","11","4","13","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","16","8","15","3","29","2","20","4","19","13","9","17","5","10","28","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","13","10","20","3","18","9","25","24","28","7","2","6","16","5","19","4","21","12","27","29","15","22","1","17","8","14","11","23","nan","nan"
