"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","Num Cands","Num Seats"
"10","5","11","9","2","1","4","8","12","13","6","7","3","13.0","1.0"
"7","9","10","12","3","1","6","13","11","skipped","skipped","skipped","skipped","nan","nan"
"11","3","5","12","7","1","8","6","9","13","10","4","2","nan","nan"
"9","11","3","13","7","5","4","8","12","10","6","skipped","skipped","nan","nan"
"8","11","5","12","7","1","6","10","3","13","9","4","2","nan","nan"
"2","1","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","4","3","7","10","6","9","8","2","1","skipped","skipped","skipped","nan","nan"
"13","2","5","1","4","6","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","10","4","7","3","1","11","5","13","6","8","2","skipped","nan","nan"
"7","5","13","10","1","9","4","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","4","3","13","1","9","12","6","5","2","skipped","skipped","nan","nan"
"12","4","6","2","5","1","13","7","3","8","skipped","skipped","skipped","nan","nan"
"6","3","4","1","5","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","3","12","6","4","5","1","11","13","7","9","2","nan","nan"
"11","6","7","12","1","3","8","13","5","4","2","skipped","skipped","nan","nan"
"2","13","6","11","5","3","4","1","10","skipped","skipped","skipped","skipped","nan","nan"
"12","3","1","7","4","6","13","5","2","skipped","skipped","skipped","skipped","nan","nan"
"5","4","2","3","6","8","13","7","1","skipped","skipped","skipped","skipped","nan","nan"
"12","6","2","8","5","1","7","3","13","4","skipped","skipped","skipped","nan","nan"
"10","5","1","4","2","3","11","13","12","skipped","skipped","skipped","skipped","nan","nan"
"11","9","5","12","6","3","10","4","7","13","8","2","1","nan","nan"
"12","1","2","4","13","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","1","13","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","3","13","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","7","1","6","2","9","13","4","5","3","skipped","skipped","nan","nan"
"13","11","7","9","3","1","6","5","12","2","8","4","skipped","nan","nan"
"13","3","2","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","6","1","13","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","2","3","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","3","12","6","5","7","8","10","13","2","1","4","nan","nan"
"5","13","3","8","1","6","7","10","4","2","skipped","skipped","skipped","nan","nan"
"13","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","4","5","7","1","6","8","3","2","skipped","skipped","skipped","skipped","nan","nan"
"8","3","7","1","5","6","13","4","2","skipped","skipped","skipped","skipped","nan","nan"
"10","11","5","13","2","7","9","6","3","12","8","4","1","nan","nan"
"2","3","1","4","13","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","13","2","1","4","12","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","3","4","2","6","5","7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","6","4","3","13","5","2","7","skipped","skipped","skipped","skipped","nan","nan"
"13","4","6","7","1","5","8","3","2","skipped","skipped","skipped","skipped","nan","nan"
"2","10","13","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","4","3","2","5","1","7","13","8","10","6","skipped","nan","nan"
"10","8","6","9","5","2","1","7","12","13","4","11","3","nan","nan"
"8","7","4","1","13","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","2","4","12","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","11","6","5","3","2","7","8","13","4","12","1","skipped","nan","nan"
"13","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","5","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","4","8","5","10","6","7","13","3","1","2","skipped","nan","nan"
"12","7","3","13","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","5","3","6","11","2","8","9","13","10","1","skipped","nan","nan"
"4","2","3","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","5","9","8","1","2","4","7","13","12","3","skipped","nan","nan"
"7","4","6","11","5","10","3","9","13","8","2","1","skipped","nan","nan"
"13","6","3","1","2","4","5","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","8","7","6","4","2","11","9","3","13","10","5","1","nan","nan"
"8","9","6","10","2","5","4","3","11","13","1","7","12","nan","nan"
