"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"4","12","3","6","5","8","7","1","2","skipped","skipped","skipped","12.0","1.0"
"7","11","3","9","5","2","6","8","10","4","1","skipped","nan","nan"
"3","12","4","11","2","8","6","1","5","7","skipped","skipped","nan","nan"
"4","12","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","2","4","3","12","5","9","1","7","8","skipped","nan","nan"
"5","12","4","2","3","6","8","7","skipped","skipped","skipped","skipped","nan","nan"
"6","12","2","5","1","7","4","3","skipped","skipped","skipped","skipped","nan","nan"
"4","12","2","9","10","3","8","7","1","11","6","skipped","nan","nan"
"12","7","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","6","2","7","10","8","11","3","4","5","1","nan","nan"
"5","8","2","7","12","3","1","4","6","skipped","skipped","skipped","nan","nan"
"10","11","5","3","4","12","7","2","8","6","9","1","nan","nan"
"9","10","2","4","8","12","11","3","1","6","7","5","nan","nan"
"8","12","1","5","2","10","9","7","4","3","6","skipped","nan","nan"
"4","12","3","9","10","1","6","11","8","2","5","7","nan","nan"
"5","12","8","6","9","4","1","7","2","3","skipped","skipped","nan","nan"
"9","12","2","5","11","1","7","8","3","10","6","4","nan","nan"
"6","12","3","9","2","8","7","11","1","5","10","4","nan","nan"
"1","6","7","3","8","2","9","5","4","skipped","skipped","skipped","nan","nan"
"8","12","4","3","7","6","9","10","5","11","2","1","nan","nan"
"7","12","1","6","5","10","8","2","11","9","3","skipped","nan","nan"
"6","5","4","10","8","9","2","11","12","1","7","3","nan","nan"
"8","12","4","6","3","2","9","1","7","5","skipped","skipped","nan","nan"
"6","12","4","11","8","1","5","9","7","3","2","10","nan","nan"
"1","12","5","3","9","2","7","8","6","4","skipped","skipped","nan","nan"
"4","12","1","7","10","6","5","3","2","skipped","skipped","skipped","nan","nan"
"5","11","1","4","7","12","9","3","8","skipped","skipped","skipped","nan","nan"
"4","5","1","10","7","2","3","11","6","12","9","8","nan","nan"
"8","9","4","7","2","12","5","1","3","6","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","6","8","1","2","4","7","skipped","skipped","skipped","skipped","nan","nan"
"6","10","5","3","11","1","2","9","7","4","8","12","nan","nan"
"5","10","6","12","2","7","3","8","9","4","1","skipped","nan","nan"
"12","1","6","2","5","3","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","3","4","12","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","8","6","7","4","5","3","1","skipped","skipped","skipped","nan","nan"
"7","12","3","2","5","6","11","9","8","4","1","10","nan","nan"
"5","12","2","7","8","4","6","1","3","skipped","skipped","skipped","nan","nan"
"6","10","2","1","7","8","5","3","9","skipped","skipped","skipped","nan","nan"
"4","11","3","6","7","2","10","5","1","9","8","12","nan","nan"
"4","11","3","1","6","2","7","9","8","10","5","skipped","nan","nan"
"10","12","1","6","11","2","9","5","3","8","7","4","nan","nan"
"12","6","4","2","3","5","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","9","4","1","2","3","5","6","skipped","skipped","skipped","nan","nan"
"8","12","4","5","1","6","7","2","9","3","skipped","skipped","nan","nan"
"12","5","1","4","2","3","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","3","11","12","1","6","7","4","9","8","2","nan","nan"
"3","12","1","4","11","5","10","6","7","8","9","2","nan","nan"
"1","6","4","3","5","12","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","12","1","7","9","8","3","10","skipped","skipped","skipped","skipped","nan","nan"
"12","6","2","5","4","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","8","5","12","6","3","2","1","4","skipped","skipped","skipped","nan","nan"
"1","12","3","5","7","4","2","6","skipped","skipped","skipped","skipped","nan","nan"
"1","12","2","3","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","1","2","4","6","3","5","skipped","skipped","skipped","skipped","nan","nan"
"10","9","2","6","7","8","1","5","skipped","skipped","skipped","skipped","nan","nan"
"8","12","2","11","5","6","7","9","3","4","10","1","nan","nan"
"4","7","3","6","2","5","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","2","5","4","3","7","6","1","8","skipped","skipped","nan","nan"
"2","12","7","6","8","1","3","5","4","skipped","skipped","skipped","nan","nan"
"4","12","2","8","10","3","1","9","7","11","skipped","skipped","nan","nan"
"4","12","6","2","7","5","11","10","9","3","1","8","nan","nan"
"5","12","2","10","6","1","9","8","4","3","11","7","nan","nan"
"8","12","3","2","7","6","4","9","5","1","skipped","skipped","nan","nan"
"6","9","12","5","2","1","8","7","4","3","skipped","skipped","nan","nan"
"6","12","4","11","9","1","3","10","5","2","skipped","skipped","nan","nan"
"9","12","4","7","8","1","6","11","5","3","10","2","nan","nan"
"1","11","2","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","12","5","2","8","6","11","10","7","4","1","9","nan","nan"
"1","9","12","6","5","8","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","1","2","8","5","6","9","12","3","7","skipped","nan","nan"
"9","12","8","10","2","5","7","11","1","3","4","skipped","nan","nan"
"2","12","6","8","1","5","3","9","7","10","4","skipped","nan","nan"
"12","1","5","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","9","10","2","3","6","4","5","8","7","skipped","nan","nan"
"7","12","6","2","9","3","11","8","4","10","1","5","nan","nan"
"2","8","7","11","3","1","10","12","5","4","skipped","skipped","nan","nan"
"9","12","3","10","11","4","5","6","1","2","8","7","nan","nan"
"5","12","4","10","8","2","9","11","7","1","3","6","nan","nan"
"7","12","2","6","4","11","1","5","3","skipped","skipped","skipped","nan","nan"
"4","12","2","3","5","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","11","2","10","9","3","1","6","5","8","7","12","nan","nan"
"12","7","3","2","6","1","5","4","skipped","skipped","skipped","skipped","nan","nan"
"9","12","6","8","11","3","4","10","7","2","1","5","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","2","12","10","1","11","7","3","9","5","4","nan","nan"
"8","2","3","4","10","1","9","6","11","7","5","skipped","nan","nan"
"6","12","2","10","5","1","7","11","4","3","8","9","nan","nan"
"6","10","5","9","1","4","3","12","7","11","2","8","nan","nan"
"5","12","1","9","10","4","8","11","3","2","7","6","nan","nan"
"5","12","7","4","6","1","3","8","skipped","skipped","skipped","skipped","nan","nan"
"2","7","3","6","1","5","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","7","3","8","2","9","5","4","skipped","skipped","skipped","nan","nan"
"1","9","12","6","5","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","12","1","4","3","2","7","6","skipped","skipped","skipped","skipped","nan","nan"
"4","12","2","3","8","5","1","10","skipped","skipped","skipped","skipped","nan","nan"
