"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"8","4","7","6","10","2","3","5","9","1","11","12","12.0","1.0"
"12","3","11","8","9","1","7","5","4","2","6","10","nan","nan"
"12","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","10","3","1","11","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","5","7","9","1","3","6","10","2","8","11","nan","nan"
"9","2","5","1","8","3","7","4","6","skipped","skipped","skipped","nan","nan"
"2","10","11","3","9","12","8","1","skipped","skipped","skipped","skipped","nan","nan"
"12","7","11","4","5","3","1","8","6","2","9","10","nan","nan"
"4","7","9","3","12","2","8","5","11","1","6","10","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","3","10","2","4","1","12","skipped","skipped","skipped","skipped","nan","nan"
"4","9","6","2","10","5","8","3","12","1","11","7","nan","nan"
"12","2","6","1","3","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","9","5","10","2","4","8","3","6","7","11","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","8","4","11","1","5","6","7","2","10","9","nan","nan"
"1","5","12","3","8","4","9","11","10","2","skipped","skipped","nan","nan"
"8","2","4","6","7","3","5","1","skipped","skipped","skipped","skipped","nan","nan"
"12","9","10","4","11","1","6","5","3","2","skipped","skipped","nan","nan"
"12","2","5","4","1","3","6","7","skipped","skipped","skipped","skipped","nan","nan"
"7","3","4","1","5","6","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","7","3","11","2","9","4","12","1","8","10","nan","nan"
"11","4","9","6","10","1","5","8","7","2","12","3","nan","nan"
"10","7","11","4","5","2","6","3","12","1","8","9","nan","nan"
"12","3","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","12","3","9","1","8","4","11","7","skipped","skipped","nan","nan"
"9","7","6","3","11","2","4","5","12","1","8","10","nan","nan"
"12","6","7","3","10","2","9","5","8","1","4","skipped","nan","nan"
"12","3","6","11","1","5","4","7","2","9","10","skipped","nan","nan"
"8","11","6","2","4","12","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","7","8","6","3","9","4","5","skipped","skipped","nan","nan"
"2","12","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","10","3","9","5","6","4","12","1","8","skipped","nan","nan"
"12","3","11","5","9","1","8","7","2","10","4","6","nan","nan"
"12","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","10","5","3","11","2","7","6","4","1","8","9","nan","nan"
"10","4","9","2","12","3","6","5","8","1","11","7","nan","nan"
"2","5","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","3","9","4","10","2","6","5","12","1","8","7","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","12","3","4","6","5","1","8","9","skipped","skipped","nan","nan"
"12","11","2","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","12","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","7","5","11","1","2","8","4","6","10","9","nan","nan"
"11","8","5","3","7","6","2","4","12","1","9","10","nan","nan"
"12","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","12","3","11","2","8","5","9","1","10","6","nan","nan"
"2","5","11","3","8","4","10","9","12","1","7","6","nan","nan"
"12","4","8","5","9","1","3","6","7","2","10","11","nan","nan"
"7","6","11","3","10","1","4","5","12","2","9","8","nan","nan"
"12","11","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","7","4","10","1","6","11","5","2","8","12","nan","nan"
"12","3","8","4","10","1","6","5","7","2","9","11","nan","nan"
"12","3","9","6","8","2","4","11","5","1","7","10","nan","nan"
"11","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","10","3","11","2","5","8","4","1","9","7","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","7","3","6","1","5","4","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","9","6","11","2","4","8","5","1","10","12","nan","nan"
"10","2","11","12","1","9","8","4","skipped","skipped","skipped","skipped","nan","nan"
"12","2","7","4","10","1","6","8","11","9","5","3","nan","nan"
"12","3","11","4","6","1","5","10","9","2","8","7","nan","nan"
"12","1","2","6","9","3","8","4","5","7","skipped","skipped","nan","nan"
"4","6","11","5","9","3","7","2","12","1","8","10","nan","nan"
"12","4","3","2","5","7","6","1","skipped","skipped","skipped","skipped","nan","nan"
"12","5","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","7","4","10","2","8","11","1","3","6","9","nan","nan"
"11","6","5","4","12","1","7","3","10","2","8","9","nan","nan"
"9","7","8","3","11","2","4","10","5","1","12","skipped","nan","nan"
"12","3","6","2","4","5","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","10","3","11","1","5","7","12","2","6","9","nan","nan"
"11","2","3","9","12","1","5","8","4","6","7","10","nan","nan"
"4","12","5","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
