"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"8","1","5","4","3","2","7","6","8.0","1.0"
"1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","6","5","1","3","skipped","skipped","nan","nan"
"5","1","8","4","7","3","2","6","nan","nan"
"1","5","4","2","3","skipped","skipped","skipped","nan","nan"
"6","1","7","8","5","2","3","4","nan","nan"
"6","1","5","2","3","skipped","skipped","skipped","nan","nan"
"1","6","4","3","2","5","skipped","skipped","nan","nan"
"7","1","6","8","5","2","4","skipped","nan","nan"
"8","1","7","4","5","3","2","6","nan","nan"
"7","4","8","6","1","2","3","5","nan","nan"
"8","3","2","1","4","skipped","skipped","skipped","nan","nan"
"6","4","7","8","5","1","2","3","nan","nan"
"6","1","7","8","5","3","2","4","nan","nan"
"6","1","7","8","5","3","2","4","nan","nan"
"6","1","8","7","5","2","3","4","nan","nan"
"7","1","6","8","4","2","3","5","nan","nan"
"1","4","2","3","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","2","skipped","skipped","skipped","skipped","nan","nan"
"7","1","6","8","4","3","2","5","nan","nan"
"1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","2","3","4","skipped","skipped","skipped","nan","nan"
"1","5","2","3","4","skipped","skipped","skipped","nan","nan"
"1","5","3","2","4","skipped","skipped","skipped","nan","nan"
"8","3","5","7","4","1","6","2","nan","nan"
"1","7","5","2","3","4","skipped","skipped","nan","nan"
"7","1","2","3","5","4","8","6","nan","nan"
"7","1","4","8","5","2","3","6","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","2","8","skipped","skipped","skipped","skipped","nan","nan"
"7","1","5","8","4","3","2","6","nan","nan"
"7","1","6","8","5","2","3","4","nan","nan"
"1","2","5","3","4","skipped","skipped","skipped","nan","nan"
"5","2","8","4","7","3","1","6","nan","nan"
"1","8","3","2","4","skipped","skipped","skipped","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","1","3","4","skipped","skipped","skipped","nan","nan"
"1","3","2","4","skipped","skipped","skipped","skipped","nan","nan"
"4","1","7","8","3","5","2","6","nan","nan"
"1","3","2","4","skipped","skipped","skipped","skipped","nan","nan"
"6","1","7","5","2","3","4","skipped","nan","nan"
"7","1","6","5","3","4","8","2","nan","nan"
"7","1","4","8","5","3","2","6","nan","nan"
"6","1","7","8","4","3","2","5","nan","nan"
"4","1","5","6","3","2","8","7","nan","nan"
"1","5","3","2","4","skipped","skipped","skipped","nan","nan"
"1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","8","6","1","3","2","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","7","6","3","5","2","nan","nan"
"8","1","4","7","6","2","3","5","nan","nan"
