"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","9.0","1.0"
"2","9","5","4","1","8","skipped","skipped","skipped","nan","nan"
"1","7","3","9","4","2","8","skipped","skipped","nan","nan"
"1","2","4","8","6","7","3","5","9","nan","nan"
"1","9","3","2","4","skipped","skipped","skipped","skipped","nan","nan"
"1","3","6","8","7","4","2","5","9","nan","nan"
"3","1","5","7","9","8","2","4","6","nan","nan"
"2","4","3","7","5","6","1","8","9","nan","nan"
"1","9","3","2","4","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","8","6","9","1","4","5","nan","nan"
"1","6","9","8","4","3","2","5","7","nan","nan"
"1","9","2","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","8","6","7","3","9","2","nan","nan"
"1","5","6","8","7","9","2","4","3","nan","nan"
"2","1","9","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","9","2","4","5","skipped","skipped","skipped","nan","nan"
"3","6","2","4","1","9","skipped","skipped","skipped","nan","nan"
"3","2","7","8","9","4","1","skipped","skipped","nan","nan"
"3","9","1","2","4","skipped","skipped","skipped","skipped","nan","nan"
"1","3","6","9","5","4","2","7","8","nan","nan"
"2","1","9","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","3","7","6","8","2","9","skipped","nan","nan"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","1","9","5","8","7","6","3","nan","nan"
"1","2","3","5","9","6","4","7","skipped","nan","nan"
"1","4","9","6","8","3","2","5","7","nan","nan"
"4","5","6","9","7","3","2","1","8","nan","nan"
"3","4","1","9","2","5","skipped","skipped","skipped","nan","nan"
"2","4","6","9","3","1","5","skipped","skipped","nan","nan"
"2","6","1","4","9","7","5","3","skipped","nan","nan"
"1","3","9","2","4","skipped","skipped","skipped","skipped","nan","nan"
"1","4","2","9","8","7","5","3","6","nan","nan"
"2","5","4","9","3","7","1","6","8","nan","nan"
"1","2","6","9","5","8","3","7","skipped","nan","nan"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","6","9","8","7","3","4","5","nan","nan"
"3","2","4","5","7","8","1","6","9","nan","nan"
"1","5","3","8","7","9","2","4","6","nan","nan"
"1","4","9","3","8","5","7","6","skipped","nan","nan"
"1","3","4","8","5","7","2","6","9","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","4","9","5","3","6","8","skipped","nan","nan"
"2","3","4","9","6","8","1","5","7","nan","nan"
"2","4","3","9","5","1","skipped","skipped","skipped","nan","nan"
"2","1","5","9","7","8","3","6","skipped","nan","nan"
"2","4","5","9","3","1","6","skipped","skipped","nan","nan"
"2","9","3","1","8","4","5","skipped","skipped","nan","nan"
"1","9","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","9","3","4","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","5","9","7","4","2","6","skipped","nan","nan"
"2","5","4","1","9","3","skipped","skipped","skipped","nan","nan"
"1","7","3","5","6","8","2","4","9","nan","nan"
"2","1","9","7","5","6","skipped","skipped","skipped","nan","nan"
"4","3","1","8","5","9","2","6","7","nan","nan"
"3","4","6","9","2","8","1","5","7","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","4","9","2","skipped","skipped","skipped","skipped","nan","nan"
"1","9","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
