"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","Num Cands","Num Seats"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","17.0","1.0"
"14","5","9","3","16","13","17","6","12","1","10","4","11","8","2","15","7","nan","nan"
"17","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","14","8","10","15","5","11","1","13","7","12","3","6","9","2","skipped","skipped","nan","nan"
"15","6","9","3","16","7","17","1","13","5","12","11","10","4","2","14","8","nan","nan"
"17","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","6","3","4","10","14","12","2","5","7","17","8","9","1","11","skipped","skipped","nan","nan"
"11","10","5","13","16","4","14","1","9","7","8","12","6","3","15","17","skipped","nan","nan"
"17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","6","1","5","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","3","1","4","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","5","1","2","15","13","14","8","16","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","9","8","1","4","6","5","2","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","5","6","8","3","10","2","9","7","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","13","1","15","3","14","4","11","17","12","6","2","9","10","8","16","nan","nan"
"8","3","9","16","12","17","4","7","11","10","2","5","1","skipped","skipped","skipped","skipped","nan","nan"
