"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"12","7","6","2","5","9","11","1","3","skipped","skipped","skipped","12.0","1.0"
"12","2","6","1","5","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","1","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","6","12","10","3","11","2","skipped","skipped","skipped","nan","nan"
"2","10","4","3","8","7","11","5","1","6","12","9","nan","nan"
"4","9","2","3","7","5","1","6","8","skipped","skipped","skipped","nan","nan"
"5","2","3","6","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","5","2","4","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","2","11","12","5","1","8","skipped","skipped","skipped","skipped","nan","nan"
"2","7","5","6","3","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","4","6","10","9","11","1","3","12","8","2","nan","nan"
"8","3","5","6","4","7","11","1","2","9","10","skipped","nan","nan"
"6","12","2","4","5","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","5","11","10","9","3","2","1","12","7","skipped","nan","nan"
"5","11","1","3","12","8","9","4","7","6","10","2","nan","nan"
"11","5","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","10","5","6","8","11","2","4","7","9","3","nan","nan"
"12","9","5","4","2","8","7","1","3","6","10","11","nan","nan"
"3","4","2","8","9","1","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","11","2","3","10","5","8","4","6","7","9","1","nan","nan"
"12","11","1","6","9","10","8","7","skipped","skipped","skipped","skipped","nan","nan"
"1","6","8","9","11","7","10","12","skipped","skipped","skipped","skipped","nan","nan"
"9","10","5","4","11","3","7","6","1","12","8","2","nan","nan"
"12","3","4","5","7","10","8","1","2","9","6","skipped","nan","nan"
"12","11","2","5","7","3","8","4","skipped","skipped","skipped","skipped","nan","nan"
"12","5","2","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","10","8","1","9","11","6","7","2","3","5","4","nan","nan"
"12","9","4","5","11","6","3","1","10","8","2","7","nan","nan"
"3","12","2","5","7","6","4","1","skipped","skipped","skipped","skipped","nan","nan"
"8","4","7","2","10","6","1","9","5","skipped","skipped","skipped","nan","nan"
"12","3","7","6","5","8","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","2","4","6","1","10","5","8","3","9","7","nan","nan"
"1","8","7","10","6","3","11","12","skipped","skipped","skipped","skipped","nan","nan"
"11","12","1","3","9","2","7","4","8","5","10","6","nan","nan"
"12","10","5","9","2","4","8","6","1","11","7","3","nan","nan"
"11","5","6","8","2","3","9","7","4","10","12","1","nan","nan"
"12","3","2","5","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","3","6","7","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","1","3","6","9","10","2","8","11","7","4","nan","nan"
"11","9","1","5","12","4","6","3","8","10","7","2","nan","nan"
"10","12","1","6","5","9","8","2","11","7","4","3","nan","nan"
"10","11","3","5","7","4","12","8","2","1","9","6","nan","nan"
"12","11","1","6","9","8","5","2","10","7","4","3","nan","nan"
"12","11","6","5","3","10","7","1","4","9","8","2","nan","nan"
"11","12","2","1","6","8","10","3","5","4","9","7","nan","nan"
"7","4","6","1","2","5","3","8","skipped","skipped","skipped","skipped","nan","nan"
"7","11","1","4","9","5","6","3","2","8","12","10","nan","nan"
"12","9","7","8","10","1","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","10","7","2","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","5","6","2","4","10","9","7","3","11","8","nan","nan"
"6","4","11","1","5","7","3","12","10","2","8","9","nan","nan"
"12","10","2","5","6","7","9","8","3","4","11","1","nan","nan"
"10","11","5","7","4","8","9","3","2","6","skipped","skipped","nan","nan"
"8","1","2","4","3","7","9","6","skipped","skipped","skipped","skipped","nan","nan"
"6","10","1","2","4","7","12","8","5","9","11","3","nan","nan"
"12","2","4","11","6","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","10","2","1","6","3","11","4","5","7","skipped","nan","nan"
"3","12","5","2","8","4","11","7","9","1","10","6","nan","nan"
"12","8","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","12","3","2","11","8","7","4","6","5","skipped","skipped","nan","nan"
"10","9","2","7","5","8","6","1","3","4","12","11","nan","nan"
"12","11","9","3","1","4","8","5","10","2","7","6","nan","nan"
"12","11","1","6","5","4","7","2","10","skipped","skipped","skipped","nan","nan"
"12","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
