"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"8","2","4","3","1","skipped","skipped","skipped","8.0","1.0"
"2","8","4","6","5","1","7","3","nan","nan"
"8","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","1","2","5","4","skipped","skipped","nan","nan"
"1","8","2","4","3","skipped","skipped","skipped","nan","nan"
"6","8","7","1","5","skipped","skipped","skipped","nan","nan"
"7","1","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","8","5","3","2","6","1","nan","nan"
"8","1","3","2","5","6","7","4","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","6","2","1","5","8","3","nan","nan"
"6","1","4","7","5","2","8","3","nan","nan"
"2","8","6","5","7","4","3","skipped","nan","nan"
"8","6","3","1","7","2","skipped","skipped","nan","nan"
"1","2","8","3","4","skipped","skipped","skipped","nan","nan"
"6","1","3","2","7","8","5","4","nan","nan"
"8","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","1","2","5","skipped","skipped","skipped","nan","nan"
"7","4","3","6","1","8","2","5","nan","nan"
"3","6","7","1","4","2","skipped","skipped","nan","nan"
"7","8","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","4","1","3","skipped","skipped","skipped","nan","nan"
"8","1","3","2","skipped","skipped","skipped","skipped","nan","nan"
"8","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","5","8","7","2","3","6","nan","nan"
"5","2","1","6","7","4","8","3","nan","nan"
"8","5","2","6","1","skipped","skipped","skipped","nan","nan"
"4","8","5","1","3","2","skipped","skipped","nan","nan"
"3","5","6","2","8","7","4","1","nan","nan"
"4","6","7","8","1","2","3","5","nan","nan"
"3","6","1","5","8","7","4","2","nan","nan"
"3","7","6","5","1","4","8","skipped","nan","nan"
"8","3","4","1","2","skipped","skipped","skipped","nan","nan"
"3","5","8","4","1","6","skipped","skipped","nan","nan"
"1","2","3","5","6","4","skipped","skipped","nan","nan"
"2","4","6","3","7","1","8","5","nan","nan"
"8","3","4","1","skipped","skipped","skipped","skipped","nan","nan"
"1","4","5","3","6","7","8","2","nan","nan"
"1","4","8","3","2","skipped","skipped","skipped","nan","nan"
"8","2","5","3","4","1","skipped","skipped","nan","nan"
"6","4","1","3","7","8","2","5","nan","nan"
"8","3","2","1","skipped","skipped","skipped","skipped","nan","nan"
"7","1","2","5","6","8","4","3","nan","nan"
"1","3","8","7","5","6","skipped","skipped","nan","nan"
"7","1","3","6","2","8","4","5","nan","nan"
