"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"1","7","3","6","8","4","5","2","8.0","1.0"
"1","2","5","8","4","3","skipped","skipped","nan","nan"
"5","4","6","7","2","3","1","skipped","nan","nan"
"1","2","3","6","5","4","7","8","nan","nan"
"4","6","1","2","5","3","7","8","nan","nan"
"8","1","5","3","4","2","skipped","skipped","nan","nan"
"7","2","3","1","5","6","4","skipped","nan","nan"
"4","1","3","6","7","5","2","skipped","nan","nan"
"7","1","4","8","5","6","2","3","nan","nan"
"6","7","2","5","4","3","1","8","nan","nan"
"8","3","1","6","4","5","7","2","nan","nan"
"1","4","2","3","skipped","skipped","skipped","skipped","nan","nan"
"8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","6","3","7","5","4","skipped","nan","nan"
"8","5","6","7","3","1","4","2","nan","nan"
"1","3","8","2","skipped","skipped","skipped","skipped","nan","nan"
"3","2","8","1","skipped","skipped","skipped","skipped","nan","nan"
"3","1","4","5","7","6","2","skipped","nan","nan"
"5","8","3","4","7","1","2","6","nan","nan"
"6","1","2","5","7","8","4","3","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","3","1","skipped","skipped","skipped","skipped","nan","nan"
"8","2","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","3","7","4","1","6","2","nan","nan"
"1","4","3","7","8","2","6","5","nan","nan"
"7","6","4","5","8","3","1","2","nan","nan"
"5","7","1","8","6","2","skipped","skipped","nan","nan"
"3","1","4","7","8","5","2","skipped","nan","nan"
"2","3","5","7","8","4","6","1","nan","nan"
"4","1","7","6","8","3","5","2","nan","nan"
"2","7","3","8","4","1","5","6","nan","nan"
"2","7","4","6","1","5","3","skipped","nan","nan"
"3","2","7","6","8","4","5","1","nan","nan"
"1","7","2","5","8","3","6","4","nan","nan"
"6","8","4","2","7","1","5","3","nan","nan"
"5","7","2","1","8","4","6","3","nan","nan"
"4","5","2","1","7","8","6","3","nan","nan"
"8","1","2","7","4","3","skipped","skipped","nan","nan"
"8","3","1","5","2","7","6","4","nan","nan"
"3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","4","5","3","8","skipped","skipped","nan","nan"
"1","8","6","4","7","2","5","3","nan","nan"
"5","4","6","7","2","1","8","3","nan","nan"
"3","2","5","8","6","4","7","1","nan","nan"
"3","6","5","2","4","1","8","7","nan","nan"
"3","1","7","6","8","4","5","2","nan","nan"
"1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","5","6","7","4","2","nan","nan"
