"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"4","5","10","8","6","9","3","2","7","1","10.0","1.0"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","6","5","9","8","7","2","3","1","nan","nan"
"3","4","6","8","5","7","skipped","skipped","skipped","skipped","nan","nan"
"1","10","5","8","9","4","3","2","6","7","nan","nan"
"2","4","9","10","7","8","5","1","3","6","nan","nan"
"6","10","5","4","9","8","7","1","2","3","nan","nan"
"9","8","1","5","3","4","6","10","7","2","nan","nan"
"7","5","3","4","8","1","6","2","10","9","nan","nan"
"1","9","5","2","7","3","8","10","4","skipped","nan","nan"
"6","9","4","3","10","5","7","2","1","8","nan","nan"
"6","7","9","3","5","10","4","1","8","2","nan","nan"
"6","10","1","5","9","8","7","3","2","skipped","nan","nan"
"2","9","4","6","8","5","7","1","3","10","nan","nan"
"3","2","7","10","5","9","4","1","6","8","nan","nan"
"3","9","4","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","8","7","2","9","1","4","3","5","nan","nan"
"2","7","8","9","10","4","1","5","3","skipped","nan","nan"
"5","7","9","10","8","2","6","1","3","skipped","nan","nan"
"10","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","5","7","10","4","6","2","1","skipped","nan","nan"
"6","10","8","4","7","1","9","5","2","skipped","nan","nan"
"3","7","4","1","8","10","6","9","5","2","nan","nan"
"7","6","8","4","3","10","9","2","5","1","nan","nan"
"8","7","6","9","10","4","1","skipped","skipped","skipped","nan","nan"
"5","10","8","2","9","4","7","1","6","3","nan","nan"
"9","10","5","2","8","3","7","6","1","4","nan","nan"
"3","8","7","5","10","9","6","1","2","4","nan","nan"
"7","8","5","4","10","1","6","9","2","3","nan","nan"
"10","7","6","2","4","3","5","1","skipped","skipped","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","3","5","9","2","4","8","6","1","nan","nan"
"9","8","7","3","5","4","6","1","10","2","nan","nan"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","6","3","2","5","1","4","10","7","nan","nan"
"8","1","7","10","3","5","skipped","skipped","skipped","skipped","nan","nan"
"9","8","3","5","2","6","1","7","4","skipped","nan","nan"
"9","4","6","3","5","10","2","7","1","8","nan","nan"
"10","8","9","6","4","7","5","3","1","2","nan","nan"
"9","8","7","2","5","3","6","4","1","10","nan","nan"
"5","10","8","6","4","2","1","7","9","skipped","nan","nan"
"8","6","10","3","9","7","4","5","2","1","nan","nan"
"3","10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","4","3","1","2","5","skipped","skipped","skipped","nan","nan"
"10","7","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","6","8","9","7","3","2","4","1","nan","nan"
"4","9","8","10","1","6","2","7","3","5","nan","nan"
"9","8","6","5","7","10","2","1","skipped","skipped","nan","nan"
"6","9","1","7","10","8","4","2","5","3","nan","nan"
"1","10","4","3","5","7","skipped","skipped","skipped","skipped","nan","nan"
"3","4","7","2","9","6","8","1","5","10","nan","nan"
"1","5","7","6","10","9","4","3","8","2","nan","nan"
"8","9","7","1","10","4","6","2","3","5","nan","nan"
"5","7","1","8","2","3","4","9","10","6","nan","nan"
"8","2","3","6","9","4","1","7","5","10","nan","nan"
"5","6","4","8","10","9","1","7","3","skipped","nan","nan"
"10","3","5","1","4","9","6","8","7","skipped","nan","nan"
"5","9","7","1","10","6","3","2","4","8","nan","nan"
"5","8","4","6","9","1","10","3","2","7","nan","nan"
"8","6","9","7","5","4","3","1","10","2","nan","nan"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","7","5","3","1","10","8","9","4","nan","nan"
