"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"7","8","4","9","3","6","5","1","2","9.0","1.0"
"1","4","9","3","2","skipped","skipped","skipped","skipped","nan","nan"
"4","8","6","9","7","2","3","5","1","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","3","4","7","9","skipped","skipped","skipped","nan","nan"
"4","5","1","2","3","skipped","skipped","skipped","skipped","nan","nan"
"1","4","7","9","5","8","6","3","2","nan","nan"
"7","1","6","3","8","2","9","5","4","nan","nan"
"5","2","9","7","8","6","1","3","4","nan","nan"
"5","3","9","1","4","2","skipped","skipped","skipped","nan","nan"
"2","8","4","9","7","5","3","6","1","nan","nan"
"9","3","2","4","5","6","7","1","8","nan","nan"
"9","8","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","6","5","9","4","1","skipped","skipped","nan","nan"
"9","3","8","6","7","2","5","1","4","nan","nan"
"1","8","2","5","6","4","3","9","7","nan","nan"
"1","3","4","6","9","5","2","skipped","skipped","nan","nan"
"5","3","4","2","8","7","9","6","1","nan","nan"
"5","2","7","1","4","8","9","3","6","nan","nan"
"4","7","3","6","8","1","9","5","2","nan","nan"
"5","1","4","9","3","6","skipped","skipped","skipped","nan","nan"
"1","3","9","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","5","8","4","1","9","2","6","nan","nan"
"7","1","4","8","3","9","6","skipped","skipped","nan","nan"
"9","1","3","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","3","6","5","9","2","7","1","4","nan","nan"
"1","6","2","4","9","3","skipped","skipped","skipped","nan","nan"
"3","6","1","2","9","8","4","5","7","nan","nan"
"2","8","5","9","7","3","4","6","1","nan","nan"
"2","4","8","6","7","9","5","1","3","nan","nan"
"6","2","3","9","1","8","skipped","skipped","skipped","nan","nan"
"3","2","4","9","5","8","1","6","7","nan","nan"
"1","3","9","8","5","6","4","2","7","nan","nan"
"9","3","5","2","1","4","skipped","skipped","skipped","nan","nan"
"2","5","7","8","9","3","4","1","6","nan","nan"
"1","8","3","2","7","9","5","4","6","nan","nan"
"3","1","9","5","7","8","2","6","4","nan","nan"
"3","9","2","4","1","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","6","9","4","8","skipped","skipped","nan","nan"
"9","2","5","1","4","8","6","3","7","nan","nan"
"9","3","2","1","4","skipped","skipped","skipped","skipped","nan","nan"
"4","7","9","3","1","5","2","skipped","skipped","nan","nan"
"2","5","1","3","6","9","8","7","4","nan","nan"
"9","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","6","9","2","3","4","8","5","nan","nan"
"8","4","6","2","9","7","5","1","3","nan","nan"
"9","3","5","4","2","1","skipped","skipped","skipped","nan","nan"
"3","9","2","5","4","1","skipped","skipped","skipped","nan","nan"
"3","1","6","7","4","5","8","9","2","nan","nan"
"6","4","2","5","9","8","1","7","skipped","nan","nan"
"1","4","2","3","7","6","5","8","9","nan","nan"
"1","2","4","5","7","9","6","8","3","nan","nan"
"9","5","4","1","3","2","skipped","skipped","skipped","nan","nan"
"1","5","6","4","3","9","8","7","2","nan","nan"
"1","2","8","3","7","4","9","6","5","nan","nan"
"6","1","9","2","7","5","8","3","4","nan","nan"
"4","3","2","7","9","1","6","5","8","nan","nan"
"3","5","8","9","7","6","1","2","skipped","nan","nan"
"2","4","1","9","3","skipped","skipped","skipped","skipped","nan","nan"
"1","7","2","5","9","skipped","skipped","skipped","skipped","nan","nan"
"6","4","2","3","7","1","9","8","5","nan","nan"
"3","9","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","9","8","2","4","3","skipped","skipped","nan","nan"
"3","6","1","4","7","2","5","8","9","nan","nan"
"9","3","2","1","6","4","skipped","skipped","skipped","nan","nan"
"1","3","9","5","4","2","skipped","skipped","skipped","nan","nan"
"3","2","9","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","6","4","1","9","8","7","3","nan","nan"
"5","1","9","4","2","skipped","skipped","skipped","skipped","nan","nan"
"5","3","6","1","8","9","7","4","2","nan","nan"
"2","5","4","3","7","9","6","8","1","nan","nan"
"5","2","7","1","6","4","3","skipped","skipped","nan","nan"
