"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","11.0","1.0"
"1","4","2","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","2","4","7","5","3","10","9","6","skipped","nan","nan"
"2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","4","2","9","5","8","6","3","skipped","skipped","nan","nan"
"8","3","2","1","4","6","9","5","7","skipped","skipped","nan","nan"
"4","2","11","8","3","7","5","6","1","9","10","nan","nan"
"2","3","4","1","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","3","6","2","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","8","4","5","9","1","6","7","3","skipped","nan","nan"
"11","4","9","2","3","6","5","1","10","skipped","skipped","nan","nan"
"2","7","3","4","9","6","8","1","10","5","skipped","nan","nan"
"1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","8","4","6","5","1","9","7","3","skipped","nan","nan"
"5","8","2","9","7","3","4","6","1","skipped","skipped","nan","nan"
"3","7","4","2","6","1","5","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","5","6","8","2","9","skipped","skipped","skipped","nan","nan"
"9","6","2","8","7","4","3","5","10","skipped","skipped","nan","nan"
"2","9","7","11","8","6","5","1","10","4","3","nan","nan"
"3","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","10","5","7","4","2","9","8","1","skipped","nan","nan"
"6","4","7","1","8","3","9","5","2","skipped","skipped","nan","nan"
"4","7","5","11","8","2","9","3","10","6","1","nan","nan"
"2","9","8","6","1","10","5","3","7","4","skipped","nan","nan"
"6","3","10","4","7","9","5","2","8","1","skipped","nan","nan"
"5","4","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","6","4","5","7","2","8","skipped","skipped","skipped","nan","nan"
"9","2","3","6","7","1","8","5","4","skipped","skipped","nan","nan"
"1","5","2","4","6","8","7","3","skipped","skipped","skipped","nan","nan"
"4","3","7","2","5","8","10","1","11","9","6","nan","nan"
"4","8","9","11","6","2","7","3","5","10","1","nan","nan"
"7","10","3","9","1","4","6","8","11","5","2","nan","nan"
"9","10","11","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","5","2","7","3","10","9","8","6","4","nan","nan"
"11","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","8","2","3","6","9","5","skipped","skipped","skipped","nan","nan"
"3","11","6","1","7","2","8","4","10","9","5","nan","nan"
"11","8","3","9","5","2","10","7","6","4","1","nan","nan"
"8","7","4","2","5","1","6","3","skipped","skipped","skipped","nan","nan"
"4","5","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","2","8","7","6","1","11","4","10","skipped","nan","nan"
"9","8","5","3","1","4","6","10","7","2","skipped","nan","nan"
"4","6","1","8","2","11","10","5","7","9","3","nan","nan"
"5","7","1","10","8","2","6","4","11","9","3","nan","nan"
"9","3","6","7","5","4","8","10","2","1","skipped","nan","nan"
"3","9","6","8","1","2","5","7","10","4","skipped","nan","nan"
"3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
